Wavelength,mCherry (AB),mCherry (EM),mOrange (AB),mOrange (EM),DsRed (EX),DsRed (EM),iRFP670 (EX),iRFP670 (EM),iRFP713 (EX),iRFP713 (EM),mScarlet (EX),mScarlet (EM),mApple (EX),mApple (EM),Sirius (EX),Sirius (EM),Cerulean (EM),Cerulean (EX),ECFP (EM),ECFP (EX),mKO (EM),mKO (EX),mPlum (EM),mPlum (EX),TagRFP (EM),TagRFP (EX),tdTomato (EM),tdTomato (EX),iRFP720 (EX),iRFP720 (EM),EBFP2 (EX),EBFP2 (EM),EYFP (EX),EYFP (EM),T-Sapphire (EX),T-Sapphire (EM),mCitrine (AB),mCitrine (EM),EGFPm (AB),EGFPm (EM),E2-Crimson (EX),E2-Crimson (EM),NirFP (AB),NirFP (EM),mAmetrine (EX),mAmetrine (EM),iRFP682 (EX),iRFP682 (EM),iRFP702 (EX),iRFP702 (EM),Jred (EX),Jred (EM),TagCFP (EX),TagCFP (EM),TagGFP2 (EX),TagGFP2 (EM),TagYFP (EX),TagYFP (EM),CopGFP (EX),CopGFP (EM),mRuby2 (EX),mRuby2 (EM),TagRFP-T (EX),TagRFP-T (EM)
250,,,,,,,,,,,,,,,,,,,0.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,0.4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,0.4834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,0.4855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,0.4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,0.5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,0.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,0.5731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,0.607918,,0.723757,,,,,,0.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47673,,0.824405,
262,,,,,,,,,,,0.619413,,0.733425,,,,,,0.6032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485535,,0.842262,
263,,,,,,,,,,,0.636015,,0.744475,,,,,,0.6246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496855,,0.86756,
264,,,,,,,,,,,0.655172,,0.759669,,,,,,0.6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510692,,0.894345,
265,,,,,,,,,,,0.678161,,0.780387,,,,,,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.530818,,0.934524,
266,,,,,,,,,,,0.704981,,0.802486,,,,,,0.6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.550943,,0.97619,
267,,,,,,,,,,,0.726692,,0.819061,,,,,,0.7217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56478,,1.00595,
268,,,,,,,,,,,0.747126,,0.834254,,,,,,0.7494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577358,,1.03274,
269,,,,,,,,,,,0.772669,,0.856354,,,,,,0.7787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596226,,1.06994,
270,,,,,,,,,,,0.795658,,0.879834,,,,,,0.8084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612579,,1.10268,
