Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.6056;270;0.1711;
221;0.6404;271;0.2001;
222;0.6983;272;0.2547;
223;0.7351;273;0.3436;
224;0.7855;274;0.4422;
225;0.8346;275;0.5358;
226;0.8805;276;0.5891;
227;0.9230;277;0.6195;
228;0.9445;278;0.6655;
229;0.9618;279;0.7257;
230;0.9762;280;0.8159;
231;1.0000;281;0.8920;
232;0.9929;282;0.9283;
233;0.9785;283;0.9241;
234;0.9615;284;0.9166;
235;0.9189;285;0.9191;
236;0.8620;286;0.9238;
237;0.8121;287;0.9311;
238;0.7596;288;0.9412;
239;0.7062;289;0.9604;
240;0.6580;290;0.9681;
241;0.5929;291;0.9635;
242;0.5270;292;0.9412;
243;0.4648;293;0.9386;
244;0.3996;294;0.9341;
245;0.3328;295;0.9306;
246;0.2733;296;0.9460;
247;0.2299;297;0.9638;
248;0.1945;298;0.9793;
249;0.1678;299;0.9934;
250;0.1466;300;1.0000;
251;0.1315;301;0.9933;
252;0.1204;302;0.9836;
253;0.1182;303;0.9774;
254;0.1221;304;0.9613;
255;0.1304;305;0.9463;
256;0.1429;306;0.9224;
257;0.1523;307;0.8856;
258;0.1590;308;0.8608;
259;0.1709;309;0.8421;
260;0.1834;310;0.8148;
261;0.2121;311;0.7938;
262;0.2343;312;0.7719;
263;0.2531;313;0.7544;
264;0.2617;314;0.7514;
265;0.2625;315;0.7583;
266;0.2535;316;0.7788;
267;0.2738;317;0.8069;
268;0.2857;318;0.8279;
269;0.3180;319;0.8446;
270;0.3947;320;0.8597;
271;0.3910;321;0.8664;
272;0.3049;322;0.8744;
273;0.1962;323;0.8609;
274;0.1305;324;0.8497;
275;0.1463;325;0.8300;
276;0.3643;326;0.8109;
277;0.4266;327;0.7884;
278;0.2698;328;0.7655;
279;0.1385;329;0.7417;
280;0.0650;330;0.7308;
281;0.0331;331;0.7278;
282;0.0200;332;0.7201;
283;0.0135;333;0.7132;
284;0.0085;334;0.7089;
285;0.0053;335;0.6933;
286;0.0033;336;0.6902;
287;0.0019;337;0.6777;
289;0.0006;338;0.6605;
291;0.0003;339;0.6342;
294;0.0000;340;0.6107;
307;0.0001;341;0.5852;
310;0.0003;342;0.5685;
314;0.0009;343;0.5433;
318;0.0003;344;0.5186;
319;0.0001;345;0.4995;
334;0.0013;346;0.4845;
341;0.0001;347;0.4689;
342;0.0000;348;0.4600;
357;0.0010;349;0.4486;
369;0.0000;350;0.4322;
370;0.0008;351;0.4296;
372;0.0001;352;0.4126;
373;0.0008;353;0.3991;
384;0.0000;354;0.3943;
385;0.0000;355;0.3825;
391;0.0003;356;0.3645;
392;0.0010;357;0.3487;
394;0.0001;358;0.3337;
395;0.0007;359;0.3172;
398;0.0002;360;0.3023;
399;0.0003;361;0.2939;
401;0.0000;362;0.2757;
403;0.0002;363;0.2662;
404;0.0005;364;0.2611;
406;0.0005;365;0.2495;
412;0.0007;366;0.2387;
414;0.0003;367;0.2344;
416;0.0002;368;0.2292;
417;0.0004;369;0.2220;
419;0.0001;370;0.2167;
423;0.0004;371;0.2120;
424;0.0004;372;0.2054;
425;0.0001;373;0.2052;
428;0.0001;374;0.1933;
430;0.0000;375;0.1886;
437;0.0006;376;0.1813;
438;0.0004;377;0.1763;
447;0.0000;378;0.1749;
453;0.0001;379;0.1694;
