Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.1064;478;0.0127;
301;0.1035;479;0.0133;
302;0.1008;480;0.0156;
303;0.0984;481;0.0188;
304;0.0961;482;0.0230;
305;0.0947;483;0.0286;
306;0.0939;484;0.0360;
307;0.0933;485;0.0453;
308;0.0934;486;0.0564;
309;0.0936;487;0.0695;
310;0.0949;488;0.0848;
311;0.0961;489;0.1024;
312;0.0975;490;0.1227;
313;0.0994;491;0.1458;
314;0.1024;492;0.1719;
315;0.1060;493;0.2009;
316;0.1090;494;0.2336;
317;0.1121;495;0.2701;
318;0.1163;496;0.3104;
319;0.1205;497;0.3535;
320;0.1238;498;0.3982;
321;0.1258;499;0.4448;
322;0.1277;500;0.4940;
323;0.1286;501;0.5457;
324;0.1280;502;0.5985;
325;0.1265;503;0.6506;
326;0.1246;504;0.7000;
327;0.1223;505;0.7466;
328;0.1193;506;0.7907;
329;0.1152;507;0.8326;
330;0.1112;508;0.8720;
331;0.1076;509;0.9064;
332;0.1033;510;0.9341;
333;0.0989;511;0.9549;
334;0.0931;512;0.9710;
335;0.0884;513;0.9840;
336;0.0842;514;0.9944;
337;0.0795;515;0.9994;
338;0.0748;516;0.9992;
339;0.0694;517;0.9951;
340;0.0651;518;0.9883;
341;0.0614;519;0.9795;
342;0.0575;520;0.9673;
343;0.0539;521;0.9511;
344;0.0497;522;0.9315;
345;0.0465;523;0.9094;
346;0.0439;524;0.8866;
347;0.0414;525;0.8626;
348;0.0389;526;0.8373;
349;0.0368;527;0.8110;
350;0.0349;528;0.7827;
351;0.0335;529;0.7547;
352;0.0319;530;0.7271;
353;0.0310;531;0.7015;
354;0.0301;532;0.6774;
355;0.0289;533;0.6532;
356;0.0285;534;0.6296;
357;0.0279;535;0.6053;
358;0.0274;536;0.5823;
359;0.0268;537;0.5610;
360;0.0264;538;0.5411;
361;0.0264;539;0.5225;
362;0.0262;540;0.5044;
363;0.0261;541;0.4865;
364;0.0255;542;0.4691;
365;0.0257;543;0.4524;
366;0.0258;544;0.4368;
367;0.0259;545;0.4220;
368;0.0259;546;0.4079;
369;0.0257;547;0.3940;
370;0.0260;548;0.3810;
371;0.0261;549;0.3688;
372;0.0262;550;0.3574;
373;0.0261;551;0.3464;
374;0.0263;552;0.3352;
