Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.8459;600;0.0026;
221;0.8128;601;0.0038;
222;0.7827;602;0.0025;
223;0.7558;603;0.0026;
224;0.7334;604;0.0016;
225;0.7103;605;0.0027;
226;0.6888;606;0.0018;
227;0.6649;607;0.0024;
228;0.6387;608;0.0028;
229;0.6109;609;0.0024;
230;0.5809;610;0.0034;
231;0.5470;611;0.0050;
232;0.5092;612;0.0059;
233;0.4684;613;0.0056;
234;0.4268;614;0.0060;
235;0.3837;615;0.0079;
236;0.3428;616;0.0090;
237;0.3059;617;0.0098;
238;0.2720;618;0.0073;
239;0.2427;619;0.0078;
240;0.2188;620;0.0131;
241;0.1972;621;0.0088;
242;0.1810;622;0.0137;
243;0.1672;623;0.0157;
244;0.1556;624;0.0182;
245;0.1448;625;0.0259;
246;0.1364;626;0.0475;
247;0.1287;627;0.0743;
248;0.1225;628;0.1254;
249;0.1179;629;0.1636;
250;0.1133;630;0.2054;
251;0.1086;631;0.2213;
252;0.1048;632;0.2190;
253;0.1025;633;0.1928;
254;0.1009;634;0.1557;
255;0.0986;635;0.1022;
256;0.0978;636;0.0728;
257;0.0963;637;0.0566;
258;0.0955;638;0.0410;
259;0.0963;639;0.0403;
260;0.0963;640;0.0372;
261;0.0978;641;0.0375;
262;0.0986;642;0.0371;
263;0.1002;643;0.0438;
264;0.1017;644;0.0473;
265;0.1032;645;0.0527;
266;0.1055;646;0.0560;
267;0.1079;647;0.0507;
268;0.1109;648;0.0608;
269;0.1133;649;0.0591;
270;0.1156;650;0.0637;
271;0.1179;651;0.0672;
272;0.1210;652;0.0694;
273;0.1233;653;0.0704;
274;0.1248;654;0.0762;
275;0.1271;655;0.0804;
276;0.1302;656;0.0794;
277;0.1325;657;0.0803;
278;0.1325;658;0.0821;
279;0.1341;659;0.0783;
280;0.1341;660;0.0761;
281;0.1325;661;0.0734;
282;0.1294;662;0.0735;
283;0.1271;663;0.0750;
284;0.1248;664;0.0732;
285;0.1233;665;0.0677;
286;0.1233;666;0.0653;
287;0.1210;667;0.0576;
288;0.1156;668;0.0545;
289;0.1086;669;0.0545;
290;0.1009;670;0.0481;
291;0.0932;671;0.0482;
292;0.0871;672;0.0456;
293;0.0840;673;0.0390;
294;0.0809;674;0.0392;
295;0.0786;675;0.0373;
296;0.0763;676;0.0400;
297;0.0755;677;0.0288;
298;0.0747;678;0.0270;
299;0.0740;679;0.0240;
300;0.0732;680;0.0247;
301;0.0724;681;0.0230;
302;0.0716;682;0.0220;
303;0.0701;683;0.0231;
304;0.0693;684;0.0195;
305;0.0686;685;0.0212;
306;0.0678;686;0.0204;
307;0.0678;687;0.0184;
308;0.0670;688;0.0198;
309;0.0663;689;0.0180;
310;0.0655;690;0.0188;
311;0.0655;691;0.0187;
312;0.0647;692;0.0164;
313;0.0655;693;0.0157;
314;0.0647;694;0.0169;
315;0.0655;695;0.0173;
316;0.0655;696;0.0159;
317;0.0655;697;0.0180;
318;0.0670;698;0.0141;
319;0.0670;699;0.0138;
320;0.0663;700;0.0167;
321;0.0686;701;0.0165;
322;0.0693;702;0.0149;
323;0.0693;703;0.0148;
324;0.0709;704;0.0149;
325;0.0709;705;0.0161;
326;0.0716;706;0.0154;
327;0.0724;707;0.0159;
328;0.0724;708;0.0136;
329;0.0747;709;0.0169;
330;0.0763;710;0.0179;
331;0.0763;711;0.0201;
332;0.0786;712;0.0154;
333;0.0809;713;0.0171;
334;0.0809;714;0.0189;
335;0.0817;715;0.0223;
336;0.0832;716;0.0209;
337;0.0855;717;0.0239;
338;0.0871;718;0.0223;
339;0.0901;719;0.0237;
340;0.0909;720;0.0246;
341;0.0932;721;0.0297;
342;0.0948;722;0.0268;
343;0.0955;723;0.0332;
344;0.0963;724;0.0332;
345;0.0978;725;0.0363;
346;0.0994;726;0.0383;
347;0.1009;727;0.0456;
348;0.1002;728;0.0413;
349;0.1017;729;0.0535;
350;0.1025;730;0.0540;
351;0.1025;731;0.0632;
352;0.1032;732;0.0637;
353;0.1040;733;0.0673;
354;0.1040;734;0.0761;
355;0.1040;735;0.0804;
356;0.1040;736;0.0906;
357;0.1040;737;0.1028;
358;0.1032;738;0.1066;
359;0.1025;739;0.1220;
360;0.1025;740;0.1278;
361;0.1017;741;0.1428;
362;0.1017;742;0.1496;
363;0.1009;743;0.1668;
364;0.1009;744;0.1834;
365;0.1009;745;0.1970;
366;0.1009;746;0.2170;
367;0.1017;747;0.2317;
368;0.1025;748;0.2407;
369;0.1025;749;0.2703;
370;0.1025;750;0.3000;
371;0.1009;751;0.3062;
372;0.0994;752;0.3224;
373;0.0978;753;0.3649;
374;0.0955;754;0.3945;
375;0.0917;755;0.4146;
376;0.0894;756;0.4318;
377;0.0863;757;0.4608;
378;0.0824;758;0.4866;
379;0.0794;759;0.5264;
380;0.0770;760;0.5394;
381;0.0732;761;0.5817;
382;0.0716;762;0.5981;
383;0.0701;763;0.6377;
384;0.0655;764;0.6643;
385;0.0632;765;0.7025;
386;0.0624;766;0.7425;
387;0.0601;767;0.7583;
388;0.0601;768;0.7952;
389;0.0578;769;0.7966;
390;0.0570;770;0.8410;
391;0.0555;771;0.8467;
392;0.0547;772;0.8722;
393;0.0547;773;0.9064;
394;0.0539;774;0.9287;
395;0.0539;775;0.9098;
396;0.0539;776;0.9683;
397;0.0524;777;0.9670;
398;0.0524;778;0.9663;
399;0.0524;779;0.9892;
400;0.0532;780;0.9797;
401;0.0524;781;1.0000;
402;0.0516;782;0.9679;
403;0.0516;783;0.9807;
404;0.0516;784;0.9459;
405;0.0516;785;0.9657;
406;0.0508;786;0.9572;
407;0.0508;787;0.9281;
408;0.0501;788;0.9045;
409;0.0493;789;0.9059;
410;0.0493;790;0.8706;
411;0.0485;791;0.8571;
412;0.0485;792;0.8176;
413;0.0478;793;0.8011;
414;0.0478;794;0.7932;
415;0.0478;795;0.7497;
416;0.0470;796;0.7388;
