Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
400;0.0115;540;0.0636;
401;0.0106;541;0.0347;
402;0.0108;542;0.0167;
403;0.0108;543;0.0071;
404;0.0103;544;0.0042;
405;0.0108;545;0.0034;
406;0.0106;546;0.0034;
407;0.0106;547;0.0038;
408;0.0101;548;0.0043;
409;0.0101;549;0.0047;
410;0.0099;550;0.0052;
411;0.0092;551;0.0056;
412;0.0092;552;0.0065;
413;0.0088;553;0.0074;
414;0.0083;554;0.0083;
415;0.0076;555;0.0092;
416;0.0072;556;0.0111;
417;0.0067;557;0.0130;
418;0.0065;558;0.0152;
419;0.0061;559;0.0180;
420;0.0065;560;0.0207;
421;0.0061;561;0.0245;
422;0.0063;562;0.0272;
423;0.0061;563;0.0325;
424;0.0059;564;0.0361;
425;0.0059;565;0.0424;
426;0.0061;566;0.0489;
427;0.0059;567;0.0567;
428;0.0056;568;0.0656;
429;0.0059;569;0.0768;
430;0.0056;570;0.0890;
431;0.0059;571;0.1015;
432;0.0059;572;0.1166;
433;0.0061;573;0.1322;
434;0.0056;574;0.1494;
435;0.0061;575;0.1671;
436;0.0061;576;0.1875;
437;0.0065;577;0.2091;
438;0.0065;578;0.2336;
439;0.0065;579;0.2620;
440;0.0067;580;0.2929;
441;0.0072;581;0.3268;
442;0.0072;582;0.3633;
443;0.0079;583;0.4003;
444;0.0079;584;0.4398;
445;0.0083;585;0.4814;
446;0.0088;586;0.5206;
447;0.0085;587;0.5584;
448;0.0090;588;0.5942;
449;0.0094;589;0.6368;
450;0.0094;590;0.6773;
451;0.0099;591;0.7159;
452;0.0106;592;0.7569;
453;0.0108;593;0.7945;
454;0.0112;594;0.8335;
455;0.0117;595;0.8741;
456;0.0124;596;0.9030;
457;0.0130;597;0.9294;
458;0.0135;598;0.9508;
459;0.0142;599;0.9677;
460;0.0148;600;0.9802;
461;0.0153;601;0.9897;
462;0.0162;602;0.9931;
463;0.0169;603;0.9961;
464;0.0180;604;1.0000;
465;0.0191;605;0.9950;
466;0.0198;606;0.9824;
467;0.0209;607;0.9659;
468;0.0220;608;0.9473;
469;0.0229;609;0.9242;
470;0.0243;610;0.9062;
471;0.0254;611;0.8876;
472;0.0270;612;0.8623;
473;0.0283;613;0.8370;
474;0.0301;614;0.8102;
475;0.0317;615;0.7866;
476;0.0333;616;0.7612;
477;0.0353;617;0.7354;
478;0.0371;618;0.7026;
479;0.0389;619;0.6713;
480;0.0411;620;0.6472;
481;0.0434;621;0.6188;
482;0.0456;622;0.5957;
483;0.0483;623;0.5675;
484;0.0504;624;0.5475;
485;0.0531;625;0.5244;
486;0.0553;626;0.5075;
487;0.0580;627;0.4893;
488;0.0607;628;0.4659;
489;0.0636;629;0.4488;
490;0.0663;630;0.4325;
491;0.0695;631;0.4144;
492;0.0724;632;0.3997;
493;0.0758;633;0.3828;
494;0.0794;634;0.3683;
495;0.0832;635;0.3558;
496;0.0870;636;0.3443;
497;0.0908;637;0.3331;
498;0.0951;638;0.3234;
499;0.0996;639;0.3142;
500;0.1036;640;0.3054;
501;0.1090;641;0.2958;
502;0.1138;642;0.2879;
503;0.1192;643;0.2792;
504;0.1248;644;0.2710;
505;0.1304;645;0.2625;
506;0.1360;646;0.2540;
507;0.1421;647;0.2487;
508;0.1486;648;0.2423;
509;0.1551;649;0.2340;
510;0.1623;650;0.2311;
511;0.1695;651;0.2245;
512;0.1776;652;0.2183;
513;0.1855;653;0.2126;
514;0.1942;654;0.2081;
515;0.2028;655;0.2014;
516;0.2120;656;0.1948;
517;0.2212;657;0.1891;
518;0.2309;658;0.1843;
519;0.2403;659;0.1776;
520;0.2498;660;0.1735;
521;0.2590;661;0.1693;
522;0.2684;662;0.1647;
523;0.2781;663;0.1595;
524;0.2878;664;0.1542;
525;0.2974;665;0.1509;
526;0.3073;666;0.1453;
527;0.3172;667;0.1403;
528;0.3278;668;0.1366;
529;0.3379;669;0.1306;
530;0.3483;670;0.1260;
531;0.3590;671;0.1219;
532;0.3698;672;0.1176;
533;0.3811;673;0.1134;
534;0.3923;674;0.1098;
535;0.4036;675;0.1069;
536;0.4155;676;0.1028;
537;0.4276;677;0.0997;
538;0.4400;678;0.0966;
539;0.4532;679;0.0917;
540;0.4661;680;0.0884;
541;0.4791;681;0.0863;
542;0.4930;682;0.0820;
543;0.5067;683;0.0801;
544;0.5214;684;0.0760;
545;0.5364;685;0.0731;
546;0.5517;686;0.0714;
547;0.5684;687;0.0694;
548;0.5852;688;0.0663;
549;0.6027;689;0.0635;
550;0.6210;690;0.0604;
551;0.6401;691;0.0600;
552;0.6596;692;0.0579;
553;0.6799;693;0.0546;
554;0.7001;694;0.0524;
555;0.7199;695;0.0510;
556;0.7401;696;0.0495;
557;0.7599;697;0.0471;
558;0.7795;698;0.0466;
559;0.7990;699;0.0442;
560;0.8184;700;0.0436;
561;0.8379;701;0.0421;
562;0.8568;702;0.0415;
563;0.8752;703;0.0386;
564;0.8932;704;0.0369;
565;0.9103;705;0.0364;
566;0.9263;706;0.0357;
567;0.9416;707;0.0339;
568;0.9555;708;0.0331;
569;0.9676;709;0.0313;
570;0.9782;710;0.0305;
571;0.9870;711;0.0309;
572;0.9933;712;0.0300;
573;0.9980;713;0.0281;
574;1.0000;714;0.0283;
575;0.9993;715;0.0275;
576;0.9957;716;0.0266;
577;0.9897;717;0.0256;
578;0.9809;718;0.0260;
579;0.9688;719;0.0250;
580;0.9541;720;0.0240;
581;0.9364;721;0.0230;
582;0.9159;722;0.0207;
583;0.8923;723;0.0223;
584;0.8656;724;0.0213;
585;0.8361;725;0.0215;
586;0.8049;726;0.0204;
587;0.7711;727;0.0206;
588;0.7352;728;0.0195;
589;0.6978;729;0.0197;
590;0.6596;730;0.0170;
591;0.6221;731;0.0173;
592;0.5848;732;0.0175;
593;0.5481;733;0.0162;
594;0.5117;734;0.0164;
595;0.4762;735;0.0166;
596;0.4411;736;0.0168;
597;0.4067;737;0.0155;
598;0.3737;738;0.0157;
599;0.3420;739;0.0159;
600;0.3116;740;0.0145;
601;0.2826;741;0.0130;
602;0.2554;742;0.0132;
603;0.2298;743;0.0133;
604;0.2057;744;0.0118;
605;0.1835;745;0.0120;
606;0.1628;746;0.0121;
607;0.1443;747;0.0121;
608;0.1268;748;0.0122;
609;0.1115;749;0.0122;
610;0.0974;;;
611;0.0850;;;
612;0.0740;;;
613;0.0645;;;
614;0.0564;;;
615;0.0488;;;
616;0.0423;;;
617;0.0364;;;
618;0.0317;;;
619;0.0272;;;
620;0.0232;;;
621;0.0200;;;
622;0.0173;;;
623;0.0148;;;
624;0.0126;;;
625;0.0110;;;
626;0.0097;;;
627;0.0083;;;
628;0.0072;;;
629;0.0063;;;
630;0.0056;;;
631;0.0052;;;
632;0.0043;;;
633;0.0038;;;
634;0.0036;;;
635;0.0032;;;
636;0.0029;;;
637;0.0025;;;
638;0.0020;;;
639;0.0020;;;
640;0.0018;;;
641;0.0018;;;
642;0.0016;;;
643;0.0016;;;
644;0.0014;;;
645;0.0011;;;
646;0.0014;;;
647;0.0011;;;
648;0.0009;;;
649;0.0005;;;
