Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
350;0.2877;500;0.0384;
351;0.2715;501;0.0415;
352;0.2540;502;0.0452;
353;0.2361;503;0.0486;
354;0.2183;504;0.0517;
355;0.2007;505;0.0545;
356;0.1851;506;0.0575;
357;0.1701;507;0.0596;
358;0.1570;508;0.0614;
359;0.1455;509;0.0636;
360;0.1361;510;0.0649;
361;0.1277;511;0.0658;
362;0.1207;512;0.0664;
363;0.1150;513;0.0673;
364;0.1109;514;0.0671;
365;0.1075;515;0.0666;
366;0.1050;516;0.0665;
367;0.1033;517;0.0657;
368;0.1021;518;0.0655;
369;0.1018;519;0.0645;
370;0.1019;520;0.0632;
371;0.1022;521;0.0622;
372;0.1034;522;0.0603;
373;0.1044;523;0.0584;
374;0.1055;524;0.0574;
375;0.1075;525;0.0561;
376;0.1092;526;0.0554;
377;0.1109;527;0.0540;
378;0.1130;528;0.0525;
379;0.1152;529;0.0516;
380;0.1177;530;0.0503;
381;0.1197;531;0.0496;
382;0.1222;532;0.0485;
383;0.1253;533;0.0477;
384;0.1286;534;0.0465;
385;0.1335;535;0.0454;
386;0.1367;536;0.0448;
387;0.1403;537;0.0440;
388;0.1435;538;0.0438;
389;0.1470;539;0.0432;
390;0.1501;540;0.0431;
391;0.1535;541;0.0427;
392;0.1562;542;0.0427;
393;0.1586;543;0.0424;
394;0.1609;544;0.0425;
395;0.1627;545;0.0423;
396;0.1642;546;0.0426;
397;0.1651;547;0.0428;
398;0.1655;548;0.0435;
399;0.1656;549;0.0439;
400;0.1650;550;0.0447;
401;0.1643;551;0.0450;
402;0.1630;552;0.0457;
403;0.1616;553;0.0461;
404;0.1594;554;0.0471;
405;0.1572;555;0.0477;
406;0.1547;556;0.0487;
407;0.1521;557;0.0497;
408;0.1493;558;0.0502;
409;0.1462;559;0.0515;
410;0.1434;560;0.0527;
411;0.1408;561;0.0547;
412;0.1382;562;0.0566;
413;0.1354;563;0.0590;
414;0.1326;564;0.0611;
415;0.1300;565;0.0641;
416;0.1275;566;0.0669;
417;0.1251;567;0.0704;
418;0.1228;568;0.0732;
419;0.1207;569;0.0765;
420;0.1184;570;0.0790;
421;0.1161;571;0.0823;
422;0.1142;572;0.0851;
423;0.1120;573;0.0880;
424;0.1103;574;0.0917;
425;0.1084;575;0.0949;
426;0.1067;576;0.0990;
427;0.1050;577;0.1028;
428;0.1037;578;0.1073;
429;0.1017;579;0.1132;
430;0.1001;580;0.1189;
431;0.0979;581;0.1260;
432;0.0965;582;0.1325;
433;0.0944;583;0.1392;
434;0.0931;584;0.1460;
435;0.0909;585;0.1543;
436;0.0893;586;0.1618;
437;0.0874;587;0.1699;
438;0.0857;588;0.1785;
439;0.0834;589;0.1895;
440;0.0818;590;0.2001;
441;0.0797;591;0.2116;
442;0.0780;592;0.2241;
443;0.0759;593;0.2374;
444;0.0741;594;0.2517;
445;0.0720;595;0.2691;
446;0.0706;596;0.2856;
447;0.0689;597;0.3030;
448;0.0676;598;0.3207;
449;0.0659;599;0.3385;
450;0.0646;600;0.3560;
451;0.0630;601;0.3734;
452;0.0619;602;0.3913;
453;0.0604;603;0.4105;
454;0.0595;604;0.4342;
455;0.0591;605;0.4558;
456;0.0586;606;0.4779;
457;0.0580;607;0.5004;
458;0.0578;608;0.5228;
459;0.0575;609;0.5446;
460;0.0576;610;0.5657;
461;0.0574;611;0.5909;
462;0.0583;612;0.6122;
463;0.0584;613;0.6338;
464;0.0595;614;0.6553;
465;0.0600;615;0.6810;
466;0.0610;616;0.7012;
467;0.0619;617;0.7257;
468;0.0634;618;0.7446;
469;0.0650;619;0.7627;
470;0.0669;620;0.7856;
471;0.0685;621;0.8021;
472;0.0709;622;0.8239;
473;0.0729;623;0.8391;
474;0.0757;624;0.8598;
475;0.0781;625;0.8736;
476;0.0811;626;0.8927;
477;0.0844;627;0.9108;
478;0.0873;628;0.9213;
479;0.0905;629;0.9367;
480;0.0938;630;0.9501;
481;0.0974;631;0.9617;
482;0.1012;632;0.9715;
483;0.1051;633;0.9735;
484;0.1093;634;0.9810;
485;0.1136;635;0.9873;
486;0.1181;636;0.9924;
487;0.1224;637;0.9963;
488;0.1271;638;0.9989;
489;0.1320;639;1.0000;
490;0.1368;640;0.9995;
491;0.1419;641;0.9976;
492;0.1472;642;0.9950;
493;0.1524;643;0.9985;
494;0.1580;644;0.9950;
495;0.1632;645;0.9906;
496;0.1688;646;0.9850;
497;0.1746;647;0.9840;
498;0.1808;648;0.9753;
499;0.1871;649;0.9653;
500;0.1934;650;0.9538;
501;0.2000;651;0.9470;
502;0.2070;652;0.9335;
503;0.2143;653;0.9242;
504;0.2216;654;0.9079;
505;0.2295;655;0.8956;
506;0.2373;656;0.8779;
507;0.2460;657;0.8657;
508;0.2545;658;0.8493;
509;0.2638;659;0.8378;
510;0.2730;660;0.8261;
511;0.2828;661;0.8139;
512;0.2925;662;0.7973;
513;0.3030;663;0.7849;
514;0.3139;664;0.7723;
515;0.3257;665;0.7589;
516;0.3369;666;0.7447;
517;0.3494;667;0.7301;
518;0.3621;668;0.7155;
519;0.3747;669;0.7009;
520;0.3876;670;0.6856;
521;0.4006;671;0.6695;
522;0.4138;672;0.6563;
523;0.4273;673;0.6402;
524;0.4406;674;0.6249;
525;0.4545;675;0.6105;
526;0.4681;676;0.5996;
527;0.4816;677;0.5863;
528;0.4951;678;0.5733;
529;0.5088;679;0.5599;
530;0.5216;680;0.5461;
531;0.5352;681;0.5346;
532;0.5479;682;0.5216;
533;0.5611;683;0.5094;
534;0.5736;684;0.4999;
535;0.5866;685;0.4879;
536;0.5984;686;0.4777;
537;0.6110;687;0.4658;
538;0.6225;688;0.4548;
539;0.6343;689;0.4467;
540;0.6458;690;0.4369;
541;0.6569;691;0.4269;
542;0.6678;692;0.4182;
543;0.6788;693;0.4082;
544;0.6898;694;0.4002;
545;0.7008;695;0.3930;
546;0.7118;696;0.3846;
547;0.7225;697;0.3778;
548;0.7330;698;0.3712;
549;0.7443;699;0.3651;
550;0.7552;700;0.3593;
551;0.7656;701;0.3534;
552;0.7763;702;0.3472;
553;0.7873;703;0.3395;
554;0.7983;704;0.3333;
555;0.8099;705;0.3289;
556;0.8211;706;0.3241;
557;0.8325;707;0.3190;
558;0.8441;708;0.3132;
559;0.8559;709;0.3076;
560;0.8674;710;0.3006;
561;0.8794;711;0.2944;
562;0.8913;712;0.2876;
563;0.9034;713;0.2819;
564;0.9147;714;0.2761;
565;0.9266;715;0.2718;
566;0.9378;716;0.2680;
567;0.9483;717;0.2635;
568;0.9582;718;0.2599;
569;0.9675;719;0.2565;
570;0.9761;720;0.2530;
571;0.9830;721;0.2490;
572;0.9889;722;0.2445;
573;0.9939;723;0.2394;
574;0.9974;724;0.2345;
575;0.9997;725;0.2285;
576;1.0000;726;0.2221;
577;0.9984;727;0.2161;
578;0.9947;728;0.2115;
579;0.9895;729;0.2077;
580;0.9819;730;0.2048;
581;0.9725;731;0.2024;
582;0.9616;732;0.1995;
583;0.9481;733;0.1962;
584;0.9335;734;0.1929;
585;0.9162;735;0.1896;
586;0.8979;736;0.1862;
587;0.8775;737;0.1822;
588;0.8560;738;0.1779;
589;0.8328;739;0.1733;
590;0.8094;740;0.1696;
591;0.7842;741;0.1660;
592;0.7579;742;0.1634;
593;0.7315;743;0.1606;
594;0.7044;744;0.1578;
595;0.6769;745;0.1542;
596;0.6487;746;0.1498;
597;0.6217;747;0.1446;
598;0.5937;748;0.1394;
599;0.5664;749;0.1343;
600;0.5387;;;
601;0.5119;;;
602;0.4857;;;
603;0.4599;;;
604;0.4344;;;
605;0.4098;;;
606;0.3861;;;
607;0.3627;;;
608;0.3409;;;
609;0.3197;;;
610;0.2997;;;
611;0.2804;;;
612;0.2627;;;
613;0.2453;;;
614;0.2289;;;
615;0.2138;;;
616;0.1993;;;
617;0.1859;;;
618;0.1730;;;
619;0.1612;;;
620;0.1502;;;
621;0.1402;;;
622;0.1304;;;
623;0.1216;;;
624;0.1131;;;
625;0.1056;;;
626;0.0981;;;
627;0.0914;;;
628;0.0848;;;
629;0.0791;;;
630;0.0734;;;
631;0.0683;;;
632;0.0636;;;
633;0.0593;;;
634;0.0551;;;
635;0.0510;;;
636;0.0478;;;
637;0.0445;;;
638;0.0411;;;
639;0.0383;;;
640;0.0355;;;
641;0.0330;;;
642;0.0305;;;
643;0.0286;;;
644;0.0263;;;
645;0.0246;;;
646;0.0227;;;
647;0.0212;;;
648;0.0196;;;
649;0.0182;;;
650;0.0168;;;
651;0.0158;;;
652;0.0147;;;
653;0.0135;;;
654;0.0127;;;
655;0.0117;;;
656;0.0105;;;
657;0.0099;;;
658;0.0091;;;
659;0.0081;;;
660;0.0078;;;
661;0.0071;;;
662;0.0065;;;
663;0.0058;;;
664;0.0053;;;
665;0.0050;;;
666;0.0047;;;
667;0.0042;;;
668;0.0039;;;
669;0.0034;;;
670;0.0032;;;
671;0.0028;;;
672;0.0027;;;
673;0.0021;;;
674;0.0017;;;
675;0.0018;;;
676;0.0013;;;
677;0.0012;;;
678;0.0010;;;
679;0.0011;;;
680;0.0010;;;
681;0.0010;;;
682;0.0010;;;
683;0.0009;;;
684;0.0006;;;
685;0.0005;;;
686;0.0004;;;
687;0.0002;;;
688;0.0002;;;
689;0.0001;;;
690;-0.0001;;;
691;-0.0001;;;
692;0.0001;;;
693;-0.0002;;;
694;-0.0001;;;
695;-0.0002;;;
696;-0.0002;;;
697;-0.0002;;;
698;-0.0002;;;
699;-0.0005;;;
