Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
299;0.0186;387;0.0085;
300;0.0362;388;0.0021;
301;0.1206;389;0.0129;
302;0.1226;396;0.0156;
303;0.1268;397;0.0179;
304;0.1288;398;0.0201;
305;0.1348;400;0.0224;
306;0.1408;401;0.0268;
307;0.1488;402;0.0290;
308;0.1568;403;0.0312;
309;0.1628;404;0.0357;
310;0.1708;405;0.0400;
311;0.1806;406;0.0444;
312;0.1945;407;0.0466;
313;0.2044;408;0.0532;
314;0.2144;409;0.0619;
315;0.2282;410;0.0684;
316;0.2401;411;0.0880;
317;0.2539;412;0.0837;
318;0.2678;413;0.1032;
319;0.2796;414;0.1162;
320;0.2994;415;0.1314;
321;0.3191;416;0.1465;
322;0.3388;417;0.1639;
323;0.3565;418;0.1920;
324;0.3743;419;0.2093;
325;0.3921;420;0.2288;
326;0.4118;421;0.2483;
327;0.4315;422;0.2700;
328;0.4492;423;0.2851;
329;0.4729;424;0.3025;
330;0.4965;425;0.3176;
331;0.5182;426;0.3307;
332;0.5477;427;0.3394;
333;0.5693;428;0.3481;
334;0.5988;429;0.3568;
335;0.6303;430;0.3741;
336;0.6500;431;0.3958;
337;0.6736;432;0.4109;
338;0.6895;433;0.4261;
339;0.7092;434;0.4521;
340;0.7328;435;0.4737;
341;0.7584;436;0.4889;
342;0.7859;437;0.5170;
343;0.8056;438;0.5386;
344;0.8293;439;0.5624;
345;0.8431;440;0.5884;
346;0.8648;441;0.6144;
347;0.8825;442;0.6382;
348;0.8964;443;0.6576;
349;0.9083;444;0.6944;
350;0.9241;445;0.7225;
351;0.9301;446;0.7571;
352;0.9400;447;0.7809;
353;0.9577;448;0.8004;
354;0.9696;449;0.8307;
356;0.9777;450;0.8437;
357;0.9838;451;0.8610;
358;0.9858;452;0.8805;
359;0.9919;453;0.9108;
360;0.9940;454;0.9260;
361;0.9979;455;0.9411;
362;1.0000;456;0.9585;
363;0.9961;457;0.9650;
364;0.9863;458;0.9716;
365;0.9764;459;0.9781;
366;0.9705;460;0.9868;
367;0.9626;461;0.9934;
368;0.9567;462;0.9913;
369;0.9428;463;1.0000;
370;0.9289;464;0.9871;
371;0.9150;465;0.9829;
372;0.8951;466;0.9808;
373;0.8751;467;0.9722;
374;0.8592;468;0.9637;
375;0.8473;469;0.9616;
376;0.8334;470;0.9531;
377;0.8215;471;0.9488;
378;0.8036;472;0.9381;
379;0.7857;473;0.9296;
380;0.7657;474;0.9232;
381;0.7478;475;0.9146;
382;0.7319;476;0.8996;
383;0.7080;477;0.8911;
384;0.6840;478;0.8846;
385;0.6661;479;0.8632;
386;0.6442;480;0.8352;
387;0.6182;481;0.8223;
388;0.5903;482;0.8051;
389;0.5503;483;0.7901;
390;0.5204;484;0.7729;
391;0.4924;485;0.7579;
392;0.4604;486;0.7429;
393;0.4365;487;0.7300;
394;0.4106;488;0.7129;
395;0.3846;489;0.6914;
396;0.3527;490;0.6720;
398;0.3008;491;0.6527;
399;0.2809;492;0.6269;
400;0.2649;493;0.6075;
401;0.2430;494;0.5925;
402;0.2271;495;0.5840;
404;0.1933;496;0.5711;
405;0.1753;497;0.5626;
406;0.1574;498;0.5475;
407;0.1355;499;0.5347;
408;0.1216;500;0.5218;
409;0.1057;501;0.5089;
410;0.0898;502;0.4982;
411;0.0739;503;0.4875;
;;504;0.4768;
;;505;0.4596;
;;506;0.4489;
;;507;0.4425;
;;508;0.4361;
;;509;0.4254;
;;510;0.4125;
;;511;0.3997;
;;512;0.3933;
;;513;0.3804;
;;514;0.3632;
;;515;0.3547;
;;516;0.3461;
;;517;0.3376;
;;518;0.3269;
;;519;0.3162;
;;520;0.3076;
;;521;0.2991;
;;522;0.2927;
;;523;0.2798;
;;524;0.2713;
;;525;0.2606;
;;526;0.2563;
;;527;0.2499;
;;528;0.2414;
;;529;0.2306;
;;530;0.2200;
;;531;0.2135;
;;532;0.2072;
;;533;0.2008;
;;534;0.1965;
;;535;0.1901;
;;536;0.1859;
;;537;0.1795;
;;538;0.1752;
;;539;0.1667;
;;540;0.1603;
;;541;0.1561;
;;542;0.1519;
;;543;0.1477;
;;544;0.1455;
;;545;0.1413;
;;546;0.1392;
;;547;0.1328;
;;548;0.1286;
;;549;0.1243;
;;550;0.1201;
;;551;0.1159;
;;552;0.1116;
;;553;0.1074;
;;554;0.1031;
;;555;0.0989;
;;556;0.0947;
;;557;0.0905;
;;558;0.0884;
;;560;0.0842;
;;561;0.0799;
;;563;0.0758;
;;564;0.0737;
;;565;0.0695;
;;566;0.0653;
;;567;0.0632;
;;568;0.0611;
;;569;0.0569;
;;571;0.0548;
;;572;0.0527;
;;574;0.0486;
;;575;0.0466;
;;577;0.0445;
;;578;0.0424;
;;580;0.0404;
;;582;0.0363;
;;584;0.0343;
;;585;0.0322;
;;587;0.0302;
;;588;0.0281;
;;590;0.0261;
;;592;0.0241;
;;596;0.0222;
;;597;0.0180;
