Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
400;0.0713;575;0.4593;
401;0.0717;576;0.4995;
402;0.0661;577;0.5245;
403;0.0648;578;0.5580;
404;0.0633;579;0.5926;
405;0.0670;580;0.6271;
406;0.0655;581;0.6670;
407;0.0651;582;0.6970;
408;0.0582;583;0.7348;
409;0.0646;584;0.7627;
410;0.0575;585;0.7985;
411;0.0604;586;0.8263;
412;0.0599;587;0.8563;
413;0.0592;588;0.8693;
414;0.0546;589;0.9083;
415;0.0530;590;0.9160;
416;0.0536;591;0.9276;
417;0.0506;592;0.9456;
418;0.0497;593;0.9675;
419;0.0510;594;0.9742;
420;0.0501;595;0.9853;
421;0.0517;596;0.9858;
422;0.0483;597;1.0000;
423;0.0476;598;0.9866;
424;0.0443;599;0.9925;
425;0.0469;600;0.9829;
426;0.0443;601;0.9781;
427;0.0440;602;0.9752;
428;0.0384;603;0.9583;
429;0.0415;604;0.9552;
430;0.0399;605;0.9489;
431;0.0416;606;0.9218;
432;0.0404;607;0.9088;
433;0.0409;608;0.9021;
434;0.0357;609;0.8823;
435;0.0343;610;0.8643;
436;0.0363;611;0.8488;
437;0.0335;612;0.8399;
438;0.0356;613;0.8187;
439;0.0356;614;0.8008;
440;0.0361;615;0.7810;
441;0.0367;616;0.7615;
442;0.0346;617;0.7391;
443;0.0334;618;0.7143;
444;0.0335;619;0.7063;
445;0.0336;620;0.6817;
446;0.0321;621;0.6620;
447;0.0327;622;0.6442;
448;0.0341;623;0.6248;
449;0.0345;624;0.6044;
450;0.0328;625;0.5820;
451;0.0334;626;0.5582;
452;0.0301;627;0.5421;
453;0.0349;628;0.5221;
454;0.0325;629;0.5010;
455;0.0295;630;0.4827;
456;0.0325;631;0.4541;
457;0.0313;632;0.4440;
458;0.0359;633;0.4239;
459;0.0334;634;0.4135;
460;0.0348;635;0.3997;
461;0.0332;636;0.3831;
462;0.0366;637;0.3817;
463;0.0380;638;0.3650;
464;0.0379;639;0.3579;
465;0.0381;640;0.3415;
466;0.0376;641;0.3365;
467;0.0372;642;0.3253;
468;0.0437;643;0.3129;
469;0.0421;644;0.3054;
470;0.0431;645;0.2989;
471;0.0404;646;0.2871;
472;0.0455;647;0.2807;
473;0.0458;648;0.2752;
474;0.0473;649;0.2680;
475;0.0493;650;0.2615;
476;0.0553;651;0.2530;
477;0.0546;652;0.2433;
478;0.0588;653;0.2426;
479;0.0590;654;0.2315;
480;0.0635;655;0.2263;
481;0.0632;656;0.2226;
482;0.0678;657;0.2135;
483;0.0692;658;0.2062;
484;0.0774;659;0.2065;
485;0.0749;660;0.1963;
486;0.0811;661;0.1953;
487;0.0857;662;0.1867;
488;0.0836;663;0.1802;
489;0.0919;664;0.1768;
490;0.0981;665;0.1688;
491;0.1001;666;0.1599;
492;0.1067;667;0.1596;
493;0.1130;668;0.1538;
494;0.1137;669;0.1473;
495;0.1227;670;0.1415;
496;0.1212;671;0.1329;
497;0.1321;672;0.1274;
498;0.1293;673;0.1282;
499;0.1474;674;0.1182;
500;0.1474;675;0.1157;
501;0.1538;676;0.1101;
502;0.1657;677;0.1069;
503;0.1692;678;0.1012;
504;0.1831;679;0.1009;
505;0.1915;680;0.0954;
