Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
350;0.0602;540;0.0151;
351;0.0602;541;0.0171;
352;0.0594;542;0.0193;
353;0.0602;543;0.0209;
354;0.0594;544;0.0234;
355;0.0586;545;0.0265;
356;0.0586;546;0.0288;
357;0.0602;547;0.0310;
358;0.0594;548;0.0328;
359;0.0602;549;0.0359;
360;0.0594;550;0.0394;
361;0.0594;551;0.0429;
362;0.0610;552;0.0460;
363;0.0618;553;0.0505;
364;0.0635;554;0.0565;
365;0.0627;555;0.0635;
366;0.0643;556;0.0711;
367;0.0643;557;0.0790;
368;0.0651;558;0.0874;
369;0.0659;559;0.0978;
370;0.0667;560;0.1091;
371;0.0684;561;0.1210;
372;0.0692;562;0.1334;
373;0.0708;563;0.1457;
374;0.0708;564;0.1588;
375;0.0732;565;0.1722;
376;0.0740;566;0.1846;
377;0.0765;567;0.1981;
378;0.0765;568;0.2121;
379;0.0797;569;0.2273;
380;0.0797;570;0.2444;
381;0.0814;571;0.2622;
382;0.0830;572;0.2809;
383;0.0846;573;0.3000;
384;0.0871;574;0.3204;
385;0.0887;575;0.3432;
386;0.0903;576;0.3671;
387;0.0911;577;0.3910;
388;0.0928;578;0.4161;
389;0.0952;579;0.4416;
390;0.0976;580;0.4679;
391;0.0985;581;0.4945;
392;0.1001;582;0.5209;
393;0.1025;583;0.5464;
394;0.1050;584;0.5718;
395;0.1074;585;0.5971;
396;0.1082;586;0.6217;
397;0.1115;587;0.6452;
398;0.1139;588;0.6685;
399;0.1172;589;0.6926;
400;0.1196;590;0.7166;
401;0.1237;591;0.7401;
402;0.1269;592;0.7628;
403;0.1302;593;0.7849;
404;0.1334;594;0.8062;
405;0.1367;595;0.8273;
406;0.1391;596;0.8480;
407;0.1432;597;0.8687;
408;0.1465;598;0.8885;
409;0.1505;599;0.9073;
410;0.1538;600;0.9243;
411;0.1595;601;0.9393;
412;0.1627;602;0.9527;
413;0.1676;603;0.9642;
414;0.1701;604;0.9741;
415;0.1798;605;0.9823;
416;0.1847;606;0.9891;
417;0.1896;607;0.9939;
418;0.1969;608;0.9977;
419;0.2010;609;0.9998;
420;0.2075;610;1.0000;
421;0.2132;611;0.9992;
422;0.2205;612;0.9968;
423;0.2262;613;0.9936;
424;0.2319;614;0.9896;
425;0.2392;615;0.9857;
426;0.2449;616;0.9810;
427;0.2522;617;0.9762;
428;0.2604;618;0.9704;
429;0.2661;619;0.9660;
430;0.2742;620;0.9598;
431;0.2815;621;0.9528;
432;0.2897;622;0.9462;
433;0.2970;623;0.9398;
434;0.3051;624;0.9341;
435;0.3133;625;0.9287;
436;0.3214;626;0.9236;
437;0.3295;627;0.9176;
438;0.3377;628;0.9118;
439;0.3466;629;0.9057;
440;0.3548;630;0.8997;
441;0.3637;631;0.8917;
442;0.3719;632;0.8847;
443;0.3816;633;0.8775;
444;0.3898;634;0.8699;
445;0.3995;635;0.8618;
446;0.4085;636;0.8536;
447;0.4174;637;0.8442;
448;0.4272;638;0.8347;
449;0.4361;639;0.8259;
450;0.4467;640;0.8165;
451;0.4548;641;0.8075;
452;0.4654;642;0.7983;
453;0.4752;643;0.7888;
454;0.4850;644;0.7790;
455;0.4947;645;0.7702;
456;0.5045;646;0.7613;
457;0.5159;647;0.7520;
458;0.5264;648;0.7426;
459;0.5378;649;0.7345;
460;0.5484;650;0.7254;
461;0.5598;651;0.7159;
462;0.5720;652;0.7067;
463;0.5826;653;0.6975;
464;0.5940;654;0.6890;
465;0.6054;655;0.6822;
466;0.6160;656;0.6757;
467;0.6282;657;0.6678;
468;0.6387;658;0.6601;
469;0.6493;659;0.6534;
470;0.6599;660;0.6460;
471;0.6713;661;0.6371;
472;0.6827;662;0.6289;
473;0.6924;663;0.6204;
474;0.7038;664;0.6115;
475;0.7144;665;0.6023;
476;0.7258;666;0.5919;
477;0.7364;667;0.5800;
478;0.7461;668;0.5675;
479;0.7575;669;0.5552;
480;0.7673;670;0.5425;
481;0.7779;671;0.5291;
482;0.7885;672;0.5163;
483;0.7982;673;0.5047;
484;0.8088;674;0.4931;
485;0.8177;675;0.4817;
486;0.8283;676;0.4701;
487;0.8381;677;0.4584;
488;0.8470;678;0.4477;
489;0.8568;679;0.4377;
490;0.8657;680;0.4287;
491;0.8755;681;0.4202;
