Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.6341;440;0.0003;
221;0.6804;441;0.0002;
222;0.6410;442;0.0003;
223;0.6365;443;0.0002;
224;0.6562;444;0.0003;
225;0.6561;445;0.0003;
226;0.6162;446;0.0003;
227;0.6056;447;0.0003;
228;0.6146;448;0.0003;
229;0.6149;449;0.0003;
230;0.6048;450;0.0003;
231;0.5712;451;0.0003;
232;0.5633;452;0.0003;
233;0.5567;453;0.0003;
234;0.5358;454;0.0003;
235;0.5181;455;0.0004;
236;0.5408;456;0.0005;
237;0.4843;457;0.0005;
238;0.4819;458;0.0006;
239;0.4918;459;0.0005;
240;0.4861;460;0.0004;
241;0.4685;461;0.0004;
242;0.4730;462;0.0004;
243;0.4493;463;0.0003;
244;0.4274;464;0.0004;
245;0.4189;465;0.0004;
246;0.4237;466;0.0004;
247;0.4053;467;0.0004;
248;0.3830;468;0.0004;
249;0.3958;469;0.0004;
250;0.3994;470;0.0004;
251;0.3877;471;0.0004;
252;0.3818;472;0.0004;
253;0.4042;473;0.0005;
254;0.3737;474;0.0006;
255;0.3975;475;0.0007;
256;0.3937;476;0.0007;
257;0.3970;477;0.0007;
258;0.4192;478;0.0006;
259;0.4295;479;0.0005;
260;0.4041;480;0.0004;
261;0.4281;481;0.0004;
262;0.4621;482;0.0004;
263;0.4597;483;0.0004;
264;0.4582;484;0.0005;
265;0.4595;485;0.0005;
266;0.4784;486;0.0005;
267;0.4912;487;0.0005;
268;0.4765;488;0.0006;
269;0.5071;489;0.0007;
270;0.4930;490;0.0009;
271;0.5256;491;0.0012;
272;0.4631;492;0.0015;
273;0.4960;493;0.0014;
274;0.5035;494;0.0013;
275;0.5130;495;0.0011;
276;0.5065;496;0.0009;
277;0.5141;497;0.0009;
278;0.5316;498;0.0008;
279;0.5142;499;0.0009;
280;0.5343;500;0.0009;
281;0.5065;501;0.0010;
282;0.5319;502;0.0011;
283;0.5524;503;0.0011;
284;0.5301;504;0.0012;
285;0.5120;505;0.0014;
286;0.5492;506;0.0014;
287;0.5050;507;0.0016;
288;0.5151;508;0.0018;
289;0.4959;509;0.0020;
290;0.5117;510;0.0022;
291;0.4929;511;0.0024;
292;0.4836;512;0.0027;
293;0.4966;513;0.0030;
294;0.5106;514;0.0034;
295;0.4777;515;0.0037;
296;0.4813;516;0.0042;
297;0.4792;517;0.0046;
298;0.4589;518;0.0051;
299;0.4546;519;0.0056;
300;0.4367;520;0.0063;
301;0.4482;521;0.0070;
302;0.4637;522;0.0077;
303;0.4631;523;0.0085;
304;0.4328;524;0.0095;
305;0.4376;525;0.0106;
306;0.4470;526;0.0116;
307;0.4123;527;0.0131;
308;0.4325;528;0.0146;
309;0.4409;529;0.0160;
310;0.4128;530;0.0179;
311;0.4018;531;0.0200;
312;0.4576;532;0.0217;
313;0.3449;533;0.0239;
314;0.3787;534;0.0261;
315;0.3833;535;0.0286;
316;0.3249;536;0.0312;
317;0.4479;537;0.0339;
318;0.3844;538;0.0374;
319;0.4003;539;0.0405;
320;0.5465;540;0.0441;
321;0.3396;541;0.0474;
322;0.3734;542;0.0513;
323;0.4484;543;0.0557;
324;0.4503;544;0.0602;
325;0.4296;545;0.0646;
326;0.4478;546;0.0700;
327;0.4385;547;0.0757;
328;0.4252;548;0.0812;
329;0.3298;549;0.0870;
330;0.3058;550;0.0933;
331;0.4583;551;0.1013;
332;0.4398;552;0.1087;
333;0.3407;553;0.1168;
334;0.2745;554;0.1246;
335;0.3447;555;0.1335;
336;0.4174;556;0.1422;
337;0.3458;557;0.1520;
338;0.3423;558;0.1611;
339;0.3872;559;0.1715;
340;0.4711;560;0.1815;
341;0.4032;561;0.1908;
342;0.3504;562;0.2027;
343;0.4908;563;0.2137;
344;0.3773;564;0.2255;
345;0.4401;565;0.2385;
346;0.3492;566;0.2512;
347;0.3754;567;0.2627;
348;0.3928;568;0.2763;
349;0.4440;569;0.2902;
350;0.4699;570;0.3025;
351;0.4221;571;0.3173;
352;0.3725;572;0.3330;
353;0.4546;573;0.3474;
354;0.4051;574;0.3632;
355;0.3778;575;0.3810;
356;0.3850;576;0.3951;
357;0.3877;577;0.4129;
358;0.3599;578;0.4302;
359;0.4020;579;0.4479;
360;0.3784;580;0.4646;
361;0.4107;581;0.4827;
362;0.4050;582;0.4992;
363;0.4455;583;0.5142;
364;0.3844;584;0.5333;
365;0.3886;585;0.5501;
366;0.3787;586;0.5681;
367;0.3964;587;0.5849;
368;0.4204;588;0.6031;
369;0.3964;589;0.6201;
370;0.4197;590;0.6373;
371;0.4122;591;0.6523;
372;0.3859;592;0.6697;
373;0.4221;593;0.6872;
374;0.4161;594;0.7041;
375;0.4165;595;0.7203;
376;0.3965;596;0.7351;
377;0.4000;597;0.7475;
378;0.4249;598;0.7673;
379;0.3878;599;0.7801;
380;0.3940;600;0.7965;
381;0.3860;601;0.8123;
382;0.3935;602;0.8262;
383;0.3847;603;0.8385;
384;0.3748;604;0.8536;
385;0.3905;605;0.8648;
386;0.3498;606;0.8762;
387;0.3881;607;0.8886;
388;0.4185;608;0.9007;
389;0.4074;609;0.9091;
390;0.4131;610;0.9194;
391;0.4053;611;0.9313;
392;0.4087;612;0.9388;
393;0.4410;613;0.9446;
394;0.4565;614;0.9515;
395;0.3896;615;0.9578;
396;0.4249;616;0.9656;
397;0.4316;617;0.9713;
398;0.4337;618;0.9781;
399;0.4708;619;0.9816;
400;0.4286;620;0.9847;
401;0.4311;621;0.9899;
402;0.4201;622;0.9953;
403;0.4485;623;0.9987;
404;0.4580;624;1.0000;
405;0.5159;625;0.9982;
406;0.4996;626;0.9932;
407;0.4909;627;0.9879;
408;0.5321;628;0.9844;
409;0.5232;629;0.9843;
410;0.5291;630;0.9869;
411;0.5719;631;0.9837;
412;0.5132;632;0.9819;
413;0.5168;633;0.9795;
414;0.5746;634;0.9748;
415;0.5614;635;0.9685;
416;0.5501;636;0.9634;
417;0.5847;637;0.9577;
418;0.6114;638;0.9463;
419;0.6108;639;0.9376;
420;0.6107;640;0.9306;
421;0.6194;641;0.9224;
422;0.6750;642;0.9158;
423;0.6582;643;0.9047;
424;0.6533;644;0.8972;
425;0.6981;645;0.8869;
426;0.7073;646;0.8770;
427;0.6965;647;0.8643;
428;0.7157;648;0.8549;
429;0.7413;649;0.8398;
430;0.7327;650;0.8260;
431;0.7581;651;0.8142;
432;0.7893;652;0.8070;
433;0.7814;653;0.7920;
434;0.7901;654;0.7800;
435;0.8078;655;0.7688;
436;0.8310;656;0.7577;
437;0.8766;657;0.7449;
438;0.8302;658;0.7313;
439;0.8766;659;0.7177;
440;0.8756;660;0.7030;
441;0.8784;661;0.6879;
442;0.8702;662;0.6759;
443;0.9034;663;0.6621;
444;0.8430;664;0.6499;
445;0.8998;665;0.6346;
446;0.8795;666;0.6243;
447;0.9452;667;0.6126;
448;0.9441;668;0.6038;
449;0.9381;669;0.5889;
450;0.9736;670;0.5787;
451;0.9447;671;0.5640;
452;0.9388;672;0.5529;
453;0.9836;673;0.5403;
454;0.9645;674;0.5262;
455;0.9566;675;0.5140;
456;0.9467;676;0.5023;
457;0.9609;677;0.4906;
458;1.0000;678;0.4772;
459;0.9691;679;0.4657;
460;0.9495;680;0.4557;
461;0.9653;681;0.4445;
462;0.9818;682;0.4335;
463;0.9474;683;0.4218;
464;0.9611;684;0.4067;
465;0.9991;685;0.3997;
466;0.9818;686;0.3879;
467;0.9748;687;0.3775;
468;0.9593;688;0.3701;
469;0.9590;689;0.3608;
470;0.9700;690;0.3515;
471;0.9160;691;0.3417;
472;0.9120;692;0.3343;
473;0.9620;693;0.3270;
474;0.9593;694;0.3152;
475;0.8957;695;0.3076;
476;0.9044;696;0.2967;
477;0.9147;697;0.2907;
478;0.8792;698;0.2804;
479;0.8615;699;0.2731;
480;0.8902;700;0.2676;
481;0.8335;701;0.2583;
