Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.3260;516;0.0121;
301;0.3260;517;0.0121;
302;0.3260;518;0.0121;
303;0.3260;519;0.0121;
304;0.3205;520;0.0120;
305;0.3160;521;0.0154;
306;0.3106;522;0.0175;
307;0.3035;523;0.0206;
308;0.2976;524;0.0222;
309;0.2921;525;0.0237;
310;0.2903;526;0.0253;
311;0.2869;527;0.0288;
312;0.2857;528;0.0287;
313;0.2813;529;0.0287;
314;0.2804;530;0.0288;
315;0.2804;531;0.0355;
316;0.2803;532;0.0398;
317;0.2772;533;0.0452;
318;0.2770;534;0.0462;
319;0.2770;535;0.0506;
320;0.2770;536;0.0547;
321;0.2776;537;0.0614;
322;0.2803;538;0.0667;
323;0.2802;539;0.0735;
324;0.2826;540;0.0766;
325;0.2837;541;0.0834;
326;0.2848;542;0.0914;
327;0.2903;543;0.0984;
328;0.2914;544;0.1065;
329;0.2936;545;0.1138;
330;0.2969;546;0.1217;
331;0.2978;547;0.1357;
332;0.3002;548;0.1400;
333;0.3022;549;0.1523;
334;0.3035;550;0.1618;
335;0.3036;551;0.1717;
336;0.3052;552;0.1817;
337;0.3068;553;0.1941;
338;0.3054;554;0.2063;
339;0.2982;555;0.2197;
340;0.2891;556;0.2353;
341;0.2952;557;0.2511;
342;0.3002;558;0.2656;
343;0.3002;559;0.2765;
344;0.3013;560;0.3007;
345;0.3046;561;0.3058;
346;0.3100;562;0.3251;
347;0.3109;563;0.3454;
348;0.3145;564;0.3573;
349;0.3167;565;0.3784;
350;0.3190;566;0.3978;
351;0.3201;567;0.4170;
352;0.3201;568;0.4284;
353;0.3198;569;0.4508;
354;0.3154;570;0.4707;
355;0.3110;571;0.4865;
356;0.3068;572;0.5110;
357;0.3056;573;0.5302;
358;0.3013;574;0.5444;
359;0.2969;575;0.5611;
360;0.2969;576;0.5893;
361;0.2969;577;0.6025;
362;0.2969;578;0.6260;
363;0.2976;579;0.6446;
364;0.3002;580;0.6688;
365;0.3017;581;0.6790;
366;0.3074;582;0.7089;
367;0.3115;583;0.7263;
368;0.3183;584;0.7383;
369;0.3200;585;0.7622;
370;0.3212;586;0.7713;
371;0.3234;587;0.7918;
