Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
420;0.1439;535;0.4836;
421;0.1980;536;0.5240;
422;0.2703;537;0.5810;
423;0.3411;538;0.6475;
424;0.4433;539;0.6795;
425;0.4949;540;0.7247;
426;0.5400;541;0.7736;
427;0.5445;542;0.8219;
428;0.5378;543;0.8508;
429;0.3992;544;0.8748;
430;0.3263;545;0.9121;
431;0.1890;546;0.9285;
432;0.1392;547;0.9556;
433;0.1009;548;0.9674;
434;0.0950;549;0.9770;
435;0.1045;550;0.9900;
436;0.1210;551;0.9966;
437;0.1416;552;1.0000;
438;0.1506;553;0.9907;
439;0.1659;554;0.9847;
440;0.1792;555;0.9783;
441;0.1962;556;0.9684;
442;0.2131;557;0.9543;
443;0.2251;558;0.9375;
444;0.2596;559;0.9221;
445;0.2801;560;0.9079;
446;0.3052;561;0.8892;
447;0.3281;562;0.8727;
448;0.3463;563;0.8610;
449;0.3666;564;0.8454;
450;0.3830;565;0.8352;
451;0.4054;566;0.8289;
452;0.4288;567;0.8253;
453;0.4518;568;0.8188;
454;0.4732;569;0.8132;
455;0.4915;570;0.8133;
456;0.5128;571;0.8194;
457;0.5375;572;0.8226;
458;0.5562;573;0.8350;
459;0.5812;574;0.8501;
460;0.6013;575;0.8677;
461;0.6182;576;0.8778;
462;0.6328;577;0.8899;
463;0.6505;578;0.9003;
464;0.6678;579;0.9099;
465;0.6942;580;0.9229;
466;0.7243;581;0.9427;
467;0.7436;582;0.9456;
468;0.7695;583;0.9510;
469;0.7981;584;0.9508;
470;0.8192;585;0.9509;
471;0.8339;586;0.9466;
472;0.8476;587;0.9396;
473;0.8574;588;0.9294;
474;0.8714;589;0.9091;
475;0.8896;590;0.8953;
476;0.9006;591;0.8843;
477;0.9074;592;0.8594;
478;0.9074;593;0.8348;
479;0.9074;594;0.8083;
480;0.9127;595;0.7838;
481;0.9238;596;0.7482;
482;0.9311;597;0.7258;
483;0.9422;598;0.6928;
484;0.9527;599;0.6678;
485;0.9587;600;0.6393;
486;0.9613;601;0.6229;
487;0.9587;602;0.5965;
488;0.9587;603;0.5638;
489;0.9600;604;0.5318;
490;0.9611;605;0.5108;
491;0.9602;606;0.4827;
492;0.9665;607;0.4645;
493;0.9741;608;0.4463;
494;0.9814;609;0.4148;
495;0.9875;610;0.4009;
496;0.9937;611;0.3787;
497;0.9949;612;0.3629;
498;0.9962;613;0.3503;
499;0.9962;614;0.3380;
500;0.9975;615;0.3214;
501;1.0000;616;0.3117;
502;0.9962;617;0.3056;
503;0.9902;618;0.2906;
504;0.9750;619;0.2850;
505;0.9569;620;0.2732;
506;0.9363;621;0.2651;
507;0.9211;622;0.2558;
508;0.9082;623;0.2494;
509;0.8913;624;0.2430;
510;0.8615;625;0.2396;
511;0.8328;626;0.2331;
512;0.8072;627;0.2294;
513;0.7745;628;0.2257;
514;0.7456;629;0.2203;
515;0.7280;630;0.2126;
516;0.7136;631;0.2066;
517;0.7023;632;0.2024;
518;0.6951;633;0.1969;
519;0.6865;634;0.1908;
520;0.6764;635;0.1840;
521;0.6706;636;0.1808;
522;0.6568;637;0.1742;
523;0.6422;638;0.1679;
524;0.6234;639;0.1633;
525;0.6109;640;0.1577;
526;0.5824;641;0.1502;
527;0.5619;642;0.1427;
528;0.5445;643;0.1386;
529;0.5255;644;0.1353;
530;0.5094;645;0.1266;
531;0.5026;646;0.1226;
532;0.4994;647;0.1190;
533;0.4970;648;0.1123;
534;0.4940;649;0.1064;
535;0.4893;650;0.1028;
536;0.4843;651;0.0961;
537;0.4750;652;0.0925;
538;0.4588;653;0.0864;
539;0.4414;654;0.0827;
540;0.4089;655;0.0788;
541;0.3723;656;0.0751;
542;0.3372;657;0.0724;
543;0.3067;658;0.0676;
544;0.2726;659;0.0675;
545;0.2188;660;0.0649;
546;0.1716;661;0.0619;
547;0.1278;662;0.0599;
548;0.1020;663;0.0570;
;;664;0.0518;
;;665;0.0492;
;;666;0.0485;
;;667;0.0466;
;;668;0.0438;
;;669;0.0443;
;;670;0.0415;
;;671;0.0400;
;;672;0.0364;
;;673;0.0362;
;;674;0.0363;
;;675;0.0364;
;;676;0.0335;
;;677;0.0337;
;;678;0.0337;
;;679;0.0337;
;;680;0.0336;
;;681;0.0316;
;;682;0.0334;
;;683;0.0312;
;;684;0.0311;
;;685;0.0297;
;;686;0.0285;
;;687;0.0285;
;;688;0.0285;
;;689;0.0279;
;;690;0.0260;
;;691;0.0259;
;;692;0.0259;
;;693;0.0259;
;;694;0.0259;
;;695;0.0259;
;;696;0.0259;
;;697;0.0259;
;;698;0.0259;
