Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
260;0.7017;480;0.0187;
261;0.6355;481;0.0228;
262;0.6347;482;0.0280;
263;0.6550;483;0.0314;
264;0.6769;484;0.0345;
265;0.6880;485;0.0377;
266;0.6801;486;0.0427;
267;0.6655;487;0.0468;
268;0.6696;488;0.0509;
269;0.6888;489;0.0569;
270;0.6706;490;0.0639;
271;0.6716;491;0.0708;
272;0.6474;492;0.0784;
273;0.6074;493;0.0859;
274;0.5571;494;0.0989;
275;0.5432;495;0.1099;
276;0.5740;496;0.1234;
277;0.5691;497;0.1404;
278;0.5674;498;0.1572;
279;0.5390;499;0.1784;
280;0.5431;500;0.2023;
281;0.4923;501;0.2258;
282;0.4508;502;0.2551;
283;0.3974;503;0.2851;
284;0.3825;504;0.3193;
285;0.3794;505;0.3567;
286;0.3524;506;0.4011;
287;0.3184;507;0.4469;
288;0.3032;508;0.4914;
289;0.3076;509;0.5399;
290;0.2923;510;0.5959;
291;0.2797;511;0.6505;
292;0.2486;512;0.7006;
293;0.2298;513;0.7534;
294;0.2202;514;0.8000;
295;0.2131;515;0.8504;
296;0.2061;516;0.8884;
297;0.2049;517;0.9255;
298;0.1983;518;0.9459;
299;0.1854;519;0.9703;
300;0.1756;520;0.9897;
301;0.1771;521;0.9926;
302;0.1756;522;1.0000;
303;0.1669;523;0.9963;
304;0.1552;524;0.9882;
305;0.1556;525;0.9728;
306;0.1538;526;0.9596;
307;0.1452;527;0.9439;
308;0.1364;528;0.9290;
309;0.1328;529;0.9027;
310;0.1332;530;0.8795;
311;0.1264;531;0.8550;
312;0.1204;532;0.8319;
313;0.1164;533;0.8124;
314;0.1148;534;0.7851;
315;0.1108;535;0.7613;
316;0.1069;536;0.7372;
317;0.1048;537;0.7201;
318;0.0958;538;0.6928;
319;0.0942;539;0.6758;
320;0.0918;540;0.6555;
321;0.0916;541;0.6378;
322;0.0891;542;0.6179;
323;0.0888;543;0.5990;
324;0.0819;544;0.5870;
325;0.0774;545;0.5714;
326;0.0816;546;0.5579;
327;0.0830;547;0.5445;
328;0.0799;548;0.5281;
329;0.0754;549;0.5189;
330;0.0776;550;0.5075;
331;0.0781;551;0.4953;
332;0.0746;552;0.4836;
333;0.0684;553;0.4709;
334;0.0664;554;0.4637;
335;0.0694;555;0.4507;
336;0.0674;556;0.4401;
337;0.0650;557;0.4318;
338;0.0645;558;0.4181;
339;0.0673;559;0.4102;
340;0.0678;560;0.3972;
341;0.0691;561;0.3889;
342;0.0685;562;0.3782;
343;0.0678;563;0.3655;
344;0.0684;564;0.3554;
345;0.0693;565;0.3436;
346;0.0708;566;0.3333;
347;0.0721;567;0.3237;
348;0.0746;568;0.3097;
349;0.0755;569;0.3004;
350;0.0757;570;0.2879;
351;0.0827;571;0.2785;
352;0.0879;572;0.2700;
353;0.0893;573;0.2589;
354;0.0846;574;0.2484;
355;0.0898;575;0.2403;
356;0.0926;576;0.2288;
357;0.0924;577;0.2238;
358;0.0904;578;0.2143;
359;0.0954;579;0.2046;
360;0.1000;580;0.1967;
361;0.1024;581;0.1896;
362;0.0986;582;0.1813;
363;0.0967;583;0.1754;
364;0.0971;584;0.1671;
365;0.1002;585;0.1612;
366;0.1010;586;0.1555;
367;0.1034;587;0.1500;
368;0.1016;588;0.1444;
369;0.0985;589;0.1396;
370;0.0984;590;0.1339;
371;0.1007;591;0.1280;
372;0.0961;592;0.1247;
373;0.0911;593;0.1189;
374;0.0937;594;0.1148;
375;0.0941;595;0.1105;
376;0.0886;596;0.1072;
