Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
400;0.0649;535;0.0279;
401;0.0643;536;0.0306;
402;0.0636;537;0.0350;
403;0.0621;538;0.0401;
404;0.0604;539;0.0448;
405;0.0574;540;0.0516;
406;0.0566;541;0.0605;
407;0.0537;542;0.0681;
408;0.0534;543;0.0801;
409;0.0515;544;0.0941;
410;0.0515;545;0.1090;
411;0.0505;546;0.1255;
412;0.0506;547;0.1462;
413;0.0503;548;0.1663;
414;0.0498;549;0.1900;
415;0.0492;550;0.2140;
416;0.0495;551;0.2421;
417;0.0488;552;0.2727;
418;0.0492;553;0.3041;
419;0.0495;554;0.3390;
420;0.0497;555;0.3748;
421;0.0494;556;0.4159;
422;0.0487;557;0.4520;
423;0.0496;558;0.4901;
424;0.0489;559;0.5347;
425;0.0492;560;0.5747;
426;0.0492;561;0.6186;
427;0.0493;562;0.6645;
428;0.0488;563;0.7114;
429;0.0493;564;0.7514;
430;0.0479;565;0.7871;
431;0.0484;566;0.8179;
432;0.0479;567;0.8575;
433;0.0468;568;0.8856;
434;0.0457;569;0.9140;
435;0.0468;570;0.9360;
436;0.0441;571;0.9595;
437;0.0442;572;0.9706;
438;0.0425;573;0.9845;
439;0.0418;574;0.9949;
440;0.0411;575;1.0000;
441;0.0414;576;0.9974;
442;0.0401;577;0.9974;
443;0.0390;578;0.9963;
444;0.0388;579;0.9857;
445;0.0377;580;0.9728;
446;0.0376;581;0.9618;
447;0.0382;582;0.9450;
448;0.0365;583;0.9287;
449;0.0362;584;0.9111;
450;0.0361;585;0.8826;
451;0.0348;586;0.8616;
452;0.0349;587;0.8373;
453;0.0348;588;0.8131;
454;0.0354;589;0.7826;
455;0.0356;590;0.7531;
456;0.0360;591;0.7258;
457;0.0367;592;0.7033;
458;0.0376;593;0.6781;
459;0.0389;594;0.6581;
460;0.0394;595;0.6338;
461;0.0403;596;0.6090;
462;0.0412;597;0.5902;
463;0.0422;598;0.5699;
464;0.0440;599;0.5492;
465;0.0442;600;0.5272;
466;0.0462;601;0.5113;
467;0.0484;602;0.4895;
468;0.0502;603;0.4754;
469;0.0513;604;0.4583;
470;0.0540;605;0.4454;
471;0.0566;606;0.4262;
472;0.0588;607;0.4129;
473;0.0606;608;0.3989;
474;0.0634;609;0.3900;
475;0.0655;610;0.3784;
476;0.0683;611;0.3690;
477;0.0704;612;0.3597;
478;0.0739;613;0.3484;
479;0.0758;614;0.3413;
480;0.0792;615;0.3338;
481;0.0817;616;0.3291;
482;0.0851;617;0.3207;
483;0.0880;618;0.3153;
484;0.0919;619;0.3095;
485;0.0945;620;0.3021;
486;0.0987;621;0.2961;
487;0.1019;622;0.2886;
488;0.1057;623;0.2861;
489;0.1103;624;0.2825;
490;0.1146;625;0.2755;
491;0.1186;626;0.2715;
492;0.1246;627;0.2672;
493;0.1297;628;0.2616;
494;0.1356;629;0.2543;
495;0.1412;630;0.2513;
496;0.1481;631;0.2474;
497;0.1545;632;0.2416;
498;0.1631;633;0.2323;
499;0.1698;634;0.2298;
500;0.1791;635;0.2240;
501;0.1887;636;0.2148;
502;0.1974;637;0.2105;
503;0.2073;638;0.2039;
504;0.2183;639;0.1972;
505;0.2292;640;0.1892;
506;0.2402;641;0.1841;
507;0.2521;642;0.1777;
508;0.2628;643;0.1734;
509;0.2743;644;0.1684;
510;0.2861;645;0.1614;
511;0.2968;646;0.1544;
512;0.3077;647;0.1493;
513;0.3184;648;0.1443;
514;0.3297;649;0.1392;
515;0.3396;650;0.1325;
516;0.3497;651;0.1270;
517;0.3592;652;0.1208;
518;0.3680;653;0.1188;
519;0.3760;654;0.1154;
520;0.3832;655;0.1143;
521;0.3906;656;0.1080;
522;0.3973;657;0.1043;
523;0.4033;658;0.1033;
524;0.4096;659;0.1006;
525;0.4162;660;0.0942;
526;0.4226;661;0.0926;
527;0.4297;662;0.0914;
528;0.4376;663;0.0881;
529;0.4460;664;0.0848;
530;0.4552;665;0.0810;
531;0.4654;666;0.0798;
532;0.4768;667;0.0755;
533;0.4898;668;0.0743;
534;0.5042;669;0.0703;
535;0.5202;670;0.0682;
536;0.5369;671;0.0663;
537;0.5572;672;0.0640;
538;0.5774;673;0.0629;
539;0.5999;674;0.0613;
540;0.6235;675;0.0614;
541;0.6488;676;0.0571;
542;0.6756;677;0.0559;
543;0.7036;678;0.0550;
544;0.7337;679;0.0527;
545;0.7638;680;0.0514;
546;0.7942;681;0.0509;
547;0.8238;682;0.0487;
548;0.8515;683;0.0468;
549;0.8791;684;0.0465;
550;0.9027;685;0.0459;
551;0.9253;686;0.0434;
552;0.9443;687;0.0435;
553;0.9611;688;0.0425;
554;0.9743;689;0.0408;
555;0.9871;690;0.0399;
556;0.9934;691;0.0396;
557;0.9984;692;0.0395;
558;1.0000;693;0.0378;
559;0.9992;694;0.0372;
560;0.9930;695;0.0371;
561;0.9838;696;0.0353;
562;0.9709;697;0.0348;
563;0.9533;698;0.0335;
564;0.9322;699;0.0328;
565;0.9067;700;0.0316;
566;0.8784;;;
567;0.8474;;;
568;0.8138;;;
569;0.7776;;;
570;0.7399;;;
571;0.7024;;;
572;0.6631;;;
573;0.6240;;;
574;0.5845;;;
575;0.5456;;;
576;0.5062;;;
577;0.4680;;;
578;0.4320;;;
579;0.3955;;;
580;0.3626;;;
581;0.3296;;;
582;0.2996;;;
583;0.2702;;;
584;0.2443;;;
585;0.2194;;;
586;0.1978;;;
587;0.1772;;;
588;0.1588;;;
589;0.1420;;;
590;0.1271;;;
591;0.1134;;;
592;0.1018;;;
593;0.0907;;;
594;0.0814;;;
595;0.0730;;;
596;0.0652;;;
597;0.0577;;;
598;0.0522;;;
599;0.0472;;;
600;0.0425;;;
601;0.0382;;;
602;0.0347;;;
603;0.0312;;;
604;0.0281;;;
605;0.0256;;;
606;0.0230;;;
607;0.0214;;;
608;0.0190;;;
609;0.0170;;;
610;0.0165;;;
611;0.0152;;;
612;0.0138;;;
613;0.0127;;;
614;0.0125;;;
615;0.0115;;;
616;0.0106;;;
617;0.0099;;;
618;0.0091;;;
619;0.0083;;;
620;0.0082;;;
621;0.0072;;;
622;0.0070;;;
623;0.0068;;;
624;0.0062;;;
625;0.0052;;;
626;0.0053;;;
627;0.0047;;;
628;0.0050;;;
629;0.0045;;;
630;0.0042;;;
631;0.0038;;;
632;0.0038;;;
633;0.0032;;;
634;0.0026;;;
635;0.0025;;;
636;0.0016;;;
