Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
308;1.0000;501;0.0077;
309;0.9601;502;0.0067;
310;0.9006;503;0.0066;
311;0.8474;504;0.0066;
312;0.7967;505;0.0066;
313;0.7566;506;0.0066;
314;0.7242;507;0.0066;
315;0.6819;508;0.0066;
316;0.6331;509;0.0066;
317;0.5938;510;0.0066;
318;0.5600;511;0.0066;
319;0.5290;512;0.0066;
320;0.5067;513;0.0066;
321;0.4822;514;0.0066;
322;0.4486;515;0.0066;
323;0.4204;516;0.0077;
324;0.3990;517;0.0100;
325;0.3749;518;0.0100;
326;0.3514;519;0.0100;
327;0.3306;520;0.0100;
328;0.3117;521;0.0099;
329;0.2953;522;0.0136;
330;0.2809;523;0.0166;
331;0.2659;524;0.0166;
332;0.2490;525;0.0166;
333;0.2350;526;0.0176;
334;0.2217;527;0.0199;
335;0.2108;528;0.0199;
336;0.1988;529;0.0207;
337;0.1859;530;0.0251;
338;0.1747;531;0.0266;
339;0.1589;532;0.0271;
340;0.1454;533;0.0299;
341;0.1355;534;0.0327;
342;0.1238;535;0.0336;
343;0.1160;536;0.0365;
344;0.1080;537;0.0364;
345;0.0999;538;0.0406;
346;0.0935;539;0.0466;
347;0.0878;540;0.0487;
348;0.0802;541;0.0554;
349;0.0738;542;0.0598;
350;0.0728;543;0.0641;
351;0.0684;544;0.0696;
352;0.0640;545;0.0725;
353;0.0629;546;0.0772;
354;0.0586;547;0.0822;
355;0.0563;548;0.0916;
356;0.0564;549;0.0968;
357;0.0529;550;0.1043;
358;0.0512;551;0.1100;
359;0.0497;552;0.1146;
360;0.0492;553;0.1208;
361;0.0464;554;0.1285;
362;0.0464;555;0.1387;
363;0.0464;556;0.1474;
364;0.0464;557;0.1590;
365;0.0464;558;0.1672;
366;0.0464;559;0.1738;
367;0.0464;560;0.1846;
368;0.0464;561;0.1957;
369;0.0464;562;0.2032;
370;0.0464;563;0.2174;
371;0.0464;564;0.2350;
372;0.0464;565;0.2506;
373;0.0463;566;0.2643;
374;0.0474;567;0.2763;
375;0.0498;568;0.2866;
376;0.0504;569;0.2971;
377;0.0525;570;0.3163;
378;0.0529;571;0.3301;
379;0.0564;572;0.3468;
380;0.0563;573;0.3688;
381;0.0577;574;0.3848;
382;0.0596;575;0.4040;
383;0.0596;576;0.4184;
384;0.0608;577;0.4325;
385;0.0629;578;0.4536;
386;0.0640;579;0.4743;
387;0.0662;580;0.4949;
388;0.0662;581;0.5157;
389;0.0696;582;0.5298;
390;0.0706;583;0.5527;
391;0.0728;584;0.5624;
392;0.0770;585;0.5748;
393;0.0813;586;0.6014;
394;0.0827;587;0.6172;
395;0.0868;588;0.6417;
396;0.0911;589;0.6610;
397;0.0926;590;0.6748;
398;0.0965;591;0.6860;
399;0.1032;592;0.7094;
400;0.1084;593;0.7248;
401;0.1094;594;0.7456;
402;0.1148;595;0.7684;
403;0.1214;596;0.7903;
404;0.1258;597;0.8084;
405;0.1302;598;0.8232;
406;0.1378;599;0.8373;
407;0.1423;600;0.8449;
408;0.1480;601;0.8556;
409;0.1566;602;0.8777;
410;0.1618;603;0.8875;
411;0.1686;604;0.8951;
412;0.1763;605;0.9077;
413;0.1815;606;0.9301;
414;0.1896;607;0.9381;
415;0.1993;608;0.9414;
416;0.2066;609;0.9386;
417;0.2146;610;0.9469;
418;0.2231;611;0.9592;
419;0.2330;612;0.9635;
420;0.2408;613;0.9612;
421;0.2494;614;0.9590;
422;0.2594;615;0.9692;
423;0.2668;616;0.9761;
424;0.2758;617;0.9871;
425;0.2867;618;1.0000;
426;0.2971;619;0.9826;
427;0.3086;620;0.9812;
428;0.3200;621;0.9791;
429;0.3284;622;0.9701;
430;0.3399;623;0.9666;
431;0.3525;624;0.9638;
432;0.3653;625;0.9611;
433;0.3771;626;0.9569;
434;0.3876;627;0.9457;
435;0.4018;628;0.9301;
436;0.4144;629;0.9204;
437;0.4272;630;0.9021;
438;0.4393;631;0.9015;
439;0.4524;632;0.8971;
440;0.4645;633;0.8833;
441;0.4778;634;0.8674;
442;0.4913;635;0.8507;
443;0.5037;636;0.8436;
444;0.5185;637;0.8296;
445;0.5319;638;0.8105;
446;0.5454;639;0.8045;
447;0.5600;640;0.7863;
448;0.5758;641;0.7699;
449;0.5909;642;0.7615;
450;0.6029;643;0.7372;
