wl,abs,wl,em
300,37.65932,480,1.8806
301,33.08227,481,2.075305
302,28.27346,482,2.53752
303,25.4635,483,2.968765
304,23.146,484,3.295355
305,20.77057,485,3.61212
306,19.29316,486,4.022195
307,17.98957,487,4.47893
308,16.5701,488,4.88901
309,15.70104,489,5.3924
310,14.86095,490,6.0431195
311,13.84704,491,6.7355845
312,13.2387,492,7.45752
313,12.6883,493,8.216285
314,12.02202,494,9.242705
315,11.58749,495,10.441035
316,11.18192,496,11.6639
317,10.63152,497,13.1888
318,10.28389,498,14.8782
319,9.907301,499,16.7788
320,9.414831,500,19.03795
321,9.125145,501,21.4051
322,8.835458,502,24.0448
323,8.545771,503,27.0111
324,8.314021,504,30.21805
325,8.024334,505,33.79825
326,7.792584,506,37.8892
327,7.618772,507,42.40005
328,7.502897,508,46.91335
329,7.300116,509,51.5617
330,7.155272,510,56.78715
331,7.097335,511,62.31705
332,6.894554,512,67.55475
333,6.720742,513,72.7016
334,6.633835,514,77.67165
335,6.402086,515,82.5214
336,6.257242,516,86.9414
337,6.170336,517,90.6984
338,6.112399,518,93.5714
339,6.025493,519,95.81085
340,5.996524,520,98.0012
341,6.054461,521,99.11355
342,6.025493,522,99.6292
343,5.967555,523,100
344,5.967555,524,99.226505
345,6.025493,525,98.050255
346,6.112399,526,96.618705
347,6.228274,527,95.17485
348,6.286211,528,93.645
349,6.431054,529,91.58235
350,6.575898,530,89.10715
351,6.662804,531,86.7228
352,6.952491,532,84.3434
353,7.21321,533,82.2169
354,7.242178,534,79.87675
355,7.387022,535,77.31805
356,7.473928,536,74.9239
357,7.531866,537,72.86615
358,7.589803,538,70.64875
359,7.734646,539,68.4314
360,7.821553,540,66.56275
361,7.821553,541,64.66215
362,7.850522,542,62.78365
363,7.821553,543,60.84865
364,7.821553,544,59.3041
365,7.792584,545,57.9216
366,7.792584,546,56.46545
367,7.763615,547,55.11985
368,7.676709,548,53.62935
369,7.589803,549,52.35
370,7.560834,550,51.31865
371,7.473928,551,50.1375
372,7.329084,552,48.9441
373,7.21321,553,47.7237
374,7.039397,554,46.7292
375,6.836617,555,45.72245
376,6.662804,556,44.5413
377,6.402086,557,43.5959
378,6.170336,558,42.49585
379,5.967555,559,41.41295
380,5.619931,560,40.36685
381,5.388181,561,39.30115
382,5.127462,562,38.3558
383,4.750869,563,37.18695
384,4.519119,564,36.0451
385,4.316339,565,34.9499
386,3.910776,566,33.8449
387,3.650058,567,32.8504
388,3.389339,568,31.6693
389,3.041715,569,30.5029
390,2.780997,570,29.41505
391,2.549247,571,28.3199
392,2.230591,572,27.42365
