wl,abs,wl,em
250,350.1723,385,1.477208
251,347.1467,386,1.90125
252,344.1849,387,2.609408
253,339.9719,388,3.936738
254,332.6823,389,5.834753
255,324.7159,390,8.318356
256,314.6687,391,12.18229
257,299.4638,392,17.91178
258,285.5739,393,26.07815
259,269.2327,394,36.83308
260,231.546,395,49.30562
261,180.8247,396,62.46954
262,130.5885,397,74.74684
263,84.28444,398,84.8531
264,61.20261,399,92.09078
265,46.40623,400,96.32483
266,35.03128,401,97.49556
267,29.35019,402,96.84883
268,25.21384,403,94.49035
269,21.39666,404,91.29305
270,19.14975,405,87.27831
271,17.34968,406,82.7275
272,15.473,407,78.12653
273,14.26018,408,73.45295
274,13.21333,409,69.21817
275,12.07711,410,65.27133
276,11.31112,411,61.75844
277,10.58343,412,59.28435
278,9.791906,413,58.09856
279,9.217414,414,58.53683
280,8.655687,415,60.24578
281,7.99183,416,63.75951
282,7.532236,417,68.38651
283,7.059875,418,74.14287
284,6.510915,419,80.37685
285,6.102387,420,86.47013
286,5.693859,421,91.74107
287,5.259799,422,95.71267
288,5.004468,423,98.56859
289,4.749138,424,100
290,4.481042,425,99.56924
291,4.315077,426,97.59235
292,4.136346,427,94.93401
293,3.906549,428,91.1013
294,3.766118,429,86.5351
295,3.638453,430,82.06165
296,3.459722,431,77.41102
297,3.35759,432,72.7596
298,3.255458,433,67.90732
299,3.229925,434,63.59326
300,3.229925,435,59.23734
301,3.268224,436,55.5018
302,3.370356,437,52.02088
303,3.498021,438,49.42137
304,3.625686,439,47.26038
305,3.817184,440,45.64898
306,3.957615,441,44.83369
307,4.072514,442,44.30498
308,4.225712,443,43.97384
309,4.315077,444,44.36278
310,4.417209,445,45.02647
311,4.647007,446,45.7157
312,4.85127,447,46.27555
313,5.132133,448,46.41925
314,5.630027,449,46.25109
315,6.089621,450,45.73438
316,6.664114,451,45.03848
317,7.532236,452,44.08009
318,8.196094,453,43.05217
319,8.872718,454,41.5578
320,9.70254,455,39.94052
321,10.26427,456,38.09555
322,10.71109,457,36.20372
323,11.09409,458,34.21819
324,11.32389,459,32.27252
325,11.52815,460,30.2234
326,11.82178,461,28.43472
327,12.20477,462,26.87426
328,12.85587,463,25.13642
329,14.11975,464,23.87008
330,15.3964,465,22.73347
331,16.91561,466,21.53253
332,19.21358,467,20.26855
333,21.07749,468,19.25333
334,22.92863,469,18.52428
335,25.22661,470,18.00013
336,26.78412,471,17.66228
337,27.99694,472,17.19298
338,28.78846,473,16.80997
339,28.81399,474,16.47953
340,28.45653,475,16.14732
341,27.77991,476,15.80059
342,27.42244,477,15.76387
343,27.38414,478,15.5784
344,28.18843,479,15.21912
345,29.55445,480,14.92402
346,31.63539,481,14.34241
347,35.28661,482,13.803
348,38.46547,483,13.34763
349,41.92519,484,12.76238
350,46.3807,485,12.19665
351,49.66169,486,11.66539
352,53.09587,487,11.09431
353,57.48755,488,10.56099
354,60.30895,489,9.993342
355,62.36436,490,9.452762
356,62.79842,491,8.953855
357,61.18984,492,8.467301
358,58.08758,493,7.914023
359,53.00651,494,7.592498
360,49.57232,495,7.183362
361,46.99349,496,6.612874
362,45.61471,497,6.301105
363,46.20197,498,6.024931
364,48.30844,499,5.670706
365,53.10864,500,5.393355
366,57.69182,501,5.130517
367,62.70905,502,4.758052
368,68.88804,503,4.526543
369,73.02439,504,4.313664
370,77.26286,505,4.161825
371,83.92698,506,4.102207
372,90.06767,507,3.949584
373,96.17005,508,3.768965
374,99.71913,509,3.654632
375,97.102,510,3.556773
376,90.11873,511,3.455726
377,77.37776,512,3.359583
378,67.39436,513,3.252065
379,58.03651,514,3.12621
380,48.42334,515,3.041687
381,43.36781,516,2.897888
382,39.97192,517,2.798263
383,37.98034,518,2.669614
384,37.96757,519,2.615144
385,39.21869,520,2.448205
386,42.76778,521,2.403148
387,46.77646,522,2.275382
388,51.6022,523,2.226207
389,57.50032,524,2.085938
390,60.94727,525,2.005287
391,64.35593,526,1.990334
392,71.16048,527,1.844378
393,79.24167,528,1.747401
394,89.33997,529,1.687293
395,100,530,1.639736
396,99.01698,531,1.540209
397,91.35708,532,1.448086
398,74.53083,533,1.374299
399,60.61535,534,1.319633
400,47.44032,535,1.258986
401,33.55037,536,1.214223
402,25.71173,537,1.183924
403,19.44338,538,1.142594
404,13.37929,539,1.076896
405,9.983403,540,1.002815
406,7.353504,541,1.000217
407,4.978935,542,0.9448643
408,3.753351,543,0.9208406
409,2.80863,544,0.8849522
410,1.991574,545,0.9009354
411,1.570279,546,0.8176371
412,1.251117,547,0.7790031
413,0.9830205,548,0.7737572
414,0.842589,549,0.7620395
415,0.7276906,550,0.7256609
416,0.6127921,551,0.701098
417,0.561726,552,0.6919297
418,0.4978935,553,0.6981562
419,0.4468275,554,0.673005
420,0.408528,555,0.6196136
421,0.357462,556,0.6115731
422,0.306396,557,0.5947565
423,0.25533,558,0.586814
424,0.2170305,559,0.5723019
425,0.178731,560,0.5421007
426,0.153198,561,0.5423458
427,0.1404315,562,0.5371489
428,0.127665,563,0.496799
429,0.102132,564,0.4481634
430,0.0893655,565,0.4434077
431,7.66E-02,566,0.4290425
432,6.38E-02,567,0.4083528
433,0.051066,568,0.4146774
434,0.051066,569,0.398204
435,6.38E-02,570,0.3865354
436,0.051066,571,0.3609919
437,0.0382995,572,0.3554027
438,0.0382995,573,0.3418711
439,0.0382995,574,0.3564813
440,0.0382995,575,0.3487349
441,0.025533,576,0.3291238
442,0.0127665,577,0.3448127
443,0.025533,578,0.3296141
444,0.0127665,579,0.3192202
445,0.0127665,580,0.3014721
446,0.0127665,581,0.2806843
447,0,582,0.2993639
448,-0.0127665,583,0.2639658
449,0,584,0.2961281
450,-0.0127665,585,0.2667114
