wl,abs,wl,em
450,13.1546426,550,2.6285029
451,13.3581564,551,2.9311645
452,13.428535,552,3.2474814
453,13.5983111,553,3.546198
454,13.7966054,554,3.9113395
455,14.1088973,555,4.1987119
456,14.2916631,556,4.6631863
457,14.604175,557,5.4026567
458,15.0764463,558,6.2066385
459,15.6596283,559,7.0048808
460,16.2674349,560,8.0992787
461,16.8041706,561,9.2767837
462,17.1929586,562,10.6567765
463,17.6362009,563,12.2192836
464,18.0980619,564,13.736564
465,18.8452075,565,15.4134009
466,19.3102717,566,17.4265695
467,19.7847452,567,19.6445216
468,20.2630225,568,21.9352499
469,20.9184766,569,24.2702867
470,21.5989558,570,27.0904216
471,22.2506061,571,29.9417791
472,22.8542085,572,32.6902856
473,23.4576107,573,35.684211
474,23.7621146,574,38.7311689
475,24.4419931,575,42.1199682
476,25.108258,576,45.0695851
477,25.745494,577,48.5614649
478,26.1270748,578,51.925929
479,26.9150612,579,55.1643548
480,27.8193637,580,58.2815635
481,28.5406836,581,61.305334
482,29.2297713,582,64.5008288
483,29.8874277,583,67.1809212
484,30.5274664,584,70.0361815
485,31.2141517,585,72.8928193
486,31.8617981,586,75.3814437
487,32.6099447,587,77.7114298
488,33.314648,588,79.6596278
489,33.9961281,589,81.7802389
490,34.6085393,590,82.9795538
491,35.4153445,591,84.1136686
492,35.9899179,592,85.2496201
493,36.4966236,593,86.2680276
494,36.9540802,594,87.1553462
495,37.3965217,595,87.6422809
496,37.8289533,596,87.8151531
497,38.155279,597,87.847294
498,38.2854088,598,88.0568986
499,38.5612842,599,87.6622542
500,38.8804026,600,87.4526496
501,39.0495715,601,87.1787631
502,39.0399619,602,86.7308566
503,39.2455671,603,86.5862226
504,39.4557769,604,86.432635
505,39.9014216,605,86.0297258
506,40.0373573,606,85.5767685
507,40.3400594,607,85.0333577
508,40.6553741,608,84.8122742
509,41.0553733,609,84.5422906
510,41.7210376,610,84.219504
511,42.3204358,611,83.7477214
512,42.870785,612,84.0994348
513,43.5086216,613,83.9486021
514,44.315627,614,83.725682
515,45.498007,615,83.8347315
516,46.5094164,616,83.8625104
517,47.5376426,617,84.0213783
518,48.3954987,618,84.1859856
519,49.5188198,619,84.5840737
520,50.5792781,620,85.3384667
521,51.6495463,621,85.5905432
522,52.8247191,622,86.2785882
523,53.7190116,623,86.9907388
524,54.9652553,624,88.0431239
525,56.0627506,625,88.5394713
526,57.1846703,626,89.5489253
527,58.0515354,627,90.2945944
528,58.7692517,628,91.2900441
529,59.5204013,629,92.1404007
530,60.0623422,630,92.8038808
531,60.4921712,631,93.603271
532,60.9960741,632,94.1820369
533,61.64332,633,94.9173749
534,62.2032789,634,95.5923339
535,62.3414167,635,96.1626054
536,62.6032781,636,96.7108375
537,62.8046791,637,97.0827536
538,62.9884625,638,97.7019252
539,63.3247982,639,97.9193355
540,63.7916641,640,98.2315615
541,64.3936649,641,98.2666869
542,64.9882583,642,98.8156076
543,65.7962647,643,99.4182496
544,66.5662331,644,99.6446134
545,67.0439098,645,99.9910465
546,67.3816469,646,99.9804859
547,68.3982615,647,100
548,69.6250858,648,99.7984306
549,70.7614199,649,99.5683936
550,72.0609168,650,99.2210422
551,73.4210742,651,98.8135414
552,74.4493004,652,98.3523194
553,75.8933415,653,98.1091964
554,77.0112572,654,98.0198906
555,79.0749168,655,97.4744135
556,81.4136508,656,97.0907889
557,83.395829,657,96.7379276
558,85.8682965,658,96.4410834
559,88.0712951,659,95.651565
560,89.9643845,660,95.473183
561,91.8959121,661,95.1106795
562,93.620233,662,94.9155383
563,94.9851952,663,94.3468739
564,96.5629698,664,94.0436014
565,98.0762801,665,94.0736761
566,98.7381406,666,93.6806388
567,99.6854861,667,92.934281
568,100,668,92.7154933
569,99.3759772,669,91.9757933
570,99.0798817,670,91.5758686
571,98.6076104,671,90.5921273
572,97.9311353,672,90.1632758
573,96.6046114,673,89.5282633
574,95.1095193,674,89.1180076
575,93.4622754,675,88.1016663
576,91.5133303,676,87.7003641
577,89.4092304,677,87.0302262
578,87.0582842,678,86.363532
579,85.045075,679,85.5554178
580,82.3109463,680,84.8648475
581,78.9764185,681,84.4660707
582,76.2340816,682,84.0948432
583,73.280534,683,83.3758053
584,70.2222818,684,82.9235368
585,67.3866519,685,82.586746
586,64.5600309,686,81.8006713
587,62.0845604,687,81.263459
588,59.5334143,688,80.8701921
589,57.4457308,689,80.3178276
590,54.9124026,690,79.7640858
591,52.5606555,691,78.911663
592,50.1560557,692,78.5856624
593,48.2469505,693,77.9410077
594,46.7943007,694,76.6870532
595,44.8343447,695,75.6945879
596,42.9838979,696,75.0919459
597,41.2673848,697,74.694317
598,39.6617824,698,73.6940461
599,37.9740981,699,72.9509025
600,36.0585865,700,72.1535784
601,34.6728035,701,71.8154102
602,33.0381721,702,70.6535165
603,31.90384,703,69.7861711
604,30.8351735,704,68.9647414
605,29.8808211,705,68.3258261
606,28.8461885,706,67.7527997
607,27.6902349,707,66.9162179
608,26.8720183,708,66.598482
609,26.16231,709,65.8466144
610,25.132282,710,64.7453292
611,24.2367883,711,64.2955861
612,23.6367895,712,63.8472205
613,22.9112654,713,63.3664844
614,21.8846409,714,62.4231488
615,21.2642217,715,62.4426629
616,20.1511108,716,62.1035764
617,19.4856467,717,61.6953869
618,18.7208834,718,60.8962262
619,18.1360998,719,60.2293024
620,17.3290944,720,59.7772635
621,16.6115784,721,59.0557002
622,16.0938617,722,58.7145474
623,15.4834525,723,58.1977676
624,15.0388087,724,57.4509507
625,14.4199912,725,56.7048225
626,13.966939,726,55.8034997
627,13.4898629,727,55.4816315
628,13.1018757,728,54.4710296
629,12.7867612,729,53.4331079
630,12.3026781,730,52.9514535
631,11.819596,731,52.3949566
632,11.3040815,732,51.7939217
633,10.9603384,733,51.4465703
634,10.5040831,734,50.8088029
635,10.0133934,735,49.7056811
636,9.6698505,736,49.2295366
637,9.0574393,737,48.7494892
638,8.6530357,738,48.1372049
639,8.4774605,739,47.6897576
640,8.2872707,740,47.0735705
641,7.8039884,741,46.3653227
642,7.6160008,742,46.1958942
643,7.2430285,743,45.421528
644,6.9781642,744,45.1747318
645,6.8417948,745,44.7601141
646,6.6415919,746,43.9942422
647,6.4989459,747,43.4235115
648,6.2699463,748,43.0933785
649,6.1086214,749,42.6330748
650,6.0759495,750,42.3807687
,,751,41.8745494
,,752,41.5547474
,,753,41.0097295
,,754,40.7213797
,,755,39.9786952
,,756,39.3714616
,,757,38.5936517
,,758,37.9806787
,,759,37.5825906
,,760,37.1204503
,,761,36.7967455
,,762,36.2951178
,,763,35.617863
,,764,35.2824497
,,765,34.8180136
,,766,34.2273097
,,767,34.0372192
,,768,33.4949562
,,769,33.0727624
,,770,32.6648025
,,771,32.3697949
,,772,32.1627156
,,773,31.7740402
,,774,31.4588298
,,775,31.1918307
,,776,30.7987933
,,777,30.4505237
,,778,30.1486287
,,779,29.9385649
,,780,29.244551
,,781,29.1508832
,,782,29.1348127
,,783,28.9408194
,,784,28.5110496
,,785,28.0477614
,,786,27.9157541
,,787,27.4205546
,,788,26.8909184
,,789,26.720342
,,790,26.2724355
,,791,25.9792645
,,792,25.575437
,,793,25.4060085
,,794,25.1401573
,,795,24.8876025
,,796,24.6642841
,,797,24.7341488
,,798,24.6049857
,,799,24.1484382
,,800,24.0330015
