Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
299;0.6041;500;0.0002;
301;0.5812;501;0.0005;
301;0.5660;502;0.0014;
303;0.5462;503;0.0010;
303;0.5304;504;0.0012;
304;0.5100;505;0.0007;
306;0.4922;506;0.0015;
306;0.4793;507;0.0012;
308;0.4654;508;0.0009;
309;0.4491;509;0.0016;
309;0.4314;510;0.0011;
311;0.4125;511;0.0008;
311;0.4003;512;0.0006;
313;0.3857;513;0.0004;
313;0.3723;514;0.0012;
314;0.3555;515;0.0008;
316;0.3334;516;0.0004;
316;0.3414;517;0.0006;
318;0.3219;518;0.0002;
318;0.3111;519;0.0001;
319;0.2998;520;0.0000;
321;0.2900;521;0.0002;
321;0.2834;522;0.0009;
323;0.2690;523;0.0006;
323;0.2757;524;0.0004;
324;0.2620;525;0.0004;
326;0.2580;526;0.0004;
326;0.2547;527;0.0010;
328;0.2514;528;0.0006;
328;0.2470;529;0.0007;
330;0.2421;530;0.0012;
331;0.2302;531;0.0012;
331;0.2356;532;0.0019;
333;0.2219;533;0.0014;
333;0.2149;534;0.0027;
335;0.2066;535;0.0021;
335;0.1994;536;0.0032;
336;0.1963;537;0.0043;
338;0.1933;538;0.0050;
338;0.1924;539;0.0062;
340;0.1968;540;0.0066;
340;0.1934;541;0.0078;
342;0.2010;542;0.0080;
342;0.2054;543;0.0094;
343;0.2110;544;0.0108;
345;0.2194;545;0.0120;
345;0.2276;546;0.0142;
347;0.2390;547;0.0184;
347;0.2341;548;0.0202;
349;0.2446;549;0.0214;
349;0.2488;550;0.0258;
350;0.2509;551;0.0311;
352;0.2514;552;0.0362;
352;0.2510;553;0.0405;
354;0.2467;554;0.0489;
354;0.2488;555;0.0560;
356;0.2423;556;0.0659;
356;0.2391;557;0.0774;
358;0.2344;558;0.0874;
359;0.2325;559;0.0984;
359;0.2305;560;0.1132;
361;0.2291;561;0.1318;
361;0.2287;562;0.1577;
363;0.2310;563;0.1739;
363;0.2348;564;0.1910;
365;0.2400;565;0.2228;
365;0.2464;566;0.2466;
367;0.2537;567;0.2768;
368;0.2653;568;0.3101;
368;0.2594;569;0.3465;
370;0.2726;570;0.3885;
370;0.2766;571;0.4280;
372;0.2793;572;0.4732;
372;0.2800;573;0.5174;
374;0.2782;574;0.5672;
374;0.2754;575;0.6179;
376;0.2658;576;0.6743;
376;0.2706;577;0.7110;
378;0.2612;578;0.7634;
378;0.2587;579;0.8044;
379;0.2548;580;0.8492;
381;0.2520;581;0.8854;
381;0.2508;582;0.9221;
383;0.2514;583;0.9395;
383;0.2508;584;0.9544;
385;0.2529;585;0.9701;
385;0.2564;586;0.9858;
387;0.2599;587;0.9910;
387;0.2634;588;0.9884;
389;0.2687;589;0.9814;
389;0.2728;590;0.9648;
391;0.2848;591;0.9622;
391;0.2785;592;0.9421;
393;0.2919;593;0.9229;
393;0.2977;594;0.9064;
394;0.3032;595;0.8819;
396;0.3096;596;0.8490;
396;0.3152;597;0.8275;
398;0.3249;598;0.8083;
398;0.3210;599;0.7812;
400;0.3276;600;0.7563;
400;0.3311;601;0.7359;
402;0.3338;602;0.7124;
402;0.3364;603;0.6866;
404;0.3394;604;0.6599;
404;0.3417;605;0.6537;
406;0.3494;606;0.6203;
406;0.3454;607;0.6050;
408;0.3553;608;0.5908;
408;0.3607;609;0.5762;
410;0.3672;610;0.5542;
410;0.3721;611;0.5322;
412;0.3788;612;0.5185;
412;0.3862;613;0.5059;
414;0.4024;614;0.4928;
414;0.3957;615;0.4824;
416;0.4103;616;0.4685;
416;0.4174;617;0.4511;
418;0.4299;618;0.4432;
418;0.4429;619;0.4345;
420;0.4560;620;0.4274;
420;0.4656;621;0.4238;
422;0.4952;622;0.4176;
422;0.4806;623;0.4086;
424;0.5167;624;0.4050;
424;0.5334;625;0.3951;
426;0.5496;626;0.3921;
426;0.5651;627;0.3909;
428;0.5851;628;0.3894;
428;0.6061;629;0.3872;
430;0.6417;630;0.3785;
430;0.6278;631;0.3712;
432;0.6584;632;0.3681;
432;0.6749;633;0.3673;
434;0.6931;634;0.3633;
434;0.7087;635;0.3535;
436;0.7217;636;0.3464;
436;0.7320;637;0.3462;
438;0.7468;638;0.3376;
439;0.7746;639;0.3337;
439;0.7615;640;0.3271;
441;0.7890;641;0.3198;
441;0.8000;642;0.3126;
443;0.8144;643;0.3024;
443;0.8311;644;0.2971;
445;0.8481;645;0.2852;
445;0.8657;646;0.2760;
447;0.8977;647;0.2688;
447;0.8831;648;0.2574;
449;0.9177;649;0.2454;
449;0.9336;650;0.2375;
451;0.9509;651;0.2339;
451;0.9641;652;0.2236;
453;0.9773;653;0.2146;
454;0.9947;654;0.2029;
454;0.9876;655;0.1941;
456;1.0001;656;0.1893;
456;1.0020;657;0.1805;
458;1.0012;658;0.1749;
458;0.9983;659;0.1650;
460;0.9917;660;0.1619;
460;0.9846;661;0.1542;
462;0.9637;662;0.1458;
462;0.9752;663;0.1427;
463;0.9517;664;0.1352;
465;0.9408;665;0.1287;
465;0.9303;666;0.1259;
467;0.9201;667;0.1165;
467;0.9119;668;0.1106;
469;0.9039;669;0.1067;
469;0.9049;670;0.1073;
471;0.9061;671;0.1005;
472;0.9113;672;0.0954;
472;0.9201;673;0.0916;
474;0.9327;674;0.0913;
474;0.9412;675;0.0866;
476;0.9675;676;0.0799;
476;0.9534;677;0.0780;
478;0.9794;678;0.0753;
479;0.9892;679;0.0729;
479;0.9948;680;0.0701;
481;0.9979;681;0.0657;
481;0.9986;682;0.0646;
483;0.9943;683;0.0620;
483;0.9869;684;0.0593;
485;0.9823;685;0.0582;
486;0.9729;686;0.0561;
486;0.9590;687;0.0540;
488;0.9406;688;0.0513;
488;0.9259;689;0.0498;
490;0.9074;690;0.0489;
491;0.8832;691;0.0459;
491;0.8630;692;0.0458;
493;0.8150;693;0.0494;
493;0.8400;694;0.0453;
495;0.7784;695;0.0426;
495;0.7388;696;0.0428;
496;0.6891;697;0.0396;
498;0.6393;698;0.0401;
498;0.5996;699;0.0378;
500;0.4905;700;0.0357;
500;0.5458;701;0.0363;
501;0.4232;702;0.0341;
503;0.3669;703;0.0324;
503;0.3350;704;0.0313;
505;0.2852;705;0.0318;
506;0.2420;706;0.0295;
506;0.2035;707;0.0290;
508;0.1459;708;0.0291;
508;0.1665;709;0.0267;
510;0.1229;710;0.0268;
511;0.1005;711;0.0256;
511;0.0838;712;0.0228;
513;0.0682;713;0.0224;
513;0.0583;714;0.0235;
514;0.0484;715;0.0204;
516;0.0333;716;0.0202;
516;0.0408;717;0.0202;
518;0.0274;718;0.0184;
519;0.0228;719;0.0179;
519;0.0197;720;0.0169;
521;0.0161;721;0.0151;
522;0.0136;722;0.0148;
522;0.0115;723;0.0132;
524;0.0080;724;0.0130;
524;0.0094;725;0.0110;
525;0.0067;726;0.0116;
527;0.0059;727;0.0104;
527;0.0048;728;0.0103;
529;0.0040;729;0.0101;
530;0.0040;730;0.0086;
530;0.0034;731;0.0081;
532;0.0028;732;0.0075;
533;0.0022;733;0.0076;
533;0.0017;734;0.0067;
535;0.0019;735;0.0064;
536;0.0014;736;0.0058;
536;0.0010;737;0.0052;
538;0.0012;738;0.0052;
539;0.0005;739;0.0044;
539;0.0008;740;0.0037;
541;0.0001;741;0.0040;
542;0.0001;742;0.0032;
542;0.0004;743;0.0026;
544;0.0002;744;0.0028;
545;0.0003;745;0.0019;
548;0.0000;746;0.0021;
;;747;0.0014;
;;748;0.0017;
;;749;0.0013;
;;750;0.0009;
;;751;0.0008;
