Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
251;0.0751;550;0.0043;
252;0.0729;551;0.0043;
253;0.0696;552;0.0043;
254;0.0650;553;0.0043;
255;0.0627;554;0.0043;
256;0.0594;555;0.0043;
257;0.0560;556;0.0043;
258;0.0531;557;0.0043;
259;0.0500;558;0.0043;
260;0.0490;559;0.0043;
261;0.0479;560;0.0043;
262;0.0467;561;0.0043;
263;0.0463;562;0.0043;
264;0.0453;563;0.0043;
265;0.0457;564;0.0043;
266;0.0456;565;0.0043;
267;0.0469;566;0.0043;
268;0.0478;567;0.0043;
269;0.0478;568;0.0043;
270;0.0489;569;0.0043;
271;0.0512;570;0.0043;
272;0.0523;571;0.0043;
273;0.0545;572;0.0043;
274;0.0557;573;0.0043;
275;0.0589;574;0.0043;
276;0.0612;575;0.0043;
277;0.0636;576;0.0043;
278;0.0666;577;0.0043;
279;0.0698;578;0.0043;
280;0.0729;579;0.0043;
281;0.0747;580;0.0043;
282;0.0789;581;0.0043;
283;0.0824;582;0.0043;
284;0.0850;583;0.0043;
285;0.0896;584;0.0044;
286;0.0920;585;0.0046;
287;0.0955;586;0.0054;
288;0.0988;587;0.0054;
289;0.1021;588;0.0054;
290;0.1055;589;0.0054;
291;0.1086;590;0.0059;
292;0.1121;591;0.0064;
293;0.1143;592;0.0077;
294;0.1176;593;0.0075;
295;0.1199;594;0.0086;
296;0.1221;595;0.0097;
297;0.1243;596;0.0108;
298;0.1266;597;0.0128;
299;0.1276;598;0.0140;
300;0.1297;599;0.0173;
301;0.1296;600;0.0195;
302;0.1308;601;0.0238;
303;0.1307;602;0.0272;
304;0.1307;603;0.0316;
305;0.1301;604;0.0371;
306;0.1290;605;0.0428;
307;0.1285;606;0.0506;
308;0.1279;607;0.0584;
309;0.1255;608;0.0667;
310;0.1245;609;0.0782;
311;0.1223;610;0.0907;
312;0.1211;611;0.1052;
313;0.1166;612;0.1211;
314;0.1134;613;0.1402;
315;0.1091;614;0.1620;
316;0.1035;615;0.1851;
317;0.0990;616;0.2116;
318;0.0923;617;0.2388;
319;0.0856;618;0.2698;
320;0.0789;619;0.3008;
321;0.0722;620;0.3340;
322;0.0667;621;0.3693;
323;0.0611;622;0.4069;
324;0.0558;623;0.4448;
325;0.0531;624;0.4848;
326;0.0479;625;0.5282;
327;0.0440;626;0.5713;
328;0.0420;627;0.6080;
329;0.0385;628;0.6496;
330;0.0363;629;0.6958;
331;0.0340;630;0.7317;
332;0.0329;631;0.7666;
333;0.0319;632;0.8062;
334;0.0304;633;0.8416;
335;0.0295;634;0.8721;
336;0.0284;635;0.9016;
337;0.0273;636;0.9279;
338;0.0272;637;0.9477;
339;0.0261;638;0.9636;
340;0.0262;639;0.9773;
341;0.0250;640;0.9872;
342;0.0250;641;0.9931;
343;0.0250;642;1.0000;
344;0.0250;643;0.9936;
345;0.0250;644;0.9904;
346;0.0250;645;0.9871;
347;0.0250;646;0.9761;
348;0.0250;647;0.9650;
349;0.0249;648;0.9549;
350;0.0263;649;0.9390;
351;0.0268;650;0.9228;
352;0.0272;651;0.9104;
353;0.0271;652;0.8892;
354;0.0284;653;0.8704;
355;0.0284;654;0.8552;
356;0.0292;655;0.8378;
357;0.0294;656;0.8139;
358;0.0316;657;0.7941;
359;0.0326;658;0.7728;
360;0.0327;659;0.7522;
361;0.0338;660;0.7311;
362;0.0349;661;0.7101;
363;0.0349;662;0.6885;
364;0.0348;663;0.6693;
365;0.0361;664;0.6507;
366;0.0362;665;0.6306;
367;0.0371;666;0.6118;
368;0.0358;667;0.5949;
369;0.0364;668;0.5783;
370;0.0370;669;0.5649;
371;0.0369;670;0.5460;
372;0.0382;671;0.5317;
373;0.0388;672;0.5221;
374;0.0392;673;0.5116;
375;0.0391;674;0.4997;
376;0.0412;675;0.4873;
377;0.0414;676;0.4769;
378;0.0422;677;0.4704;
379;0.0435;678;0.4618;
380;0.0446;679;0.4498;
381;0.0468;680;0.4412;
382;0.0468;681;0.4316;
383;0.0479;682;0.4226;
384;0.0480;683;0.4134;
385;0.0490;684;0.4044;
386;0.0490;685;0.3956;
387;0.0490;686;0.3875;
388;0.0490;687;0.3808;
389;0.0491;688;0.3753;
390;0.0478;689;0.3697;
391;0.0480;690;0.3663;
392;0.0467;691;0.3608;
393;0.0468;692;0.3574;
394;0.0462;693;0.3541;
395;0.0458;694;0.3495;
396;0.0457;695;0.3431;
397;0.0457;696;0.3399;
398;0.0478;697;0.3355;
399;0.0488;698;0.3294;
400;0.0498;699;0.3255;
401;0.0512;700;0.3231;
402;0.0533;701;0.3168;
403;0.0544;702;0.3107;
404;0.0556;703;0.3064;
405;0.0577;704;0.3000;
406;0.0590;705;0.2926;
407;0.0600;706;0.2876;
408;0.0610;707;0.2803;
409;0.0608;708;0.2733;
410;0.0597;709;0.2678;
411;0.0586;710;0.2610;
412;0.0562;711;0.2589;
413;0.0536;712;0.2511;
414;0.0508;713;0.2445;
415;0.0472;714;0.2410;
416;0.0446;715;0.2343;
417;0.0400;716;0.2291;
418;0.0375;717;0.2253;
419;0.0333;718;0.2199;
420;0.0309;719;0.2133;
421;0.0276;720;0.2087;
422;0.0251;721;0.2024;
423;0.0218;722;0.1967;
424;0.0209;723;0.1920;
425;0.0185;724;0.1858;
426;0.0163;725;0.1808;
427;0.0153;726;0.1762;
428;0.0141;727;0.1695;
429;0.0129;728;0.1656;
430;0.0120;729;0.1585;
431;0.0108;730;0.1524;
432;0.0097;731;0.1492;
433;0.0098;732;0.1449;
434;0.0098;733;0.1391;
435;0.0094;734;0.1359;
436;0.0087;735;0.1304;
437;0.0087;736;0.1292;
438;0.0087;737;0.1246;
439;0.0087;738;0.1205;
440;0.0087;739;0.1170;
441;0.0087;740;0.1146;
442;0.0078;741;0.1116;
443;0.0088;742;0.1094;
444;0.0087;743;0.1055;
445;0.0087;744;0.1028;
446;0.0077;745;0.1001;
447;0.0076;746;0.0962;
448;0.0087;747;0.0927;
449;0.0087;748;0.0906;
450;0.0087;749;0.0877;
451;0.0086;750;0.0839;
452;0.0088;751;0.0818;
453;0.0087;752;0.0795;
454;0.0087;753;0.0773;
455;0.0087;754;0.0761;
456;0.0087;755;0.0739;
457;0.0087;756;0.0728;
458;0.0087;757;0.0706;
459;0.0087;758;0.0684;
460;0.0087;759;0.0673;
461;0.0087;760;0.0650;
462;0.0087;761;0.0640;
463;0.0087;762;0.0616;
464;0.0086;763;0.0606;
465;0.0098;764;0.0599;
466;0.0098;765;0.0586;
467;0.0098;766;0.0571;
468;0.0098;767;0.0549;
469;0.0098;768;0.0533;
470;0.0098;769;0.0520;
471;0.0098;770;0.0514;
472;0.0098;771;0.0504;
473;0.0098;772;0.0490;
474;0.0098;773;0.0478;
475;0.0098;774;0.0478;
476;0.0098;775;0.0479;
477;0.0101;776;0.0457;
478;0.0109;777;0.0446;
479;0.0110;778;0.0435;
480;0.0102;779;0.0424;
481;0.0108;780;0.0412;
482;0.0109;781;0.0401;
483;0.0109;782;0.0390;
484;0.0108;783;0.0379;
485;0.0120;784;0.0370;
486;0.0120;785;0.0370;
487;0.0120;786;0.0358;
488;0.0120;787;0.0359;
489;0.0119;788;0.0359;
490;0.0131;789;0.0341;
491;0.0131;790;0.0331;
492;0.0131;791;0.0320;
493;0.0142;792;0.0324;
494;0.0142;793;0.0314;
495;0.0142;794;0.0307;
496;0.0141;795;0.0305;
497;0.0154;796;0.0293;
498;0.0153;797;0.0293;
499;0.0156;798;0.0304;
500;0.0163;799;0.0294;
501;0.0164;800;0.0283;
502;0.0168;;;
503;0.0174;;;
504;0.0181;;;
505;0.0191;;;
506;0.0195;;;
507;0.0208;;;
508;0.0215;;;
509;0.0217;;;
510;0.0228;;;
511;0.0250;;;
512;0.0250;;;
513;0.0261;;;
514;0.0272;;;
515;0.0284;;;
516;0.0295;;;
517;0.0306;;;
518;0.0327;;;
519;0.0338;;;
520;0.0352;;;
521;0.0371;;;
522;0.0386;;;
523;0.0391;;;
524;0.0408;;;
525;0.0425;;;
526;0.0443;;;
527;0.0452;;;
528;0.0468;;;
529;0.0488;;;
530;0.0497;;;
531;0.0512;;;
532;0.0533;;;
533;0.0543;;;
534;0.0565;;;
535;0.0588;;;
536;0.0599;;;
537;0.0621;;;
538;0.0644;;;
539;0.0665;;;
540;0.0700;;;
541;0.0722;;;
542;0.0746;;;
543;0.0779;;;
544;0.0821;;;
545;0.0855;;;
546;0.0892;;;
547;0.0936;;;
548;0.0993;;;
549;0.1036;;;
550;0.1100;;;
551;0.1154;;;
552;0.1223;;;
553;0.1276;;;
554;0.1356;;;
555;0.1423;;;
556;0.1510;;;
557;0.1578;;;
558;0.1656;;;
559;0.1734;;;
560;0.1822;;;
561;0.1910;;;
562;0.1991;;;
563;0.2060;;;
564;0.2144;;;
565;0.2215;;;
566;0.2276;;;
567;0.2340;;;
568;0.2397;;;
569;0.2445;;;
570;0.2489;;;
571;0.2531;;;
572;0.2563;;;
573;0.2590;;;
574;0.2600;;;
575;0.2624;;;
576;0.2635;;;
577;0.2646;;;
578;0.2647;;;
579;0.2658;;;
580;0.2669;;;
581;0.2680;;;
582;0.2692;;;
583;0.2714;;;
584;0.2737;;;
585;0.2783;;;
586;0.2830;;;
587;0.2889;;;
588;0.2954;;;
589;0.3044;;;
590;0.3159;;;
591;0.3270;;;
592;0.3390;;;
593;0.3540;;;
594;0.3694;;;
595;0.3884;;;
596;0.4086;;;
597;0.4331;;;
598;0.4572;;;
599;0.4808;;;
600;0.5094;;;
601;0.5387;;;
602;0.5697;;;
603;0.6021;;;
604;0.6323;;;
605;0.6637;;;
606;0.6976;;;
607;0.7319;;;
608;0.7666;;;
609;0.8031;;;
610;0.8324;;;
611;0.8632;;;
612;0.8929;;;
613;0.9211;;;
614;0.9443;;;
615;0.9613;;;
616;0.9758;;;
617;0.9869;;;
618;1.0000;;;
619;0.9918;;;
620;0.9825;;;
621;0.9686;;;
622;0.9531;;;
623;0.9298;;;
624;0.9009;;;
625;0.8654;;;
626;0.8272;;;
627;0.7906;;;
628;0.7697;;;
629;0.7448;;;
630;0.6269;;;
631;0.6150;;;
632;0.5687;;;
633;0.5277;;;
634;0.4817;;;
635;0.4417;;;
636;0.4046;;;
637;0.3600;;;
638;0.3266;;;
639;0.2954;;;
640;0.2668;;;
641;0.2414;;;
642;0.2152;;;
643;0.1918;;;
644;0.1710;;;
645;0.1530;;;
646;0.1362;;;
647;0.1206;;;
648;0.1074;;;
