Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.2779;480;0.0042;
301;0.2682;481;0.0042;
302;0.2572;482;0.0043;
303;0.2461;483;0.0046;
304;0.2328;484;0.0050;
305;0.2206;485;0.0057;
306;0.2042;486;0.0066;
307;0.1917;487;0.0078;
308;0.1801;488;0.0095;
309;0.1655;489;0.0116;
310;0.1544;490;0.0144;
311;0.1415;491;0.0179;
312;0.1333;492;0.0222;
313;0.1230;493;0.0277;
314;0.1160;494;0.0344;
315;0.1112;495;0.0426;
316;0.1036;496;0.0523;
317;0.0956;497;0.0639;
318;0.0898;498;0.0774;
319;0.0850;499;0.0929;
320;0.0792;500;0.1110;
321;0.0751;501;0.1320;
322;0.0666;502;0.1565;
323;0.0617;503;0.1845;
324;0.0566;504;0.2165;
325;0.0529;505;0.2526;
326;0.0499;506;0.2928;
327;0.0454;507;0.3364;
328;0.0432;508;0.3829;
329;0.0397;509;0.4314;
330;0.0349;510;0.4804;
331;0.0379;511;0.5299;
332;0.0321;512;0.5794;
333;0.0387;513;0.6289;
334;0.0332;514;0.6776;
335;0.0264;515;0.7250;
336;0.0282;516;0.7717;
337;0.0245;517;0.8158;
338;0.0230;518;0.8564;
339;0.0247;519;0.8918;
340;0.0278;520;0.9222;
341;0.0236;521;0.9472;
342;0.0180;522;0.9668;
343;0.0221;523;0.9813;
344;0.0239;524;0.9920;
345;0.0165;525;0.9982;
346;0.0188;526;1.0000;
347;0.0192;527;0.9966;
348;0.0178;528;0.9894;
349;0.0160;529;0.9796;
350;0.0192;530;0.9667;
351;0.0199;531;0.9521;
352;0.0176;532;0.9344;
353;0.0154;533;0.9152;
354;0.0140;534;0.8939;
355;0.0143;535;0.8722;
356;0.0146;536;0.8510;
357;0.0149;537;0.8297;
358;0.0187;538;0.8093;
359;0.0162;539;0.7881;
360;0.0155;540;0.7678;
361;0.0147;541;0.7467;
362;0.0195;542;0.7264;
363;0.0190;543;0.7056;
364;0.0152;544;0.6861;
365;0.0161;545;0.6666;
366;0.0182;546;0.6487;
367;0.0161;547;0.6313;
368;0.0217;548;0.6156;
369;0.0174;549;0.6005;
370;0.0184;550;0.5869;
371;0.0173;551;0.5737;
372;0.0190;552;0.5616;
373;0.0175;553;0.5494;
374;0.0215;554;0.5380;
375;0.0191;555;0.5269;
376;0.0189;556;0.5166;
377;0.0225;557;0.5066;
378;0.0210;558;0.4967;
379;0.0172;559;0.4871;
380;0.0213;560;0.4775;
381;0.0161;561;0.4686;
382;0.0164;562;0.4596;
383;0.0171;563;0.4510;
384;0.0212;564;0.4419;
385;0.0232;565;0.4330;
386;0.0217;566;0.4234;
387;0.0263;567;0.4138;
388;0.0278;568;0.4036;
389;0.0252;569;0.3936;
390;0.0276;570;0.3832;
391;0.0257;571;0.3729;
392;0.0300;572;0.3626;
393;0.0299;573;0.3526;
394;0.0306;574;0.3432;
395;0.0291;575;0.3340;
396;0.0323;576;0.3250;
397;0.0336;577;0.3156;
398;0.0330;578;0.3062;
399;0.0353;579;0.2969;
400;0.0369;580;0.2876;
401;0.0354;581;0.2783;
402;0.0384;582;0.2686;
403;0.0387;583;0.2592;
404;0.0390;584;0.2501;
405;0.0414;585;0.2416;
406;0.0429;586;0.2335;
407;0.0434;587;0.2258;
408;0.0450;588;0.2186;
409;0.0459;589;0.2117;
410;0.0486;590;0.2048;
411;0.0481;591;0.1978;
412;0.0528;592;0.1906;
413;0.0518;593;0.1838;
414;0.0541;594;0.1774;
415;0.0541;595;0.1712;
416;0.0558;596;0.1653;
417;0.0576;597;0.1595;
418;0.0591;598;0.1539;
419;0.0614;599;0.1486;
420;0.0619;600;0.1434;
421;0.0656;601;0.1385;
422;0.0670;602;0.1338;
423;0.0696;603;0.1294;
424;0.0684;604;0.1254;
425;0.0694;605;0.1213;
426;0.0734;606;0.1172;
427;0.0793;607;0.1132;
428;0.0806;608;0.1092;
429;0.0844;609;0.1054;
430;0.0876;610;0.1019;
431;0.0898;611;0.0988;
432;0.0908;612;0.0958;
433;0.0956;613;0.0931;
434;0.0993;614;0.0904;
435;0.1056;615;0.0879;
436;0.1086;616;0.0853;
437;0.1141;617;0.0827;
438;0.1163;618;0.0800;
439;0.1194;619;0.0773;
440;0.1270;620;0.0747;
441;0.1288;621;0.0722;
442;0.1348;622;0.0698;
443;0.1354;623;0.0676;
444;0.1425;624;0.0657;
445;0.1499;625;0.0639;
446;0.1515;626;0.0622;
447;0.1570;627;0.0605;
448;0.1642;628;0.0587;
449;0.1691;629;0.0569;
450;0.1751;630;0.0550;
451;0.1827;631;0.0531;
452;0.1935;632;0.0512;
453;0.2003;633;0.0495;
454;0.2124;634;0.0480;
455;0.2216;635;0.0467;
456;0.2332;636;0.0456;
457;0.2464;637;0.0445;
458;0.2595;638;0.0434;
459;0.2732;639;0.0421;
460;0.2878;640;0.0407;
461;0.3026;641;0.0392;
462;0.3191;642;0.0377;
463;0.3380;643;0.0363;
464;0.3534;644;0.0350;
465;0.3673;645;0.0339;
466;0.3857;646;0.0329;
467;0.4011;647;0.0321;
468;0.4147;648;0.0312;
469;0.4294;649;0.0302;
470;0.4394;;;
471;0.4518;;;
472;0.4614;;;
473;0.4718;;;
474;0.4792;;;
475;0.4852;;;
476;0.4923;;;
477;0.4994;;;
478;0.5041;;;
479;0.5114;;;
480;0.5189;;;
481;0.5319;;;
482;0.5408;;;
483;0.5543;;;
484;0.5667;;;
485;0.5866;;;
486;0.6056;;;
487;0.6278;;;
488;0.6531;;;
489;0.6792;;;
490;0.7063;;;
491;0.7350;;;
492;0.7655;;;
493;0.7977;;;
494;0.8301;;;
495;0.8610;;;
496;0.8933;;;
497;0.9194;;;
498;0.9436;;;
499;0.9686;;;
500;0.9846;;;
501;0.9945;;;
502;1.0000;;;
503;0.9987;;;
504;0.9889;;;
505;0.9723;;;
506;0.9483;;;
507;0.9175;;;
508;0.8796;;;
509;0.8380;;;
510;0.7884;;;
511;0.7369;;;
512;0.6842;;;
513;0.6300;;;
514;0.5745;;;
515;0.5174;;;
516;0.4639;;;
517;0.4147;;;
518;0.3654;;;
519;0.3224;;;
520;0.2822;;;
521;0.2450;;;
522;0.2117;;;
523;0.1814;;;
524;0.1569;;;
525;0.1345;;;
526;0.1126;;;
527;0.0977;;;
528;0.0835;;;
529;0.0708;;;
530;0.0600;;;
531;0.0510;;;
532;0.0440;;;
533;0.0385;;;
534;0.0310;;;
535;0.0278;;;
536;0.0225;;;
537;0.0212;;;
538;0.0159;;;
539;0.0158;;;
540;0.0146;;;
541;0.0139;;;
542;0.0128;;;
543;0.0094;;;
544;0.0094;;;
545;0.0082;;;
546;0.0074;;;
547;0.0080;;;
548;0.0064;;;
549;0.0070;;;
550;0.0068;;;
551;0.0058;;;
552;0.0055;;;
553;0.0055;;;
554;0.0051;;;
555;0.0051;;;
556;0.0055;;;
557;0.0052;;;
558;0.0043;;;
559;0.0048;;;
560;0.0045;;;
561;0.0048;;;
562;0.0051;;;
563;0.0045;;;
564;0.0033;;;
565;0.0041;;;
566;0.0048;;;
567;0.0034;;;
568;0.0046;;;
569;0.0042;;;
570;0.0045;;;
571;0.0045;;;
572;0.0044;;;
573;0.0042;;;
574;0.0044;;;
575;0.0029;;;
576;0.0042;;;
577;0.0038;;;
578;0.0050;;;
579;0.0038;;;
580;0.0041;;;
581;0.0041;;;
582;0.0035;;;
583;0.0027;;;
584;0.0036;;;
585;0.0051;;;
586;0.0038;;;
587;0.0026;;;
588;0.0033;;;
589;0.0026;;;
590;0.0054;;;
591;0.0048;;;
592;0.0046;;;
593;0.0042;;;
594;0.0043;;;
595;0.0029;;;
596;0.0024;;;
597;0.0025;;;
598;0.0034;;;
599;0.0019;;;
