Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.1949;480;0.0065;
301;0.1991;481;0.0032;
302;0.2045;482;0.0040;
303;0.2079;483;0.0072;
304;0.2116;484;0.0100;
305;0.2153;485;0.0150;
306;0.2175;486;0.0208;
307;0.2192;487;0.0275;
308;0.2200;488;0.0358;
309;0.2197;489;0.0457;
310;0.2182;490;0.0584;
311;0.2146;491;0.0738;
312;0.2101;492;0.0916;
313;0.2042;493;0.1103;
314;0.1958;494;0.1367;
315;0.1882;495;0.1625;
316;0.1798;496;0.1945;
317;0.1683;497;0.2307;
318;0.1600;498;0.2685;
319;0.1513;499;0.3124;
320;0.1403;500;0.3564;
321;0.1331;501;0.4026;
322;0.1262;502;0.4572;
323;0.1186;503;0.5086;
324;0.1135;504;0.5611;
325;0.1090;505;0.6182;
326;0.1051;506;0.6677;
327;0.1039;507;0.7212;
328;0.1034;508;0.7681;
329;0.1036;509;0.8134;
330;0.1048;510;0.8580;
331;0.1065;511;0.8902;
332;0.1082;512;0.9231;
333;0.1086;513;0.9514;
334;0.1088;514;0.9678;
335;0.1073;515;0.9885;
336;0.1054;516;0.9956;
337;0.1031;518;0.9998;
338;0.0994;519;0.9944;
339;0.0964;520;0.9831;
340;0.0923;521;0.9744;
341;0.0868;522;0.9576;
342;0.0829;523;0.9377;
343;0.0787;524;0.9149;
344;0.0734;525;0.8959;
345;0.0694;526;0.8688;
346;0.0650;527;0.8461;
347;0.0598;528;0.8198;
348;0.0563;529;0.7964;
349;0.0529;530;0.7688;
350;0.0485;531;0.7379;
351;0.0456;532;0.7128;
352;0.0430;533;0.6903;
353;0.0399;534;0.6593;
354;0.0377;535;0.6384;
355;0.0357;536;0.6124;
356;0.0334;537;0.5899;
357;0.0317;538;0.5679;
358;0.0305;539;0.5449;
359;0.0290;540;0.5255;
360;0.0280;541;0.5061;
361;0.0271;542;0.4862;
362;0.0259;543;0.4734;
363;0.0251;544;0.4530;
364;0.0244;545;0.4398;
365;0.0227;546;0.4262;
366;0.0222;547;0.4116;
367;0.0217;548;0.3995;
