Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.0984;565;0.0039;
251;0.0982;566;0.0040;
252;0.0987;567;0.0044;
253;0.0997;568;0.0050;
254;0.1013;569;0.0057;
255;0.1038;570;0.0064;
256;0.1072;571;0.0072;
257;0.1103;572;0.0082;
258;0.1140;573;0.0093;
259;0.1189;574;0.0106;
260;0.1228;575;0.0120;
261;0.1269;576;0.0137;
262;0.1318;577;0.0157;
263;0.1357;578;0.0181;
264;0.1396;579;0.0210;
265;0.1443;580;0.0245;
266;0.1479;581;0.0285;
267;0.1520;582;0.0331;
268;0.1572;583;0.0384;
269;0.1608;584;0.0443;
270;0.1650;585;0.0508;
271;0.1696;586;0.0578;
272;0.1725;587;0.0656;
273;0.1756;588;0.0746;
274;0.1792;589;0.0851;
275;0.1813;590;0.0971;
276;0.1828;591;0.1106;
277;0.1841;592;0.1257;
278;0.1839;593;0.1426;
279;0.1831;594;0.1617;
280;0.1816;595;0.1830;
281;0.1805;596;0.2061;
282;0.1805;597;0.2307;
283;0.1818;598;0.2565;
284;0.1836;599;0.2836;
285;0.1860;600;0.3124;
286;0.1904;601;0.3435;
287;0.1948;602;0.3773;
288;0.2002;603;0.4138;
289;0.2085;604;0.4528;
290;0.2150;605;0.4939;
291;0.2217;606;0.5366;
292;0.2310;607;0.5804;
293;0.2383;608;0.6246;
294;0.2450;609;0.6685;
295;0.2533;610;0.7110;
296;0.2582;611;0.7516;
297;0.2621;612;0.7903;
298;0.2670;613;0.8274;
299;0.2696;614;0.8628;
300;0.2720;615;0.8961;
301;0.2748;616;0.9263;
302;0.2758;617;0.9526;
303;0.2776;618;0.9739;
304;0.2795;619;0.9892;
305;0.2805;620;0.9978;
306;0.2820;621;1.0000;
307;0.2841;622;0.9961;
308;0.2857;623;0.9874;
309;0.2875;624;0.9734;
310;0.2888;625;0.9551;
311;0.2890;626;0.9320;
312;0.2896;627;0.9048;
313;0.2890;628;0.8736;
314;0.2883;629;0.8396;
315;0.2862;630;0.8029;
316;0.2826;631;0.7635;
317;0.2787;632;0.7218;
318;0.2738;633;0.6792;
319;0.2662;634;0.6379;
320;0.2603;635;0.5991;
321;0.2530;636;0.5631;
322;0.2442;637;0.5295;
323;0.2370;638;0.4978;
324;0.2290;639;0.4678;
325;0.2204;640;0.4391;
326;0.2147;641;0.4121;
327;0.2082;642;0.3871;
328;0.2012;643;0.3643;
329;0.1961;644;0.3437;
330;0.1914;645;0.3248;
331;0.1857;646;0.3078;
332;0.1816;647;0.2926;
333;0.1779;648;0.2790;
334;0.1730;649;0.2666;
335;0.1696;650;0.2557;
336;0.1668;651;0.2464;
337;0.1634;652;0.2387;
338;0.1608;653;0.2320;
339;0.1590;654;0.2258;
340;0.1564;655;0.2196;
341;0.1549;656;0.2140;
342;0.1536;657;0.2090;
343;0.1520;658;0.2051;
344;0.1510;659;0.2018;
345;0.1497;660;0.1990;
346;0.1474;661;0.1967;
347;0.1453;662;0.1949;
348;0.1435;663;0.1933;
349;0.1406;664;0.1919;
350;0.1388;665;0.1903;
351;0.1375;666;0.1887;
352;0.1352;667;0.1871;
353;0.1334;668;0.1857;
354;0.1316;669;0.1845;
355;0.1303;670;0.1834;
356;0.1287;671;0.1821;
357;0.1279;672;0.1804;
358;0.1269;673;0.1785;
359;0.1256;674;0.1768;
360;0.1256;675;0.1755;
361;0.1251;676;0.1743;
362;0.1243;677;0.1727;
363;0.1241;678;0.1705;
364;0.1241;679;0.1675;
365;0.1238;680;0.1641;
366;0.1238;681;0.1602;
367;0.1235;682;0.1562;
368;0.1225;683;0.1522;
369;0.1217;684;0.1482;
370;0.1207;685;0.1442;
371;0.1196;686;0.1399;
372;0.1184;687;0.1357;
373;0.1171;688;0.1314;
374;0.1160;689;0.1272;
375;0.1145;690;0.1227;
376;0.1127;691;0.1183;
377;0.1108;692;0.1137;
378;0.1090;693;0.1091;
379;0.1070;694;0.1043;
380;0.1046;695;0.0997;
381;0.1026;696;0.0950;
382;0.1005;697;0.0906;
383;0.0979;698;0.0864;
384;0.0963;699;0.0824;
385;0.0938;700;0.0787;
386;0.0912;701;0.0751;
387;0.0888;702;0.0718;
388;0.0855;703;0.0686;
389;0.0831;704;0.0654;
390;0.0800;705;0.0622;
391;0.0764;706;0.0589;
392;0.0736;707;0.0558;
393;0.0702;708;0.0531;
394;0.0660;709;0.0507;
395;0.0632;710;0.0485;
396;0.0601;711;0.0464;
397;0.0559;712;0.0443;
398;0.0531;713;0.0422;
399;0.0502;714;0.0403;
400;0.0466;715;0.0385;
401;0.0443;716;0.0369;
402;0.0414;717;0.0354;
403;0.0381;718;0.0340;
404;0.0357;719;0.0328;
405;0.0334;720;0.0318;
406;0.0306;721;0.0310;
407;0.0285;722;0.0303;
408;0.0264;723;0.0297;
409;0.0243;724;0.0292;
410;0.0228;;;
411;0.0210;;;
412;0.0194;;;
413;0.0181;;;
414;0.0166;;;
415;0.0155;;;
416;0.0145;;;
417;0.0135;;;
418;0.0122;;;
419;0.0114;;;
420;0.0106;;;
421;0.0093;;;
422;0.0085;;;
423;0.0080;;;
424;0.0072;;;
425;0.0067;;;
426;0.0065;;;
427;0.0057;;;
428;0.0054;;;
429;0.0052;;;
430;0.0047;;;
431;0.0041;;;
432;0.0041;;;
433;0.0036;;;
434;0.0034;;;
435;0.0031;;;
436;0.0031;;;
437;0.0031;;;
438;0.0031;;;
439;0.0031;;;
440;0.0028;;;
441;0.0026;;;
442;0.0028;;;
443;0.0028;;;
444;0.0028;;;
445;0.0031;;;
446;0.0034;;;
447;0.0036;;;
448;0.0039;;;
449;0.0039;;;
450;0.0041;;;
451;0.0041;;;
452;0.0047;;;
453;0.0049;;;
454;0.0052;;;
455;0.0054;;;
456;0.0057;;;
457;0.0060;;;
458;0.0062;;;
459;0.0065;;;
460;0.0070;;;
461;0.0072;;;
462;0.0080;;;
463;0.0085;;;
464;0.0091;;;
465;0.0093;;;
466;0.0101;;;
467;0.0109;;;
468;0.0114;;;
469;0.0122;;;
470;0.0130;;;
471;0.0135;;;
472;0.0145;;;
473;0.0153;;;
474;0.0160;;;
475;0.0176;;;
476;0.0184;;;
477;0.0192;;;
478;0.0205;;;
479;0.0215;;;
480;0.0225;;;
481;0.0243;;;
482;0.0256;;;
483;0.0269;;;
484;0.0287;;;
485;0.0300;;;
486;0.0316;;;
487;0.0337;;;
488;0.0352;;;
489;0.0368;;;
490;0.0391;;;
491;0.0407;;;
492;0.0427;;;
493;0.0453;;;
494;0.0474;;;
495;0.0497;;;
496;0.0526;;;
497;0.0552;;;
498;0.0575;;;
499;0.0611;;;
500;0.0637;;;
501;0.0666;;;
502;0.0707;;;
503;0.0736;;;
504;0.0764;;;
505;0.0813;;;
506;0.0850;;;
507;0.0883;;;
508;0.0938;;;
509;0.0974;;;
510;0.1015;;;
511;0.1075;;;
512;0.1119;;;
513;0.1166;;;
514;0.1230;;;
515;0.1279;;;
516;0.1329;;;
517;0.1404;;;
518;0.1458;;;
519;0.1520;;;
520;0.1603;;;
521;0.1663;;;
522;0.1725;;;
523;0.1816;;;
524;0.1883;;;
525;0.1953;;;
526;0.2051;;;
527;0.2126;;;
528;0.2204;;;
529;0.2313;;;
530;0.2393;;;
531;0.2479;;;
532;0.2600;;;
533;0.2694;;;
534;0.2784;;;
535;0.2914;;;
536;0.3012;;;
537;0.3110;;;
538;0.3250;;;
539;0.3354;;;
540;0.3460;;;
541;0.3608;;;
542;0.3717;;;
543;0.3823;;;
544;0.3976;;;
545;0.4084;;;
546;0.4191;;;
547;0.4343;;;
548;0.4455;;;
549;0.4566;;;
550;0.4722;;;
551;0.4833;;;
552;0.4944;;;
553;0.5102;;;
554;0.5219;;;
555;0.5335;;;
556;0.5498;;;
557;0.5615;;;
558;0.5734;;;
559;0.5905;;;
560;0.6032;;;
561;0.6159;;;
562;0.6338;;;
563;0.6470;;;
564;0.6604;;;
565;0.6791;;;
566;0.6931;;;
567;0.7071;;;
568;0.7270;;;
569;0.7418;;;
570;0.7568;;;
571;0.7780;;;
572;0.7936;;;
573;0.8096;;;
574;0.8316;;;
575;0.8474;;;
576;0.8632;;;
577;0.8845;;;
578;0.8995;;;
579;0.9140;;;
580;0.9329;;;
581;0.9456;;;
582;0.9573;;;
583;0.9710;;;
584;0.9798;;;
585;0.9876;;;
586;0.9951;;;
587;0.9984;;;
588;1.0000;;;
589;0.9992;;;
590;0.9966;;;
591;0.9914;;;
592;0.9814;;;
593;0.9720;;;
594;0.9601;;;
595;0.9415;;;
596;0.9251;;;
597;0.9068;;;
598;0.8793;;;
599;0.8570;;;
600;0.8324;;;
601;0.7985;;;
602;0.7716;;;
603;0.7423;;;
604;0.7024;;;
605;0.6713;;;
606;0.6387;;;
607;0.5954;;;
608;0.5623;;;
609;0.5276;;;
610;0.4828;;;
611;0.4494;;;
612;0.4154;;;
613;0.3730;;;
614;0.3424;;;
615;0.3121;;;
616;0.2745;;;
617;0.2481;;;
618;0.2222;;;
619;0.1909;;;
620;0.1694;;;
621;0.1489;;;
622;0.1248;;;
623;0.1093;;;
624;0.0948;;;
625;0.0777;;;
626;0.0668;;;
627;0.0575;;;
628;0.0464;;;
629;0.0396;;;
630;0.0337;;;
631;0.0272;;;
632;0.0228;;;
633;0.0192;;;
634;0.0155;;;
635;0.0130;;;
636;0.0109;;;
637;0.0085;;;
638;0.0072;;;
639;0.0060;;;
640;0.0047;;;
641;0.0039;;;
642;0.0031;;;
643;0.0023;;;
644;0.0018;;;
