Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
601;0.2500;622;0.0068;
602;0.2568;623;0.0155;
603;0.2527;624;0.0232;
604;0.2499;625;0.0378;
605;0.2481;626;0.0563;
606;0.2454;627;0.0776;
607;0.2452;628;0.1042;
608;0.2442;629;0.1347;
609;0.2442;630;0.1686;
610;0.2452;631;0.2057;
611;0.2474;632;0.2434;
612;0.2501;633;0.2920;
613;0.2550;634;0.3460;
614;0.2594;635;0.4010;
615;0.2641;636;0.4584;
616;0.2749;637;0.5191;
617;0.2847;638;0.5861;
618;0.2963;639;0.6597;
619;0.3095;640;0.7336;
620;0.3261;641;0.8030;
621;0.3475;642;0.8632;
622;0.3714;643;0.9120;
623;0.3989;644;0.9536;
624;0.4314;645;0.9860;
625;0.4654;646;1.0000;
626;0.5076;647;0.9931;
627;0.5589;648;0.9776;
628;0.6187;649;0.9507;
629;0.6822;650;0.9076;
630;0.7327;651;0.8525;
631;0.7832;652;0.7747;
632;0.8244;653;0.6993;
633;0.8670;654;0.6230;
634;0.9033;655;0.5456;
635;0.9349;656;0.4896;
636;0.9617;657;0.4114;
637;0.9828;658;0.3512;
638;1.0000;659;0.3121;
639;0.9902;660;0.2893;
640;0.9753;661;0.2755;
641;0.9520;662;0.2670;
642;0.9219;663;0.2619;
643;0.8800;664;0.2584;
644;0.8350;665;0.2565;
645;0.7851;666;0.2557;
646;0.7373;667;0.2546;
647;0.6887;668;0.2546;
648;0.6321;669;0.2546;
649;0.5163;670;0.2556;
650;0.5163;671;0.2565;
651;0.4562;672;0.2565;
652;0.4094;673;0.2565;
653;0.3415;674;0.2565;
654;0.3080;675;0.2565;
655;0.2600;676;0.2575;
656;0.2146;677;0.2574;
657;0.1804;678;0.2585;
658;0.1482;679;0.2585;
659;0.1207;680;0.2585;
660;0.0938;681;0.2585;
661;0.0711;682;0.2585;
662;0.0548;683;0.2584;
663;0.0416;684;0.2601;
664;0.0284;685;0.2586;
665;0.0230;686;0.2614;
666;0.0136;687;0.2614;
667;0.0086;688;0.2614;
;;689;0.2614;
;;690;0.2614;
;;691;0.2614;
;;692;0.2614;
;;693;0.2614;
;;694;0.2584;
;;695;0.2535;
;;696;0.2479;
;;697;0.2426;
;;698;0.2362;
;;699;0.2296;
;;700;0.2222;
;;701;0.2150;
;;702;0.2103;
;;703;0.2024;
;;704;0.1936;
;;705;0.1857;
;;706;0.1790;
;;707;0.1723;
;;708;0.1647;
;;709;0.1570;
;;710;0.1494;
;;711;0.1420;
;;712;0.1340;
;;713;0.1268;
;;714;0.1200;
;;715;0.1123;
;;716;0.1055;
;;717;0.0986;
;;718;0.0898;
;;719;0.0842;
;;720;0.0770;
;;721;0.0703;
;;722;0.0637;
;;723;0.0567;
;;724;0.0506;
;;725;0.0437;
;;726;0.0378;
;;727;0.0319;
;;728;0.0260;
;;729;0.0202;
;;730;0.0166;
;;731;0.0116;
;;732;0.0078;
