Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.6128;390;0.0006;
221;0.5053;391;0.0006;
222;0.4221;392;0.0007;
223;0.3542;393;0.0007;
224;0.3071;394;0.0007;
225;0.2722;395;0.0007;
226;0.2455;396;0.0007;
227;0.2300;397;0.0007;
228;0.2193;398;0.0008;
229;0.2152;399;0.0008;
230;0.2143;400;0.0009;
231;0.2149;401;0.0010;
232;0.2187;402;0.0010;
233;0.2229;403;0.0010;
234;0.2274;404;0.0009;
235;0.2327;405;0.0009;
236;0.2407;406;0.0009;
237;0.2476;407;0.0010;
238;0.2555;408;0.0010;
239;0.2623;409;0.0011;
240;0.2702;410;0.0012;
241;0.2765;411;0.0012;
242;0.2844;412;0.0014;
243;0.2876;413;0.0016;
244;0.2902;414;0.0019;
245;0.2917;415;0.0022;
246;0.2944;416;0.0023;
247;0.2943;417;0.0025;
248;0.2942;418;0.0027;
249;0.2944;419;0.0031;
250;0.2955;420;0.0036;
251;0.2944;421;0.0042;
252;0.2939;422;0.0050;
253;0.2947;423;0.0058;
254;0.2926;424;0.0070;
255;0.2942;425;0.0085;
256;0.2935;426;0.0105;
257;0.2936;427;0.0126;
258;0.2950;428;0.0154;
259;0.2953;429;0.0184;
260;0.2956;430;0.0216;
261;0.2976;431;0.0259;
262;0.2977;432;0.0309;
263;0.2969;433;0.0370;
264;0.2944;434;0.0441;
265;0.2917;435;0.0522;
266;0.2872;436;0.0610;
267;0.2835;437;0.0711;
268;0.2789;438;0.0820;
269;0.2774;439;0.0945;
270;0.2721;440;0.1079;
271;0.2739;441;0.1234;
272;0.2716;442;0.1402;
273;0.2722;443;0.1577;
274;0.2724;444;0.1776;
275;0.2735;445;0.1991;
276;0.2750;446;0.2214;
277;0.2738;447;0.2459;
278;0.2705;448;0.2725;
279;0.2670;449;0.3009;
280;0.2612;450;0.3315;
281;0.2570;451;0.3637;
282;0.2487;452;0.3985;
283;0.2426;453;0.4344;
284;0.2343;454;0.4689;
285;0.2256;455;0.5091;
286;0.2167;456;0.5456;
287;0.2077;457;0.5842;
288;0.2005;458;0.6192;
289;0.1929;459;0.6567;
290;0.1860;460;0.6891;
291;0.1789;461;0.7231;
292;0.1734;462;0.7518;
293;0.1691;463;0.7834;
294;0.1640;464;0.8106;
295;0.1588;465;0.8358;
296;0.1564;466;0.8598;
297;0.1514;467;0.8827;
298;0.1453;468;0.9027;
299;0.1415;469;0.9210;
300;0.1357;470;0.9371;
301;0.1319;471;0.9501;
302;0.1273;472;0.9646;
303;0.1237;473;0.9761;
304;0.1210;474;0.9855;
305;0.1166;475;0.9925;
306;0.1134;476;0.9984;
307;0.1097;477;0.9988;
308;0.1083;478;1.0000;
309;0.1034;479;0.9974;
310;0.0991;480;0.9940;
311;0.0973;481;0.9896;
312;0.0940;482;0.9859;
313;0.0887;483;0.9793;
314;0.0846;484;0.9740;
315;0.0784;485;0.9650;
316;0.0767;486;0.9580;
317;0.0787;487;0.9486;
318;0.0657;488;0.9426;
319;0.0706;489;0.9346;
320;0.0735;490;0.9252;
321;0.0679;491;0.9170;
322;0.0648;492;0.9073;
323;0.0636;493;0.8953;
324;0.0634;494;0.8877;
325;0.0606;495;0.8773;
326;0.0588;496;0.8663;
327;0.0557;497;0.8576;
328;0.0513;498;0.8459;
329;0.0433;499;0.8338;
330;0.0436;500;0.8216;
331;0.0440;501;0.8108;
332;0.0478;502;0.7984;
333;0.0427;503;0.7840;
334;0.0439;504;0.7715;
335;0.0521;505;0.7571;
336;0.0564;506;0.7448;
337;0.0544;507;0.7299;
338;0.0574;508;0.7168;
339;0.0643;509;0.7024;
340;0.0713;510;0.6902;
341;0.0770;511;0.6756;
342;0.0810;512;0.6635;
343;0.0881;513;0.6482;
344;0.0919;514;0.6359;
345;0.0985;515;0.6225;
346;0.1008;516;0.6084;
347;0.1103;517;0.5955;
348;0.1175;518;0.5809;
349;0.1278;519;0.5687;
350;0.1360;520;0.5564;
351;0.1453;521;0.5412;
352;0.1519;522;0.5290;
353;0.1642;523;0.5153;
354;0.1725;524;0.5012;
355;0.1843;525;0.4884;
356;0.2056;526;0.4753;
357;0.2150;527;0.4627;
358;0.2237;528;0.4503;
359;0.2374;529;0.4362;
360;0.2464;530;0.4253;
361;0.2627;531;0.4114;
362;0.2732;532;0.4011;
363;0.2904;533;0.3901;
364;0.3069;534;0.3790;
365;0.3190;535;0.3695;
366;0.3363;536;0.3598;
367;0.3506;537;0.3509;
368;0.3699;538;0.3406;
369;0.3842;539;0.3311;
370;0.4042;540;0.3221;
371;0.4196;541;0.3132;
372;0.4361;542;0.3052;
373;0.4599;543;0.2963;
374;0.4727;544;0.2884;
375;0.4882;545;0.2800;
376;0.5057;546;0.2729;
377;0.5362;547;0.2649;
378;0.5532;548;0.2572;
379;0.5774;549;0.2502;
380;0.5966;550;0.2420;
381;0.6162;551;0.2353;
382;0.6396;552;0.2276;
383;0.6575;553;0.2206;
384;0.6808;554;0.2141;
385;0.6992;555;0.2066;
386;0.7156;556;0.2008;
387;0.7382;557;0.1949;
388;0.7610;558;0.1891;
389;0.7794;559;0.1840;
390;0.8003;560;0.1788;
391;0.8177;561;0.1727;
392;0.8353;562;0.1676;
393;0.8568;563;0.1628;
394;0.8760;564;0.1573;
395;0.8886;565;0.1522;
396;0.9074;566;0.1478;
397;0.9224;567;0.1436;
398;0.9328;568;0.1393;
399;0.9498;569;0.1349;
400;0.9576;570;0.1305;
401;0.9674;571;0.1273;
402;0.9724;572;0.1227;
403;0.9822;573;0.1198;
404;0.9880;574;0.1155;
405;0.9948;575;0.1111;
406;1.0000;576;0.1078;
407;0.9963;577;0.1040;
408;0.9999;578;0.1012;
409;0.9964;579;0.0978;
410;0.9928;580;0.0950;
411;0.9895;581;0.0916;
412;0.9827;582;0.0892;
413;0.9718;583;0.0864;
414;0.9625;584;0.0836;
415;0.9557;585;0.0814;
416;0.9418;586;0.0787;
417;0.9248;587;0.0760;
418;0.9094;588;0.0739;
419;0.8881;589;0.0714;
420;0.8690;590;0.0690;
421;0.8468;591;0.0673;
422;0.8218;592;0.0654;
423;0.7948;593;0.0634;
424;0.7652;594;0.0615;
425;0.7383;595;0.0596;
426;0.7113;596;0.0580;
427;0.6810;597;0.0560;
428;0.6520;598;0.0541;
429;0.6209;599;0.0523;
430;0.5904;600;0.0507;
431;0.5589;601;0.0487;
432;0.5288;602;0.0469;
433;0.4970;603;0.0458;
434;0.4677;604;0.0446;
435;0.4381;605;0.0432;
436;0.4035;606;0.0416;
437;0.3745;607;0.0404;
438;0.3469;608;0.0392;
