Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.2440;650;0.0375;
301;0.2280;651;0.0402;
302;0.2134;652;0.0435;
303;0.1986;653;0.0478;
304;0.1859;654;0.0502;
305;0.1735;655;0.0564;
306;0.1618;656;0.0597;
307;0.1520;657;0.0644;
308;0.1420;658;0.0707;
309;0.1332;659;0.0774;
310;0.1252;660;0.0831;
311;0.1183;661;0.0903;
312;0.1120;662;0.0973;
313;0.1069;663;0.1047;
314;0.1017;664;0.1119;
315;0.0978;665;0.1201;
316;0.0942;666;0.1305;
317;0.0912;667;0.1417;
318;0.0894;668;0.1511;
319;0.0888;669;0.1599;
320;0.0878;670;0.1746;
321;0.0879;671;0.1839;
322;0.0864;672;0.1926;
323;0.0870;673;0.2075;
324;0.0868;674;0.2172;
325;0.0877;675;0.2303;
326;0.0884;676;0.2487;
327;0.0892;677;0.2599;
328;0.0910;678;0.2772;
329;0.0922;679;0.2923;
330;0.0945;680;0.3075;
331;0.0962;681;0.3295;
332;0.0996;682;0.3452;
333;0.1014;683;0.3635;
334;0.1044;684;0.3862;
335;0.1066;685;0.4106;
336;0.1088;686;0.4346;
337;0.1100;687;0.4598;
338;0.1111;688;0.4841;
339;0.1119;689;0.5064;
340;0.1120;690;0.5364;
341;0.1123;691;0.5664;
342;0.1117;692;0.5973;
343;0.1116;693;0.6276;
344;0.1107;694;0.6647;
345;0.1105;695;0.6941;
346;0.1089;696;0.7272;
347;0.1090;697;0.7524;
348;0.1083;698;0.7909;
349;0.1079;699;0.8217;
350;0.1075;700;0.8486;
351;0.1069;701;0.8820;
352;0.1074;702;0.9060;
353;0.1076;703;0.9271;
354;0.1086;704;0.9487;
355;0.1093;705;0.9657;
356;0.1108;706;0.9800;
357;0.1122;707;0.9908;
358;0.1145;708;0.9997;
359;0.1170;709;1.0000;
360;0.1194;710;0.9984;
361;0.1221;711;0.9948;
362;0.1251;712;0.9872;
363;0.1280;713;0.9723;
364;0.1310;714;0.9602;
365;0.1336;715;0.9368;
366;0.1357;716;0.9178;
367;0.1372;717;0.8971;
368;0.1378;718;0.8707;
369;0.1380;719;0.8442;
370;0.1372;720;0.8131;
371;0.1366;721;0.7856;
372;0.1346;722;0.7573;
373;0.1331;723;0.7242;
374;0.1314;724;0.6999;
375;0.1290;725;0.6669;
376;0.1260;726;0.6386;
377;0.1230;727;0.6066;
378;0.1191;728;0.5830;
379;0.1145;729;0.5534;
380;0.1089;730;0.5275;
381;0.1021;731;0.5056;
382;0.0944;732;0.4854;
383;0.0862;733;0.4590;
384;0.0779;734;0.4396;
385;0.0693;735;0.4142;
386;0.0618;736;0.3972;
387;0.0542;737;0.3760;
388;0.0482;738;0.3617;
389;0.0424;739;0.3469;
390;0.0379;740;0.3309;
391;0.0341;741;0.3177;
392;0.0316;742;0.3068;
393;0.0293;743;0.2918;
394;0.0278;744;0.2821;
395;0.0267;745;0.2690;
396;0.0257;746;0.2629;
397;0.0252;747;0.2534;
398;0.0249;748;0.2453;
399;0.0248;749;0.2381;
400;0.0246;750;0.2297;
401;0.0248;751;0.2216;
402;0.0248;752;0.2163;
403;0.0247;753;0.2091;
404;0.0250;754;0.2037;
405;0.0252;755;0.1956;
406;0.0254;756;0.1912;
407;0.0258;757;0.1891;
408;0.0264;758;0.1821;
409;0.0267;759;0.1774;
410;0.0274;760;0.1754;
411;0.0278;761;0.1688;
412;0.0285;762;0.1659;
413;0.0291;763;0.1616;
414;0.0297;764;0.1588;
415;0.0305;765;0.1555;
416;0.0315;766;0.1527;
417;0.0320;767;0.1480;
418;0.0328;768;0.1476;
419;0.0338;769;0.1433;
420;0.0346;770;0.1406;
421;0.0356;771;0.1381;
422;0.0365;772;0.1353;
423;0.0374;773;0.1311;
424;0.0384;774;0.1293;
425;0.0394;775;0.1281;
426;0.0403;776;0.1240;
427;0.0416;777;0.1222;
428;0.0426;778;0.1186;
429;0.0439;779;0.1140;
430;0.0450;780;0.1129;
431;0.0461;781;0.1111;
432;0.0472;782;0.1076;
433;0.0485;783;0.1057;
434;0.0498;784;0.1042;
435;0.0511;785;0.0992;
436;0.0526;786;0.0979;
437;0.0540;787;0.0956;
438;0.0555;788;0.0934;
439;0.0569;789;0.0910;
440;0.0583;790;0.0886;
441;0.0598;791;0.0865;
442;0.0615;792;0.0864;
443;0.0628;793;0.0872;
444;0.0643;794;0.0883;
445;0.0658;795;0.0908;
446;0.0672;796;0.0901;
447;0.0687;797;0.0894;
448;0.0698;798;0.0891;
449;0.0711;799;0.0863;
450;0.0722;800;0.0833;
451;0.0732;;;
452;0.0741;;;
453;0.0750;;;
454;0.0759;;;
455;0.0765;;;
456;0.0773;;;
457;0.0778;;;
458;0.0785;;;
459;0.0789;;;
460;0.0796;;;
461;0.0800;;;
462;0.0805;;;
463;0.0809;;;
464;0.0814;;;
465;0.0820;;;
466;0.0825;;;
467;0.0832;;;
468;0.0835;;;
469;0.0842;;;
470;0.0847;;;
471;0.0854;;;
472;0.0858;;;
473;0.0862;;;
474;0.0865;;;
475;0.0867;;;
476;0.0867;;;
477;0.0866;;;
478;0.0862;;;
479;0.0858;;;
480;0.0849;;;
481;0.0840;;;
482;0.0827;;;
483;0.0813;;;
484;0.0795;;;
485;0.0776;;;
486;0.0755;;;
487;0.0729;;;
488;0.0705;;;
489;0.0677;;;
490;0.0649;;;
491;0.0618;;;
492;0.0586;;;
493;0.0556;;;
494;0.0523;;;
495;0.0492;;;
496;0.0460;;;
497;0.0432;;;
498;0.0402;;;
499;0.0374;;;
500;0.0348;;;
501;0.0324;;;
502;0.0303;;;
503;0.0281;;;
504;0.0262;;;
505;0.0245;;;
506;0.0232;;;
507;0.0218;;;
508;0.0208;;;
509;0.0197;;;
510;0.0190;;;
511;0.0183;;;
512;0.0177;;;
513;0.0174;;;
514;0.0170;;;
515;0.0167;;;
516;0.0165;;;
517;0.0164;;;
518;0.0164;;;
519;0.0164;;;
520;0.0166;;;
521;0.0167;;;
522;0.0169;;;
523;0.0170;;;
524;0.0172;;;
525;0.0176;;;
526;0.0178;;;
527;0.0182;;;
528;0.0185;;;
529;0.0191;;;
530;0.0193;;;
531;0.0198;;;
532;0.0202;;;
533;0.0208;;;
534;0.0212;;;
535;0.0217;;;
536;0.0222;;;
537;0.0228;;;
538;0.0234;;;
539;0.0239;;;
540;0.0246;;;
541;0.0251;;;
542;0.0258;;;
543;0.0265;;;
544;0.0272;;;
545;0.0279;;;
546;0.0285;;;
547;0.0294;;;
548;0.0301;;;
549;0.0308;;;
550;0.0317;;;
551;0.0328;;;
