Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.0991;500;0.0592;
251;0.1052;501;0.0622;
252;0.1105;502;0.0655;
253;0.1196;503;0.0698;
254;0.1268;504;0.0754;
255;0.1375;505;0.0813;
256;0.1458;506;0.0865;
257;0.1585;507;0.0932;
258;0.1694;508;0.1011;
259;0.1809;509;0.1082;
260;0.1938;510;0.1156;
261;0.2076;511;0.1246;
262;0.2242;512;0.1342;
263;0.2348;513;0.1423;
264;0.2483;514;0.1540;
265;0.2649;515;0.1636;
266;0.2755;516;0.1768;
267;0.2874;517;0.1894;
268;0.2996;518;0.2018;
269;0.3151;519;0.2140;
270;0.3228;520;0.2258;
271;0.3350;521;0.2381;
272;0.3436;522;0.2519;
273;0.3509;523;0.2729;
274;0.3578;524;0.2854;
275;0.3556;525;0.2998;
276;0.3529;526;0.3190;
277;0.3571;527;0.3348;
278;0.3520;528;0.3514;
279;0.3512;529;0.3662;
280;0.3497;530;0.3837;
281;0.3539;531;0.4032;
282;0.3482;532;0.4227;
283;0.3468;533;0.4393;
284;0.3433;534;0.4597;
285;0.3408;535;0.4748;
286;0.3352;536;0.4915;
287;0.3309;537;0.5087;
288;0.3274;538;0.5300;
289;0.3207;539;0.5485;
290;0.3135;540;0.5634;
291;0.3074;541;0.5835;
292;0.3030;542;0.6064;
293;0.2928;543;0.6209;
294;0.2868;544;0.6355;
295;0.2792;545;0.6556;
296;0.2668;546;0.6742;
297;0.2585;547;0.6882;
298;0.2514;548;0.7030;
299;0.2411;549;0.7229;
300;0.2334;550;0.7406;
301;0.2252;551;0.7461;
302;0.2166;552;0.7678;
303;0.2123;553;0.7816;
304;0.2064;554;0.7975;
305;0.1949;555;0.8121;
306;0.1902;556;0.8254;
307;0.1869;557;0.8385;
308;0.1752;558;0.8521;
309;0.1673;559;0.8634;
310;0.1614;560;0.8750;
311;0.1509;561;0.8875;
312;0.1445;562;0.9054;
313;0.1392;563;0.9064;
314;0.1293;564;0.9196;
315;0.1235;565;0.9312;
316;0.1187;566;0.9429;
317;0.1101;567;0.9515;
318;0.1060;568;0.9557;
319;0.1011;569;0.9658;
320;0.0982;570;0.9706;
321;0.0969;571;0.9735;
322;0.0931;572;0.9795;
323;0.0867;573;0.9788;
324;0.0867;574;0.9811;
325;0.0816;575;0.9870;
326;0.0715;576;0.9921;
327;0.0693;577;0.9940;
328;0.0662;578;0.9973;
329;0.0554;579;1.0000;
330;0.0540;580;0.9957;
331;0.0482;581;0.9952;
332;0.0467;582;0.9879;
333;0.0433;583;0.9838;
334;0.0426;584;0.9864;
335;0.0414;585;0.9820;
336;0.0387;586;0.9804;
337;0.0356;587;0.9731;
338;0.0322;588;0.9695;
339;0.0268;589;0.9626;
340;0.0209;590;0.9553;
341;0.0140;591;0.9568;
342;0.0120;592;0.9442;
343;0.0078;593;0.9362;
344;0.0027;594;0.9314;
345;0.0012;595;0.9178;
348;0.0013;596;0.9038;
357;0.0000;597;0.8971;
359;0.0003;598;0.8888;
360;0.0021;599;0.8783;
361;0.0031;600;0.8656;
362;0.0038;601;0.8600;
363;0.0059;602;0.8472;
364;0.0074;603;0.8359;
365;0.0088;604;0.8243;
366;0.0104;605;0.8070;
367;0.0128;606;0.7933;
368;0.0151;607;0.7819;
369;0.0177;608;0.7746;
370;0.0186;609;0.7560;
371;0.0223;610;0.7513;
372;0.0253;611;0.7325;
373;0.0252;612;0.7189;
374;0.0283;613;0.7061;
375;0.0342;614;0.6903;
376;0.0344;615;0.6846;
377;0.0369;616;0.6799;
378;0.0423;617;0.6571;
379;0.0444;618;0.6408;
380;0.0490;619;0.6284;
381;0.0522;620;0.6188;
382;0.0533;621;0.5987;
383;0.0602;622;0.5901;
384;0.0656;623;0.5717;
385;0.0697;624;0.5672;
386;0.0748;625;0.5520;
387;0.0803;626;0.5340;
388;0.0856;627;0.5246;
389;0.0896;628;0.5110;
390;0.0953;629;0.4997;
391;0.1004;630;0.4850;
392;0.1085;631;0.4674;
393;0.1125;632;0.4605;
394;0.1196;633;0.4494;
395;0.1259;634;0.4360;
396;0.1328;635;0.4280;
397;0.1385;636;0.4101;
398;0.1473;637;0.4045;
399;0.1548;638;0.3911;
400;0.1635;639;0.3823;
401;0.1709;640;0.3679;
402;0.1796;641;0.3583;
403;0.1888;642;0.3480;
404;0.1982;643;0.3414;
405;0.2071;644;0.3326;
406;0.2173;645;0.3251;
407;0.2275;646;0.3109;
408;0.2371;647;0.3035;
409;0.2474;648;0.2946;
410;0.2582;649;0.2856;
411;0.2689;650;0.2789;
412;0.2794;651;0.2714;
413;0.2917;652;0.2610;
414;0.3036;653;0.2508;
415;0.3159;654;0.2417;
416;0.3282;655;0.2382;
417;0.3396;656;0.2297;
418;0.3531;657;0.2207;
419;0.3649;658;0.2174;
420;0.3790;659;0.2079;
421;0.3941;660;0.2025;
422;0.4053;661;0.1980;
423;0.4188;662;0.1872;
424;0.4323;663;0.1829;
425;0.4475;664;0.1764;
426;0.4628;665;0.1720;
427;0.4764;666;0.1661;
428;0.4892;667;0.1587;
429;0.5072;668;0.1562;
430;0.5212;669;0.1517;
431;0.5359;670;0.1463;
432;0.5520;671;0.1399;
433;0.5696;672;0.1358;
434;0.5815;673;0.1303;
435;0.5991;674;0.1293;
436;0.6141;675;0.1248;
