Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.1880;482;0.0010;
301;0.1940;483;0.0010;
302;0.2020;484;0.0010;
303;0.2080;485;0.0010;
304;0.2170;486;0.0010;
305;0.2220;487;0.0020;
306;0.2270;488;0.0020;
307;0.2350;489;0.0030;
308;0.2390;490;0.0040;
309;0.2440;491;0.0050;
310;0.2480;492;0.0060;
311;0.2500;493;0.0070;
312;0.2530;494;0.0090;
313;0.2540;495;0.0120;
314;0.2540;496;0.0140;
315;0.2540;497;0.0190;
316;0.2550;498;0.0310;
317;0.2560;499;0.0710;
318;0.2520;500;0.0960;
319;0.2510;501;0.0770;
320;0.2490;502;0.0590;
321;0.2440;503;0.0680;
322;0.2400;504;0.0820;
323;0.2360;505;0.1000;
324;0.2290;506;0.1200;
325;0.2230;507;0.1460;
326;0.2180;508;0.1720;
327;0.2130;509;0.2050;
328;0.2060;510;0.2440;
329;0.1990;511;0.2810;
330;0.1930;512;0.3270;
331;0.1840;513;0.3750;
332;0.1770;514;0.4270;
333;0.1710;515;0.4770;
334;0.1630;516;0.5330;
335;0.1560;517;0.5900;
336;0.1470;518;0.6430;
337;0.1420;519;0.6980;
338;0.1330;520;0.7480;
339;0.1250;521;0.7990;
340;0.1180;522;0.8400;
341;0.1110;523;0.8770;
342;0.1040;524;0.9120;
343;0.0970;525;0.9420;
344;0.0910;526;0.9650;
345;0.0850;527;0.9800;
346;0.0790;528;0.9940;
347;0.0730;529;1.0000;
348;0.0690;530;0.9980;
349;0.0650;531;1.0000;
350;0.0610;532;0.9920;
351;0.0580;533;0.9860;
352;0.0540;534;0.9700;
353;0.0510;535;0.9540;
354;0.0490;536;0.9380;
355;0.0470;537;0.9180;
356;0.0450;538;0.8970;
357;0.0430;539;0.8710;
358;0.0410;540;0.8470;
359;0.0400;541;0.8260;
360;0.0390;542;0.8010;
361;0.0380;543;0.7760;
362;0.0370;544;0.7500;
363;0.0370;545;0.7260;
364;0.0360;546;0.7010;
365;0.0360;547;0.6790;
366;0.0350;548;0.6530;
