Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.4107;460;0.0223;
251;0.4026;461;0.0260;
252;0.3996;462;0.0311;
253;0.4023;463;0.0369;
254;0.4097;464;0.0448;
255;0.4220;465;0.0534;
256;0.4394;466;0.0632;
257;0.4608;467;0.0744;
258;0.4862;468;0.0866;
259;0.5148;469;0.1012;
260;0.5464;470;0.1188;
261;0.5801;471;0.1374;
262;0.6178;472;0.1571;
263;0.6560;473;0.1809;
264;0.6968;474;0.2064;
265;0.7396;475;0.2366;
266;0.7843;476;0.2688;
267;0.8290;477;0.2996;
268;0.8722;478;0.3344;
269;0.9120;479;0.3698;
270;0.9450;480;0.4070;
271;0.9718;481;0.4419;
272;0.9881;482;0.4797;
273;0.9971;483;0.5145;
274;1.0000;484;0.5531;
275;0.9951;485;0.5897;
276;0.9843;486;0.6262;
277;0.9702;487;0.6627;
278;0.9495;488;0.7011;
279;0.9239;489;0.7371;
280;0.8927;490;0.7693;
281;0.8545;491;0.7998;
282;0.8084;492;0.8284;
283;0.7594;493;0.8518;
284;0.7047;494;0.8780;
285;0.6485;495;0.9010;
286;0.5915;496;0.9214;
287;0.5382;497;0.9466;
288;0.4864;498;0.9620;
289;0.4404;499;0.9779;
290;0.3982;500;0.9903;
291;0.3631;501;0.9937;
292;0.3330;502;1.0000;
293;0.3058;503;0.9995;
294;0.2840;504;0.9970;
295;0.2661;505;0.9978;
296;0.2501;506;0.9934;
297;0.2366;507;0.9914;
298;0.2255;508;0.9825;
299;0.2161;509;0.9779;
300;0.2087;510;0.9712;
301;0.2019;511;0.9642;
302;0.1956;512;0.9561;
303;0.1908;513;0.9434;
304;0.1880;514;0.9376;
305;0.1832;515;0.9289;
306;0.1792;516;0.9209;
307;0.1777;517;0.9087;
308;0.1749;518;0.8987;
309;0.1720;519;0.8887;
310;0.1700;520;0.8795;
311;0.1678;521;0.8706;
312;0.1657;522;0.8596;
313;0.1636;523;0.8526;
314;0.1618;524;0.8411;
315;0.1600;525;0.8284;
316;0.1576;526;0.8165;
317;0.1558;527;0.8032;
318;0.1542;528;0.7934;
319;0.1519;529;0.7827;
320;0.1491;530;0.7704;
321;0.1467;531;0.7575;
322;0.1458;532;0.7420;
323;0.1423;533;0.7324;
324;0.1396;534;0.7205;
325;0.1391;535;0.7054;
326;0.1369;536;0.6935;
327;0.1341;537;0.6803;
328;0.1329;538;0.6665;
329;0.1300;539;0.6519;
330;0.1283;540;0.6395;
331;0.1266;541;0.6245;
332;0.1243;542;0.6110;
333;0.1221;543;0.5982;
334;0.1202;544;0.5861;
335;0.1180;545;0.5730;
336;0.1162;546;0.5605;
337;0.1147;547;0.5491;
338;0.1127;548;0.5345;
339;0.1128;549;0.5212;
340;0.1123;550;0.5100;
341;0.1105;551;0.4977;
342;0.1109;552;0.4873;
343;0.1104;553;0.4747;
344;0.1094;554;0.4620;
