Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.7894;505;0.0739;
251;0.9085;506;0.0400;
252;0.8422;507;0.0187;
253;0.7886;508;0.0085;
254;0.7995;509;0.0038;
255;0.7858;510;0.0016;
256;0.7559;511;0.0011;
257;0.7509;512;0.0016;
258;0.7285;513;0.0016;
259;0.7649;514;0.0016;
260;0.8205;515;0.0027;
261;0.7984;516;0.0027;
262;0.8246;517;0.0033;
263;1.0000;518;0.0039;
264;0.8179;519;0.0044;
265;0.7764;520;0.0055;
266;0.6971;521;0.0062;
267;0.7422;522;0.0067;
268;0.7129;523;0.0084;
269;0.7210;524;0.0096;
270;0.7087;525;0.0102;
271;0.7004;526;0.0114;
272;0.7148;527;0.0126;
273;0.6995;528;0.0143;
274;0.6845;529;0.0179;
275;0.6853;530;0.0202;
276;0.6846;531;0.0244;
277;0.6863;532;0.0273;
278;0.6798;533;0.0323;
279;0.6699;534;0.0370;
280;0.6325;535;0.0434;
281;0.6344;536;0.0504;
282;0.5812;537;0.0563;
283;0.5402;538;0.0652;
284;0.5073;539;0.0730;
285;0.4657;540;0.0833;
286;0.4271;541;0.0965;
287;0.3892;542;0.1096;
288;0.3530;543;0.1266;
289;0.3187;544;0.1449;
290;0.2840;545;0.1634;
291;0.2513;546;0.1871;
292;0.2190;547;0.2088;
293;0.1896;548;0.2337;
294;0.1612;549;0.2600;
295;0.1365;550;0.2874;
296;0.1146;551;0.3120;
297;0.0964;552;0.3458;
298;0.0809;553;0.3795;
299;0.0683;554;0.4160;
300;0.0578;555;0.4545;
301;0.0495;556;0.4984;
302;0.0427;557;0.5442;
303;0.0374;558;0.5834;
304;0.0331;559;0.6309;
305;0.0297;560;0.6691;
306;0.0272;561;0.7116;
307;0.0254;562;0.7494;
308;0.0239;563;0.7889;
309;0.0227;564;0.8210;
310;0.0218;565;0.8531;
311;0.0213;566;0.8855;
312;0.0204;567;0.9184;
313;0.0198;568;0.9394;
314;0.0194;569;0.9647;
315;0.0188;570;0.9804;
316;0.0183;571;0.9957;
317;0.0177;572;0.9984;
318;0.0174;573;0.9991;
319;0.0170;574;1.0000;
320;0.0166;575;0.9952;
321;0.0161;576;0.9909;
322;0.0158;577;0.9769;
323;0.0156;578;0.9622;
324;0.0152;579;0.9477;
325;0.0147;580;0.9231;
326;0.0144;581;0.9059;
327;0.0139;582;0.8775;
328;0.0134;583;0.8469;
329;0.0132;584;0.8192;
330;0.0128;585;0.7996;
331;0.0120;586;0.7716;
332;0.0116;587;0.7437;
333;0.0111;588;0.7179;
334;0.0106;589;0.7002;
335;0.0102;590;0.6720;
336;0.0098;591;0.6461;
337;0.0096;592;0.6222;
338;0.0093;593;0.5977;
339;0.0091;594;0.5710;
340;0.0088;595;0.5527;
341;0.0086;596;0.5294;
342;0.0084;597;0.5112;
343;0.0083;598;0.4916;
344;0.0081;599;0.4742;
345;0.0080;600;0.4611;
346;0.0080;601;0.4473;
347;0.0076;602;0.4291;
348;0.0075;603;0.4153;
349;0.0074;604;0.4044;
350;0.0072;605;0.3898;
351;0.0071;606;0.3780;
352;0.0070;607;0.3634;
353;0.0068;608;0.3546;
354;0.0069;609;0.3399;
355;0.0068;610;0.3297;
356;0.0067;611;0.3218;
357;0.0066;612;0.3129;
358;0.0067;613;0.3033;
359;0.0066;614;0.2945;
360;0.0064;615;0.2847;
361;0.0064;616;0.2795;
362;0.0063;617;0.2711;
363;0.0062;618;0.2606;
364;0.0062;619;0.2516;
365;0.0059;620;0.2444;
366;0.0059;621;0.2361;
367;0.0058;622;0.2279;
368;0.0057;623;0.2203;
369;0.0057;624;0.2150;
370;0.0056;625;0.2073;
371;0.0055;626;0.2011;
372;0.0055;627;0.1955;
373;0.0054;628;0.1885;
374;0.0054;629;0.1820;
375;0.0052;630;0.1746;
376;0.0054;631;0.1671;
377;0.0051;632;0.1634;
378;0.0050;633;0.1547;
379;0.0048;634;0.1493;
380;0.0048;635;0.1438;
381;0.0047;636;0.1383;
