Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.2337;490;0.0706;
251;0.2790;491;0.0791;
252;0.2994;492;0.0916;
253;0.3011;493;0.1089;
254;0.2955;494;0.1296;
255;0.2914;495;0.1530;
256;0.2845;496;0.1787;
257;0.2800;497;0.2084;
258;0.2732;498;0.2371;
259;0.2679;499;0.2724;
260;0.2609;500;0.3066;
261;0.2542;501;0.3437;
262;0.2460;502;0.3841;
263;0.2381;503;0.4199;
264;0.2298;504;0.4612;
265;0.2213;505;0.5036;
266;0.2130;506;0.5447;
267;0.2049;507;0.5906;
268;0.1978;508;0.6309;
269;0.1915;509;0.6762;
270;0.1861;510;0.7226;
271;0.1814;511;0.7643;
272;0.1781;512;0.8050;
273;0.1752;513;0.8427;
274;0.1739;514;0.8743;
275;0.1728;515;0.9048;
276;0.1727;516;0.9304;
277;0.1731;517;0.9539;
278;0.1745;518;0.9714;
279;0.1760;519;0.9870;
280;0.1779;520;0.9946;
281;0.1800;521;1.0000;
282;0.1821;522;0.9971;
283;0.1840;523;0.9902;
284;0.1852;524;0.9849;
285;0.1858;525;0.9772;
286;0.1852;526;0.9590;
287;0.1834;527;0.9428;
288;0.1805;528;0.9273;
289;0.1764;529;0.9061;
290;0.1712;530;0.8925;
291;0.1651;531;0.8595;
292;0.1583;532;0.8423;
293;0.1510;533;0.8175;
294;0.1436;534;0.7988;
295;0.1365;535;0.7732;
296;0.1295;536;0.7536;
297;0.1228;537;0.7276;
298;0.1165;538;0.7085;
299;0.1111;539;0.6805;
300;0.1062;540;0.6610;
301;0.1019;541;0.6396;
302;0.0986;542;0.6160;
303;0.0959;543;0.5945;
304;0.0938;544;0.5824;
305;0.0923;545;0.5608;
306;0.0916;546;0.5444;
307;0.0913;547;0.5270;
308;0.0918;548;0.5122;
309;0.0926;549;0.4936;
310;0.0941;550;0.4793;
311;0.0960;551;0.4621;
312;0.0986;552;0.4517;
313;0.1016;553;0.4352;
314;0.1050;554;0.4229;
315;0.1090;555;0.4069;
316;0.1135;556;0.3963;
317;0.1185;557;0.3835;
318;0.1230;558;0.3724;
319;0.1280;559;0.3588;
320;0.1319;560;0.3486;
321;0.1336;561;0.3376;
322;0.1351;562;0.3264;
323;0.1339;563;0.3140;
324;0.1328;564;0.3060;
325;0.1299;565;0.2947;
326;0.1266;566;0.2844;
327;0.1219;567;0.2735;
328;0.1172;568;0.2662;
329;0.1112;569;0.2560;
330;0.1059;570;0.2465;
331;0.0999;571;0.2386;
332;0.0936;572;0.2283;
333;0.0872;573;0.2205;
334;0.0808;574;0.2126;
335;0.0750;575;0.2040;
336;0.0688;576;0.1962;
337;0.0633;577;0.1886;
338;0.0576;578;0.1824;
339;0.0526;579;0.1744;
340;0.0476;580;0.1682;
341;0.0434;581;0.1607;
342;0.0391;582;0.1550;
343;0.0356;583;0.1481;
344;0.0325;584;0.1427;
345;0.0295;585;0.1364;
346;0.0267;586;0.1311;
347;0.0247;587;0.1250;
348;0.0229;588;0.1212;
349;0.0214;589;0.1160;
350;0.0204;590;0.1116;
351;0.0192;591;0.1068;
352;0.0187;592;0.1027;
353;0.0179;593;0.0984;
354;0.0174;594;0.0951;
355;0.0172;595;0.0909;
356;0.0172;596;0.0874;
357;0.0170;597;0.0838;
358;0.0171;598;0.0802;
359;0.0170;599;0.0773;
360;0.0172;600;0.0747;
361;0.0174;601;0.0716;
362;0.0173;602;0.0688;
363;0.0176;603;0.0661;
364;0.0180;604;0.0633;
365;0.0182;605;0.0610;
366;0.0184;606;0.0591;
367;0.0185;607;0.0561;
368;0.0188;608;0.0542;
369;0.0194;609;0.0521;
370;0.0196;610;0.0503;
371;0.0200;611;0.0478;
372;0.0202;612;0.0469;
373;0.0206;613;0.0445;
374;0.0208;614;0.0429;
375;0.0212;615;0.0410;
376;0.0215;616;0.0397;
377;0.0217;617;0.0379;
378;0.0220;618;0.0368;
379;0.0221;619;0.0348;
380;0.0223;620;0.0338;
381;0.0224;621;0.0324;
382;0.0225;622;0.0313;
383;0.0226;623;0.0298;
384;0.0226;624;0.0290;
385;0.0225;625;0.0278;
386;0.0224;626;0.0267;
387;0.0222;627;0.0254;
388;0.0221;628;0.0246;
389;0.0221;629;0.0238;
390;0.0219;630;0.0228;
391;0.0220;631;0.0218;
392;0.0218;632;0.0212;
393;0.0217;633;0.0202;
394;0.0216;634;0.0194;
395;0.0215;635;0.0187;
396;0.0215;636;0.0180;
397;0.0216;637;0.0171;
398;0.0217;638;0.0166;
399;0.0218;639;0.0160;
400;0.0218;640;0.0155;
401;0.0220;641;0.0147;
402;0.0222;642;0.0142;
403;0.0223;643;0.0137;
404;0.0226;644;0.0131;
405;0.0226;645;0.0127;
406;0.0230;646;0.0121;
407;0.0232;647;0.0117;
408;0.0237;648;0.0114;
409;0.0241;649;0.0109;
410;0.0245;650;0.0105;
411;0.0252;651;0.0101;
412;0.0259;652;0.0098;
413;0.0266;653;0.0094;
414;0.0276;654;0.0091;
415;0.0288;655;0.0087;
416;0.0300;656;0.0085;
417;0.0314;657;0.0081;
418;0.0328;658;0.0079;
419;0.0346;659;0.0075;
420;0.0364;660;0.0074;
421;0.0385;661;0.0070;
422;0.0406;662;0.0069;
423;0.0431;663;0.0066;
424;0.0457;664;0.0065;
425;0.0484;665;0.0062;
426;0.0513;666;0.0061;
427;0.0545;667;0.0058;
428;0.0577;668;0.0057;
429;0.0610;669;0.0055;
430;0.0644;670;0.0054;
431;0.0680;671;0.0052;
432;0.0716;672;0.0051;
433;0.0754;673;0.0049;
434;0.0794;674;0.0048;
435;0.0833;675;0.0046;
436;0.0877;676;0.0046;
437;0.0923;677;0.0044;
438;0.0971;678;0.0043;
439;0.1022;679;0.0042;
440;0.1077;680;0.0042;
441;0.1135;681;0.0039;
442;0.1200;682;0.0039;
443;0.1268;683;0.0037;
444;0.1344;684;0.0037;
445;0.1426;685;0.0036;
446;0.1514;686;0.0036;
