Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
350;0.0369;600;0.0045;
351;0.0378;601;0.0050;
352;0.0386;602;0.0052;
353;0.0397;603;0.0052;
354;0.0409;604;0.0058;
355;0.0420;605;0.0063;
356;0.0440;606;0.0069;
357;0.0458;607;0.0069;
358;0.0484;608;0.0077;
359;0.0513;609;0.0083;
360;0.0553;610;0.0092;
361;0.0599;611;0.0103;
362;0.0659;612;0.0112;
363;0.0732;613;0.0123;
364;0.0808;614;0.0141;
365;0.0894;615;0.0163;
366;0.0988;616;0.0185;
367;0.1079;617;0.0201;
368;0.1164;618;0.0234;
369;0.1240;619;0.0265;
370;0.1299;620;0.0310;
371;0.1352;621;0.0360;
372;0.1395;622;0.0415;
373;0.1432;623;0.0485;
374;0.1476;624;0.0564;
375;0.1539;625;0.0652;
376;0.1621;626;0.0765;
377;0.1734;627;0.0877;
378;0.1891;628;0.1002;
379;0.2107;629;0.1176;
380;0.2393;630;0.1352;
381;0.2756;631;0.1580;
382;0.3254;632;0.1796;
383;0.3837;633;0.2086;
384;0.4516;634;0.2408;
385;0.5297;635;0.2795;
386;0.6147;636;0.3186;
387;0.7063;637;0.3710;
388;0.7944;638;0.4277;
389;0.8878;639;0.4858;
390;0.9606;640;0.5524;
391;0.9942;641;0.6226;
392;1.0002;642;0.6846;
393;0.9766;643;0.7488;
394;0.9236;644;0.8118;
395;0.8569;645;0.8720;
396;0.7770;646;0.9150;
397;0.7003;647;0.9559;
398;0.6222;648;0.9795;
399;0.5498;649;0.9925;
400;0.4820;650;1.0000;
401;0.4214;651;0.9863;
402;0.3676;652;0.9712;
403;0.3209;653;0.9463;
404;0.2809;654;0.9096;
405;0.2478;655;0.8746;
406;0.2187;656;0.8326;
407;0.1942;657;0.7845;
408;0.1738;658;0.7427;
409;0.1560;659;0.6948;
410;0.1410;660;0.6531;
411;0.1279;661;0.6030;
412;0.1166;662;0.5623;
413;0.1070;663;0.5160;
414;0.0982;664;0.4830;
415;0.0906;665;0.4459;
416;0.0839;666;0.4122;
417;0.0777;667;0.3785;
418;0.0723;668;0.3528;
419;0.0674;669;0.3221;
420;0.0628;670;0.2987;
421;0.0587;671;0.2767;
422;0.0554;672;0.2573;
423;0.0521;673;0.2386;
424;0.0493;674;0.2231;
425;0.0467;675;0.2058;
426;0.0446;676;0.1950;
427;0.0425;677;0.1814;
428;0.0407;678;0.1708;
429;0.0393;679;0.1598;
430;0.0377;680;0.1514;
431;0.0364;681;0.1441;
432;0.0355;682;0.1373;
433;0.0345;683;0.1299;
434;0.0335;684;0.1263;
435;0.0325;685;0.1201;
436;0.0316;686;0.1171;
437;0.0307;687;0.1132;
438;0.0301;688;0.1124;
439;0.0293;689;0.1088;
440;0.0286;690;0.1078;
441;0.0281;691;0.1050;
442;0.0274;692;0.1032;
443;0.0267;693;0.1015;
444;0.0263;694;0.1014;
445;0.0256;695;0.0990;
446;0.0250;696;0.0981;
