Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.9122;485;0.0040;
251;0.9134;486;0.0044;
252;0.9370;487;0.0052;
253;0.9589;488;0.0062;
254;0.9701;489;0.0073;
255;0.9829;490;0.0089;
256;0.9945;491;0.0110;
257;1.0000;492;0.0139;
258;0.9918;493;0.0172;
259;0.9737;494;0.0215;
260;0.9792;495;0.0265;
261;0.9660;496;0.0330;
262;0.9810;497;0.0412;
263;0.9435;498;0.0511;
264;0.9302;499;0.0631;
265;0.9151;500;0.0786;
266;0.8965;501;0.0976;
267;0.8746;502;0.1187;
268;0.8592;503;0.1442;
269;0.8393;504;0.1741;
270;0.8194;505;0.2087;
271;0.8014;506;0.2478;
272;0.7771;507;0.2900;
273;0.7520;508;0.3370;
274;0.7264;509;0.3883;
275;0.6973;510;0.4407;
276;0.6667;511;0.4972;
277;0.6387;512;0.5542;
278;0.6093;513;0.6141;
279;0.5807;514;0.6697;
280;0.5517;515;0.7249;
281;0.5233;516;0.7770;
282;0.4945;517;0.8255;
283;0.4629;518;0.8679;
284;0.4323;519;0.9050;
285;0.3995;520;0.9316;
286;0.3684;521;0.9576;
287;0.3368;522;0.9751;
288;0.3073;523;0.9901;
289;0.2791;524;0.9972;
290;0.2529;525;1.0000;
291;0.2261;526;0.9996;
292;0.2015;527;0.9949;
293;0.1784;528;0.9882;
294;0.1565;529;0.9797;
295;0.1371;530;0.9671;
296;0.1196;531;0.9542;
297;0.1051;532;0.9393;
298;0.0923;533;0.9202;
299;0.0819;534;0.9046;
300;0.0731;535;0.8893;
301;0.0658;536;0.8737;
302;0.0596;537;0.8574;
303;0.0547;538;0.8405;
304;0.0504;539;0.8251;
305;0.0469;540;0.8075;
306;0.0438;541;0.7936;
307;0.0414;542;0.7805;
308;0.0392;543;0.7678;
309;0.0374;544;0.7578;
310;0.0355;545;0.7463;
311;0.0340;546;0.7339;
312;0.0324;547;0.7259;
313;0.0312;548;0.7161;
314;0.0297;549;0.7085;
315;0.0286;550;0.7012;
316;0.0274;551;0.6937;
317;0.0262;552;0.6853;
318;0.0252;553;0.6779;
319;0.0244;554;0.6692;
320;0.0237;555;0.6617;
321;0.0228;556;0.6545;
322;0.0223;557;0.6452;
323;0.0217;558;0.6369;
324;0.0212;559;0.6272;
325;0.0203;560;0.6164;
326;0.0201;561;0.6054;
327;0.0194;562;0.5955;
328;0.0188;563;0.5842;
329;0.0192;564;0.5736;
330;0.0187;565;0.5620;
331;0.0184;566;0.5514;
332;0.0177;567;0.5392;
333;0.0175;568;0.5287;
334;0.0171;569;0.5177;
335;0.0165;570;0.5042;
336;0.0162;571;0.4927;
337;0.0159;572;0.4818;
338;0.0155;573;0.4691;
339;0.0153;574;0.4578;
340;0.0148;575;0.4477;
341;0.0145;576;0.4356;
342;0.0142;577;0.4256;
343;0.0139;578;0.4153;
344;0.0134;579;0.4055;
345;0.0132;580;0.3941;
346;0.0128;581;0.3841;
347;0.0126;582;0.3726;
348;0.0123;583;0.3645;
349;0.0122;584;0.3556;
350;0.0119;585;0.3451;
351;0.0117;586;0.3359;
352;0.0116;587;0.3264;
353;0.0114;588;0.3184;
354;0.0114;589;0.3099;
355;0.0113;590;0.3013;
356;0.0110;591;0.2931;
357;0.0111;592;0.2856;
358;0.0108;593;0.2794;
359;0.0108;594;0.2728;
360;0.0106;595;0.2653;
361;0.0105;596;0.2598;
362;0.0102;597;0.2529;
363;0.0102;598;0.2462;
364;0.0101;599;0.2405;
365;0.0099;600;0.2342;
366;0.0099;601;0.2292;
367;0.0098;602;0.2237;
368;0.0097;603;0.2178;
369;0.0096;604;0.2128;
370;0.0094;605;0.2072;
371;0.0094;606;0.2022;
372;0.0092;607;0.1971;
373;0.0091;608;0.1925;
374;0.0090;609;0.1874;
375;0.0090;610;0.1830;
376;0.0088;611;0.1784;
377;0.0088;612;0.1732;
378;0.0087;613;0.1690;
379;0.0086;614;0.1654;
380;0.0086;615;0.1610;
381;0.0085;616;0.1563;
382;0.0088;617;0.1523;
383;0.0084;618;0.1485;
384;0.0087;619;0.1451;
385;0.0085;620;0.1401;
386;0.0084;621;0.1361;
387;0.0084;622;0.1335;
388;0.0084;623;0.1285;
389;0.0083;624;0.1245;
390;0.0083;625;0.1209;
391;0.0082;626;0.1186;
392;0.0082;627;0.1156;
393;0.0081;628;0.1127;
394;0.0081;629;0.1093;
395;0.0080;630;0.1065;
396;0.0080;631;0.1034;
397;0.0080;632;0.1023;
398;0.0080;633;0.0990;
399;0.0079;634;0.0958;
400;0.0078;635;0.0930;
401;0.0078;636;0.0912;
402;0.0078;637;0.0881;
403;0.0077;638;0.0858;
404;0.0078;639;0.0835;
405;0.0078;640;0.0812;
406;0.0077;641;0.0793;
407;0.0077;642;0.0768;
408;0.0078;643;0.0753;
409;0.0078;644;0.0736;
410;0.0078;645;0.0716;
411;0.0078;646;0.0690;
412;0.0079;647;0.0674;
413;0.0079;648;0.0658;
414;0.0080;649;0.0643;
415;0.0081;650;0.0621;
416;0.0082;651;0.0607;
417;0.0083;652;0.0595;
418;0.0084;653;0.0577;
419;0.0085;654;0.0563;
420;0.0086;655;0.0550;
421;0.0087;656;0.0530;
422;0.0087;657;0.0521;
423;0.0090;658;0.0510;
424;0.0091;659;0.0494;
425;0.0094;660;0.0477;
426;0.0096;661;0.0464;
427;0.0099;662;0.0450;
428;0.0101;663;0.0443;
429;0.0105;664;0.0434;
430;0.0107;665;0.0420;
431;0.0111;666;0.0409;
432;0.0114;667;0.0402;
433;0.0118;668;0.0390;
434;0.0122;669;0.0378;
435;0.0127;670;0.0373;
436;0.0131;671;0.0359;
437;0.0138;672;0.0353;
438;0.0142;673;0.0340;
439;0.0149;674;0.0326;
440;0.0156;675;0.0314;
441;0.0164;676;0.0308;
442;0.0171;677;0.0298;
443;0.0180;678;0.0292;
444;0.0187;679;0.0289;
445;0.0196;680;0.0270;
446;0.0204;681;0.0263;
447;0.0214;682;0.0260;
448;0.0222;683;0.0257;
449;0.0232;684;0.0246;
450;0.0242;685;0.0241;
451;0.0253;686;0.0236;
452;0.0261;687;0.0230;
453;0.0274;688;0.0225;
454;0.0284;689;0.0220;
455;0.0297;690;0.0210;
456;0.0311;691;0.0209;
457;0.0326;692;0.0206;
458;0.0342;693;0.0205;
459;0.0360;694;0.0203;
460;0.0378;695;0.0198;
461;0.0400;696;0.0192;
462;0.0422;697;0.0188;
463;0.0447;698;0.0184;
464;0.0472;699;0.0180;
465;0.0500;700;0.0176;
466;0.0530;;;
467;0.0561;;;
468;0.0594;;;
469;0.0627;;;
470;0.0660;;;
471;0.0694;;;
472;0.0728;;;
473;0.0761;;;
474;0.0791;;;
475;0.0820;;;
476;0.0846;;;
477;0.0870;;;
478;0.0889;;;
479;0.0907;;;
480;0.0922;;;
481;0.0936;;;
482;0.0946;;;
483;0.0957;;;
484;0.0970;;;
485;0.0983;;;
486;0.1000;;;
487;0.1019;;;
488;0.1042;;;
489;0.1069;;;
490;0.1103;;;
491;0.1140;;;
