Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
240;1.0000;600;0.0021;
241;0.0092;601;0.0022;
242;0.0094;602;0.0021;
243;0.0086;603;0.0020;
244;0.0095;604;0.0021;
245;0.0143;605;0.0021;
246;0.0176;606;0.0020;
247;0.0162;607;0.0020;
248;0.0216;608;0.0021;
249;0.0104;609;0.0020;
250;0.0187;610;0.0020;
251;0.0174;611;0.0021;
252;0.0174;612;0.0021;
253;0.0156;613;0.0020;
254;0.0166;614;0.0021;
255;0.0123;615;0.0021;
256;0.0176;616;0.0021;
257;0.0170;617;0.0022;
258;0.0187;618;0.0022;
259;0.0176;619;0.0023;
260;0.0172;620;0.0023;
261;0.0149;621;0.0024;
262;0.0166;622;0.0024;
263;0.0169;623;0.0024;
264;0.0147;624;0.0026;
265;0.0144;625;0.0028;
266;0.0168;626;0.0029;
267;0.0156;627;0.0030;
268;0.0215;628;0.0033;
269;0.0142;629;0.0035;
270;0.0240;630;0.0040;
271;0.0139;631;0.0043;
272;0.0208;632;0.0049;
273;0.0187;633;0.0055;
274;0.0187;634;0.0064;
275;0.0172;635;0.0074;
276;0.0187;636;0.0089;
277;0.0171;637;0.0105;
278;0.0173;638;0.0124;
279;0.0194;639;0.0146;
280;0.0207;640;0.0176;
281;0.0185;641;0.0209;
282;0.0189;642;0.0253;
283;0.0141;643;0.0300;
284;0.0188;644;0.0358;
285;0.0152;645;0.0421;
286;0.0222;646;0.0503;
287;0.0198;647;0.0586;
288;0.0176;648;0.0693;
289;0.0167;649;0.0812;
290;0.0166;650;0.0966;
291;0.0166;651;0.1121;
292;0.0155;652;0.1308;
293;0.0167;653;0.1502;
294;0.0195;654;0.1724;
295;0.0152;655;0.1942;
296;0.0166;656;0.2193;
297;0.0171;657;0.2460;
298;0.0141;658;0.2751;
299;0.0181;659;0.3036;
300;0.0171;660;0.3371;
301;0.0192;661;0.3690;
302;0.0187;662;0.4049;
303;0.0199;663;0.4381;
304;0.0137;664;0.4749;
305;0.0176;665;0.5091;
306;0.0160;666;0.5480;
307;0.0160;667;0.5815;
308;0.0206;668;0.6169;
309;0.0164;669;0.6524;
310;0.0194;670;0.6864;
311;0.0168;671;0.7207;
312;0.0151;672;0.7559;
313;0.0182;673;0.7871;
314;0.0219;674;0.8189;
315;0.0203;675;0.8438;
316;0.0215;676;0.8722;
317;0.0200;677;0.8953;
318;0.0152;678;0.9156;
319;0.0199;679;0.9327;
320;0.0194;680;0.9491;
321;0.0223;681;0.9636;
322;0.0212;682;0.9756;
323;0.0187;683;0.9845;
324;0.0256;684;0.9908;
325;0.0208;685;0.9944;
326;0.0246;686;0.9984;
327;0.0284;687;1.0000;
328;0.0243;688;0.9960;
329;0.0320;689;0.9924;
330;0.0276;690;0.9850;
331;0.0247;691;0.9796;
332;0.0278;692;0.9731;
333;0.0244;693;0.9617;
334;0.0308;694;0.9489;
335;0.0267;695;0.9358;
336;0.0288;696;0.9209;
337;0.0292;697;0.9072;
338;0.0301;698;0.8869;
339;0.0345;699;0.8712;
340;0.0306;700;0.8520;
341;0.0319;701;0.8337;
342;0.0340;702;0.8154;
343;0.0342;703;0.7980;
344;0.0348;704;0.7792;
345;0.0316;705;0.7614;
346;0.0367;706;0.7420;
347;0.0355;707;0.7218;
348;0.0331;708;0.7016;
349;0.0343;709;0.6827;
350;0.0364;710;0.6628;
351;0.0369;711;0.6459;
352;0.0386;712;0.6275;
353;0.0385;713;0.6103;
354;0.0393;714;0.5924;
355;0.0386;715;0.5783;
356;0.0396;716;0.5621;
357;0.0376;717;0.5475;
358;0.0374;718;0.5329;
359;0.0380;719;0.5186;
360;0.0346;720;0.5033;
361;0.0401;721;0.4914;
362;0.0358;722;0.4769;
363;0.0361;723;0.4666;
364;0.0369;724;0.4552;
365;0.0357;725;0.4454;
366;0.0344;726;0.4333;
367;0.0365;727;0.4287;
368;0.0334;728;0.4192;
369;0.0315;729;0.4104;
370;0.0344;730;0.4035;
371;0.0326;731;0.3960;
372;0.0306;732;0.3894;
373;0.0305;733;0.3835;
374;0.0288;734;0.3779;
375;0.0281;735;0.3716;
376;0.0285;736;0.3675;
377;0.0281;737;0.3634;
378;0.0270;738;0.3566;
379;0.0272;739;0.3556;
380;0.0243;740;0.3506;
381;0.0261;741;0.3456;
382;0.0245;742;0.3424;
383;0.0232;743;0.3396;
384;0.0237;744;0.3358;
385;0.0229;745;0.3313;
386;0.0218;746;0.3263;
387;0.0218;747;0.3218;
388;0.0236;748;0.3182;
389;0.0212;749;0.3143;
390;0.0210;750;0.3110;
391;0.0206;751;0.3067;
392;0.0210;752;0.3020;
393;0.0218;753;0.2987;
