Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
451;1.0000;499;0.0058;
452;0.9881;500;0.0051;
453;0.9760;501;0.0054;
454;0.9662;502;0.0051;
455;0.9563;503;0.0044;
456;0.9465;504;0.0047;
457;0.9367;505;0.0039;
458;0.9282;506;0.0053;
459;0.9177;507;0.0041;
460;0.9093;508;0.0041;
461;0.8978;509;0.0036;
462;0.8900;510;0.0038;
463;0.8821;511;0.0038;
464;0.8741;512;0.0045;
465;0.8661;513;0.0032;
466;0.8604;514;0.0032;
467;0.8523;515;0.0039;
468;0.8444;516;0.0035;
469;0.8363;517;0.0039;
470;0.8284;518;0.0035;
471;0.8225;519;0.0034;
472;0.8167;520;0.0034;
473;0.8111;521;0.0037;
474;0.8043;522;0.0028;
475;0.7982;523;0.0027;
476;0.7921;524;0.0024;
477;0.7859;525;0.0027;
478;0.7823;526;0.0023;
479;0.7759;527;0.0022;
480;0.7721;528;0.0022;
481;0.7678;529;0.0016;
482;0.7622;530;0.0020;
483;0.7581;531;0.0017;
484;0.7523;532;0.0016;
485;0.7482;533;0.0017;
486;0.7443;534;0.0012;
487;0.7404;535;0.0019;
488;0.7342;536;0.0016;
489;0.7302;537;0.0010;
490;0.7248;538;0.0008;
491;0.7204;539;0.0012;
492;0.7164;540;0.0011;
493;0.7126;541;0.0011;
494;0.7061;542;0.0009;
495;0.7024;543;0.0012;
496;0.6984;544;0.0012;
497;0.6939;545;0.0012;
498;0.6885;546;0.0013;
499;0.6845;547;0.0012;
500;0.6783;548;0.0009;
501;0.6745;549;0.0009;
502;0.6684;550;0.0011;
503;0.6645;551;0.0010;
504;0.6605;552;0.0011;
505;0.6565;553;0.0008;
506;0.6509;554;0.0010;
507;0.6466;555;0.0010;
508;0.6425;556;0.0011;
509;0.6373;557;0.0014;
510;0.6326;558;0.0008;
511;0.6276;559;0.0007;
512;0.6228;560;0.0008;
513;0.6163;561;0.0010;
514;0.6120;562;0.0009;
515;0.6067;563;0.0009;
516;0.6026;564;0.0010;
517;0.5987;565;0.0007;
518;0.5947;566;0.0006;
519;0.5907;567;0.0008;
520;0.5867;568;0.0010;
521;0.5809;569;0.0009;
522;0.5768;570;0.0007;
523;0.5730;571;0.0008;
524;0.5667;572;0.0008;
525;0.5643;573;0.0006;
526;0.5608;574;0.0010;
527;0.5569;575;0.0008;
528;0.5529;576;0.0009;
529;0.5490;577;0.0009;
530;0.5450;578;0.0009;
531;0.5410;579;0.0007;
532;0.5366;580;0.0011;
533;0.5315;581;0.0010;
534;0.5290;582;0.0011;
535;0.5273;583;0.0010;
536;0.5232;584;0.0010;
537;0.5192;585;0.0014;
538;0.5153;586;0.0013;
539;0.5132;587;0.0012;
540;0.5093;588;0.0018;
541;0.5052;589;0.0014;
542;0.5036;590;0.0016;
543;0.4995;591;0.0014;
544;0.4955;592;0.0014;
545;0.4916;593;0.0018;
546;0.4874;594;0.0020;
547;0.4859;595;0.0024;
548;0.4824;596;0.0020;
549;0.4796;597;0.0023;
550;0.4780;598;0.0023;
551;0.4738;599;0.0027;
552;0.4721;600;0.0023;
553;0.4681;601;0.0035;
554;0.4660;602;0.0032;
555;0.4641;603;0.0034;
556;0.4601;604;0.0041;
557;0.4562;605;0.0042;
558;0.4539;606;0.0048;
559;0.4518;607;0.0052;
560;0.4483;608;0.0057;
561;0.4442;609;0.0068;
562;0.4427;610;0.0059;
563;0.4393;611;0.0080;
564;0.4386;612;0.0086;
565;0.4376;613;0.0089;
566;0.4346;614;0.0099;
567;0.4329;615;0.0103;
568;0.4310;616;0.0129;
569;0.4292;617;0.0126;
570;0.4252;618;0.0150;
571;0.4231;619;0.0162;
572;0.4211;620;0.0171;
573;0.4212;621;0.0180;
574;0.4190;622;0.0201;
575;0.4192;623;0.0243;
576;0.4171;624;0.0240;
577;0.4148;625;0.0262;
578;0.4152;626;0.0279;
579;0.4128;627;0.0309;
580;0.4131;628;0.0341;
581;0.4107;629;0.0352;
582;0.4109;630;0.0396;
583;0.4110;631;0.0422;
584;0.4086;632;0.0471;
585;0.4088;633;0.0477;
586;0.4088;634;0.0524;
587;0.4088;635;0.0554;
588;0.4088;636;0.0626;
589;0.4088;637;0.0696;
590;0.4088;638;0.0766;
591;0.4087;639;0.0828;
592;0.4110;640;0.0888;
593;0.4109;641;0.0986;
594;0.4109;642;0.1065;
595;0.4109;643;0.1172;
596;0.4109;644;0.1271;
597;0.4109;645;0.1360;
598;0.4109;646;0.1493;
599;0.4109;647;0.1597;
600;0.4109;648;0.1782;
601;0.4109;649;0.1877;
602;0.4109;650;0.2021;
603;0.4106;651;0.2284;
604;0.4089;652;0.2447;
605;0.4088;653;0.2678;
606;0.4088;654;0.2871;
607;0.4089;655;0.3136;
608;0.4069;656;0.3344;
609;0.4047;657;0.3725;
610;0.4030;658;0.4010;
611;0.4014;659;0.4398;
612;0.3987;660;0.4781;
613;0.3950;661;0.5165;
614;0.3936;662;0.5590;
615;0.3904;663;0.6006;
616;0.3872;664;0.6473;
617;0.3858;665;0.6832;
618;0.3816;666;0.7424;
619;0.3782;667;0.7839;
620;0.3760;668;0.8319;
621;0.3737;669;0.8635;
622;0.3700;670;0.9111;
623;0.3678;671;0.9439;
624;0.3659;672;0.9631;
625;0.3620;673;0.9856;
626;0.3598;674;0.9867;
627;0.3561;675;0.9981;
628;0.3537;676;1.0000;
629;0.3502;677;0.9820;
630;0.3476;678;0.9865;
631;0.3453;679;0.9665;
632;0.3454;680;0.9504;
633;0.3445;681;0.9154;
634;0.3434;682;0.8946;
635;0.3427;683;0.8490;
636;0.3414;684;0.8199;
637;0.3414;685;0.7758;
638;0.3414;686;0.7478;
639;0.3414;687;0.7119;
640;0.3414;688;0.6811;
641;0.3434;689;0.6370;
642;0.3454;690;0.6069;
643;0.3455;691;0.5732;
644;0.3455;692;0.5324;
645;0.3472;693;0.4996;
646;0.3475;694;0.4586;
647;0.3473;695;0.4316;
648;0.3497;696;0.4018;
649;0.3494;697;0.3649;
650;0.3518;698;0.3355;
651;0.3516;699;0.3087;
652;0.3516;700;0.2835;
653;0.3515;701;0.2495;
654;0.3538;702;0.2332;
655;0.3533;703;0.2065;
656;0.3516;704;0.1892;
657;0.3516;705;0.1716;
658;0.3516;706;0.1494;
659;0.3516;707;0.1333;
660;0.3495;708;0.1209;
661;0.3497;709;0.1083;
662;0.3476;710;0.0948;
663;0.3454;711;0.0844;
664;0.3457;712;0.0788;
665;0.3435;713;0.0671;
666;0.3414;714;0.0610;
667;0.3381;715;0.0520;
668;0.3375;716;0.0473;
669;0.3342;717;0.0427;
670;0.3327;718;0.0352;
671;0.3285;719;0.0334;
672;0.3246;720;0.0303;
673;0.3206;721;0.0258;
674;0.3166;722;0.0242;
675;0.3111;723;0.0205;
676;0.3066;724;0.0175;
677;0.3027;725;0.0158;
