Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
400;0.0155;540;0.0625;
401;0.0149;541;0.0352;
402;0.0149;542;0.0181;
403;0.0138;543;0.0087;
404;0.0155;544;0.0040;
405;0.0149;545;0.0027;
406;0.0149;546;0.0034;
407;0.0144;547;0.0034;
408;0.0132;548;0.0041;
409;0.0144;549;0.0048;
410;0.0138;550;0.0056;
411;0.0127;551;0.0062;
412;0.0121;552;0.0070;
413;0.0116;553;0.0084;
414;0.0105;554;0.0092;
415;0.0099;555;0.0106;
416;0.0082;556;0.0121;
417;0.0082;557;0.0144;
418;0.0077;558;0.0158;
419;0.0071;559;0.0188;
420;0.0071;560;0.0210;
421;0.0077;561;0.0234;
422;0.0060;562;0.0270;
423;0.0054;563;0.0302;
424;0.0065;564;0.0353;
425;0.0054;565;0.0400;
426;0.0060;566;0.0452;
427;0.0054;567;0.0523;
428;0.0054;568;0.0591;
429;0.0060;569;0.0686;
430;0.0049;570;0.0791;
431;0.0054;571;0.0904;
432;0.0060;572;0.1010;
433;0.0049;573;0.1147;
434;0.0049;574;0.1317;
435;0.0049;575;0.1439;
436;0.0054;576;0.1620;
437;0.0054;577;0.1805;
438;0.0054;578;0.1998;
439;0.0054;579;0.2231;
440;0.0060;580;0.2496;
441;0.0060;581;0.2804;
442;0.0060;582;0.3102;
443;0.0060;583;0.3408;
444;0.0065;584;0.3760;
445;0.0071;585;0.4104;
446;0.0071;586;0.4468;
447;0.0082;587;0.4799;
448;0.0082;588;0.5138;
449;0.0088;589;0.5567;
450;0.0093;590;0.5948;
451;0.0093;591;0.6362;
452;0.0088;592;0.6767;
453;0.0099;593;0.7134;
454;0.0110;594;0.7531;
455;0.0110;595;0.7988;
456;0.0110;596;0.8373;
457;0.0127;597;0.8685;
458;0.0132;598;0.8973;
459;0.0138;599;0.9230;
460;0.0149;600;0.9446;
461;0.0149;601;0.9606;
462;0.0160;602;0.9710;
463;0.0172;603;0.9806;
464;0.0177;604;0.9952;
465;0.0188;605;1.0000;
466;0.0200;606;0.9984;
467;0.0211;607;0.9871;
468;0.0222;608;0.9766;
469;0.0228;609;0.9645;
470;0.0244;610;0.9468;
471;0.0261;611;0.9350;
472;0.0272;612;0.9090;
473;0.0289;613;0.8911;
474;0.0300;614;0.8667;
475;0.0317;615;0.8460;
476;0.0345;616;0.8198;
477;0.0351;617;0.7952;
478;0.0373;618;0.7638;
479;0.0396;619;0.7309;
480;0.0418;620;0.7054;
481;0.0435;621;0.6772;
482;0.0468;622;0.6510;
483;0.0491;623;0.6251;
484;0.0519;624;0.6026;
485;0.0547;625;0.5790;
486;0.0564;626;0.5584;
487;0.0597;627;0.5418;
488;0.0631;628;0.5162;
489;0.0659;629;0.4965;
490;0.0687;630;0.4774;
491;0.0720;631;0.4606;
492;0.0759;632;0.4418;
493;0.0799;633;0.4260;
494;0.0838;634;0.4085;
495;0.0877;635;0.3952;
496;0.0916;636;0.3835;
497;0.0961;637;0.3708;
498;0.1011;638;0.3623;
499;0.1062;639;0.3500;
500;0.1112;640;0.3413;
501;0.1162;641;0.3305;
502;0.1218;642;0.3224;
503;0.1286;643;0.3123;
504;0.1347;644;0.3038;
505;0.1414;645;0.2962;
506;0.1476;646;0.2865;
507;0.1543;647;0.2793;
508;0.1616;648;0.2732;
509;0.1694;649;0.2680;
510;0.1772;650;0.2606;
511;0.1862;651;0.2568;
512;0.1946;652;0.2492;
513;0.2041;653;0.2419;
514;0.2142;654;0.2372;
515;0.2243;655;0.2316;
516;0.2349;656;0.2235;
517;0.2461;657;0.2197;
518;0.2573;658;0.2125;
519;0.2679;659;0.2062;
520;0.2791;660;0.2009;
521;0.2909;661;0.1954;
522;0.3026;662;0.1899;
523;0.3144;663;0.1863;
524;0.3261;664;0.1793;
525;0.3384;665;0.1755;
526;0.3508;666;0.1692;
527;0.3636;667;0.1652;
528;0.3765;668;0.1586;
529;0.3888;669;0.1543;
530;0.4034;670;0.1474;
531;0.4174;671;0.1429;
532;0.4308;672;0.1388;
533;0.4459;673;0.1340;
534;0.4599;674;0.1290;
535;0.4750;675;0.1251;
536;0.4901;676;0.1218;
537;0.5058;677;0.1177;
538;0.5220;678;0.1136;
539;0.5388;679;0.1094;
540;0.5556;680;0.1064;
541;0.5713;681;0.1010;
542;0.5875;682;0.0992;
543;0.6043;683;0.0932;
544;0.6216;684;0.0889;
545;0.6384;685;0.0868;
546;0.6563;686;0.0837;
547;0.6742;687;0.0801;
548;0.6922;688;0.0779;
