Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.0474;610;0.0042;
251;0.0468;611;0.0041;
252;0.0463;612;0.0041;
253;0.0456;613;0.0042;
254;0.0450;614;0.0044;
255;0.0444;615;0.0050;
256;0.0436;616;0.0058;
257;0.0431;617;0.0073;
258;0.0425;618;0.0086;
259;0.0418;619;0.0093;
260;0.0413;620;0.0101;
261;0.0406;621;0.0118;
262;0.0401;622;0.0141;
263;0.0394;623;0.0156;
264;0.0389;624;0.0178;
265;0.0384;625;0.0207;
266;0.0378;626;0.0227;
267;0.0372;627;0.0267;
268;0.0367;628;0.0318;
269;0.0363;629;0.0359;
270;0.0363;630;0.0417;
271;0.0363;631;0.0485;
272;0.0366;632;0.0566;
273;0.0372;633;0.0670;
274;0.0378;634;0.0774;
275;0.0384;635;0.0872;
276;0.0391;636;0.0986;
277;0.0396;637;0.1147;
278;0.0397;638;0.1310;
279;0.0398;639;0.1475;
280;0.0398;640;0.1693;
281;0.0399;641;0.1939;
282;0.0401;642;0.2218;
283;0.0404;643;0.2482;
284;0.0406;644;0.2737;
285;0.0407;645;0.3070;
286;0.0404;646;0.3443;
287;0.0395;647;0.3813;
288;0.0377;648;0.4603;
289;0.0357;649;0.5326;
290;0.0336;650;0.5679;
291;0.0317;651;0.6350;
292;0.0300;652;0.6975;
293;0.0288;653;0.7360;
294;0.0278;654;0.8183;
295;0.0272;655;0.8956;
296;0.0267;656;0.9011;
297;0.0265;657;0.9293;
298;0.0263;658;0.9573;
299;0.0265;659;0.9987;
300;0.0265;660;1.0000;
301;0.0267;661;0.9992;
302;0.0269;662;0.9905;
303;0.0270;663;0.9833;
304;0.0275;664;0.9770;
305;0.0276;665;0.9730;
306;0.0280;666;0.9704;
307;0.0285;667;0.9640;
308;0.0288;668;0.9605;
309;0.0294;669;0.9523;
310;0.0298;670;0.9506;
311;0.0305;671;0.9416;
312;0.0309;672;0.9334;
313;0.0313;673;0.9149;
314;0.0318;674;0.8971;
315;0.0322;675;0.8780;
316;0.0323;676;0.8540;
317;0.0325;677;0.8258;
318;0.0325;678;0.7964;
319;0.0322;679;0.7674;
320;0.0322;680;0.7407;
321;0.0321;681;0.7159;
322;0.0320;682;0.6880;
323;0.0319;683;0.6573;
324;0.0320;684;0.6275;
325;0.0322;685;0.5970;
326;0.0325;686;0.5695;
327;0.0329;687;0.5445;
328;0.0329;688;0.5202;
329;0.0327;689;0.4993;
