Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.4141;400;0.0020;
251;0.4210;401;0.0024;
252;0.4298;402;0.0026;
253;0.4429;403;0.0026;
254;0.4534;404;0.0027;
255;0.4644;405;0.0026;
256;0.4803;406;0.0027;
257;0.4925;407;0.0031;
258;0.5051;408;0.0031;
259;0.5225;409;0.0031;
260;0.5351;410;0.0033;
261;0.5482;411;0.0033;
262;0.5661;412;0.0032;
263;0.5797;413;0.0034;
264;0.5926;414;0.0031;
265;0.6107;415;0.0035;
266;0.6238;416;0.0038;
267;0.6364;417;0.0038;
268;0.6531;418;0.0036;
269;0.6650;419;0.0036;
270;0.6764;420;0.0036;
271;0.6912;421;0.0037;
272;0.7022;422;0.0037;
273;0.7124;423;0.0037;
274;0.7250;424;0.0036;
275;0.7338;425;0.0036;
276;0.7415;426;0.0039;
277;0.7503;427;0.0039;
278;0.7555;428;0.0041;
279;0.7589;429;0.0040;
280;0.7608;430;0.0040;
281;0.7603;431;0.0039;
282;0.7574;432;0.0041;
283;0.7503;433;0.0040;
284;0.7427;434;0.0041;
285;0.7329;435;0.0044;
286;0.7162;436;0.0046;
287;0.7026;437;0.0049;
288;0.6881;438;0.0054;
289;0.6664;439;0.0058;
290;0.6502;440;0.0062;
291;0.6343;441;0.0064;
292;0.6104;442;0.0069;
293;0.5928;443;0.0067;
294;0.5744;444;0.0067;
295;0.5499;445;0.0066;
296;0.5318;446;0.0065;
297;0.5137;447;0.0062;
298;0.4901;448;0.0064;
299;0.4739;449;0.0063;
300;0.4587;450;0.0066;
301;0.4396;451;0.0069;
302;0.4282;452;0.0075;
303;0.4177;453;0.0082;
304;0.4058;454;0.0082;
305;0.3988;455;0.0090;
306;0.3931;456;0.0093;
307;0.3867;457;0.0105;
308;0.3831;458;0.0107;
309;0.3810;459;0.0116;
310;0.3791;460;0.0127;
311;0.3793;461;0.0133;
312;0.3803;462;0.0144;
313;0.3819;463;0.0160;
314;0.3846;464;0.0172;
315;0.3876;465;0.0187;
316;0.3924;466;0.0204;
317;0.3962;467;0.0213;
318;0.4008;468;0.0228;
319;0.4081;469;0.0253;
320;0.4141;470;0.0279;
321;0.4203;471;0.0302;
322;0.4294;472;0.0324;
323;0.4372;473;0.0358;
324;0.4451;474;0.0389;
325;0.4556;475;0.0412;
326;0.4637;476;0.0444;
327;0.4727;477;0.0476;
328;0.4842;478;0.0517;
329;0.4934;479;0.0548;
330;0.5039;480;0.0592;
331;0.5163;481;0.0628;
332;0.5251;482;0.0676;
333;0.5351;483;0.0717;
334;0.5485;484;0.0748;
335;0.5590;485;0.0833;
336;0.5702;486;0.0904;
337;0.5849;487;0.0960;
338;0.5964;488;0.1030;
339;0.6092;489;0.1099;
340;0.6252;490;0.1162;
341;0.6376;491;0.1236;
342;0.6509;492;0.1328;
343;0.6693;493;0.1403;
344;0.6831;494;0.1478;
345;0.6979;495;0.1542;
346;0.7165;496;0.1649;
347;0.7308;497;0.1743;
348;0.7450;498;0.1877;
349;0.7641;499;0.1949;
350;0.7784;500;0.2043;
351;0.7927;501;0.2159;
352;0.8106;502;0.2259;
353;0.8249;503;0.2366;
354;0.8389;504;0.2474;
355;0.8558;505;0.2558;
356;0.8685;506;0.2683;
357;0.8811;507;0.2807;
358;0.8966;508;0.2912;
359;0.9085;509;0.3024;
360;0.9197;510;0.3150;
361;0.9328;511;0.3256;
362;0.9419;512;0.3384;
363;0.9507;513;0.3491;
364;0.9607;514;0.3623;
365;0.9678;515;0.3719;
