Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.0619;475;0.0300;
251;0.0615;476;0.0330;
252;0.0611;477;0.0360;
253;0.0599;478;0.0390;
254;0.0591;479;0.0423;
255;0.0585;480;0.0433;
256;0.0571;481;0.0485;
257;0.0564;482;0.0560;
258;0.0548;483;0.0661;
259;0.0542;484;0.0786;
260;0.0532;485;0.0940;
261;0.0518;486;0.1129;
262;0.0509;487;0.1340;
263;0.0503;488;0.1598;
264;0.0495;489;0.1906;
265;0.0491;490;0.2278;
266;0.0486;491;0.2703;
267;0.0479;492;0.3190;
268;0.0476;493;0.3741;
269;0.0468;494;0.4353;
270;0.0458;495;0.4996;
271;0.0448;496;0.5663;
272;0.0437;497;0.6331;
273;0.0425;498;0.6979;
274;0.0413;499;0.7570;
275;0.0401;500;0.8101;
276;0.0393;501;0.8613;
277;0.0386;502;0.9085;
278;0.0377;503;0.9475;
279;0.0373;504;0.9744;
280;0.0371;505;0.9928;
281;0.0373;506;1.0000;
282;0.0370;507;0.9969;
283;0.0373;508;0.9855;
284;0.0373;509;0.9668;
285;0.0380;510;0.9413;
286;0.0384;511;0.9070;
287;0.0391;512;0.8744;
288;0.0395;513;0.8422;
289;0.0396;514;0.8097;
290;0.0408;515;0.7759;
291;0.0411;516;0.7424;
292;0.0418;517;0.7113;
293;0.0420;518;0.6800;
294;0.0419;519;0.6499;
295;0.0420;520;0.6223;
296;0.0415;521;0.5985;
297;0.0413;522;0.5775;
298;0.0408;523;0.5616;
299;0.0408;524;0.5478;
300;0.0397;525;0.5383;
301;0.0386;526;0.5286;
302;0.0373;527;0.5192;
303;0.0348;528;0.5117;
304;0.0330;529;0.5050;
305;0.0298;530;0.4999;
306;0.0271;531;0.4924;
307;0.0238;532;0.4851;
308;0.0212;533;0.4777;
309;0.0179;534;0.4715;
310;0.0154;535;0.4658;
311;0.0131;536;0.4595;
312;0.0118;537;0.4541;
313;0.0096;538;0.4477;
314;0.0079;539;0.4415;
315;0.0068;540;0.4332;
316;0.0061;541;0.4249;
317;0.0049;542;0.4155;
318;0.0040;543;0.4070;
319;0.0034;544;0.3956;
320;0.0029;545;0.3854;
321;0.0027;546;0.3730;
322;0.0023;547;0.3626;
323;0.0014;548;0.3510;
324;0.0019;549;0.3416;
325;0.0014;550;0.3310;
326;0.0009;551;0.3210;
327;0.0013;552;0.3088;
328;0.0014;553;0.2978;
329;0.0018;554;0.2873;
330;0.0017;555;0.2777;
331;0.0012;556;0.2686;
332;0.0018;557;0.2594;
333;0.0020;558;0.2519;
334;0.0023;559;0.2446;
335;0.0012;560;0.2370;
336;0.0023;561;0.2285;
337;0.0022;562;0.2214;
338;0.0019;563;0.2142;
339;0.0019;564;0.2088;
340;0.0018;565;0.2024;
341;0.0022;566;0.1975;
342;0.0025;567;0.1914;
343;0.0024;568;0.1855;
344;0.0018;569;0.1793;
345;0.0024;570;0.1740;
346;0.0023;571;0.1683;
347;0.0021;572;0.1635;
348;0.0025;573;0.1584;
349;0.0026;574;0.1544;
350;0.0029;575;0.1506;
351;0.0020;576;0.1470;
352;0.0030;577;0.1437;
353;0.0030;578;0.1402;
354;0.0026;579;0.1364;
355;0.0033;580;0.1329;
356;0.0026;581;0.1298;
357;0.0034;582;0.1264;
358;0.0031;583;0.1230;
359;0.0032;584;0.1199;
360;0.0036;585;0.1177;
361;0.0036;586;0.1148;
362;0.0035;587;0.1118;
363;0.0036;588;0.1087;
364;0.0038;589;0.1064;
365;0.0041;590;0.1040;
366;0.0043;591;0.1014;
367;0.0036;592;0.0981;
368;0.0042;593;0.0954;
369;0.0040;594;0.0930;
370;0.0037;595;0.0908;
371;0.0042;596;0.0874;
372;0.0041;597;0.0847;
373;0.0041;598;0.0818;
374;0.0042;599;0.0796;
375;0.0044;600;0.0769;
376;0.0046;601;0.0748;
377;0.0057;602;0.0726;
378;0.0049;603;0.0703;
379;0.0047;604;0.0680;
380;0.0059;605;0.0658;
381;0.0061;606;0.0636;
382;0.0059;607;0.0610;
383;0.0060;608;0.0587;
384;0.0065;609;0.0564;
385;0.0066;610;0.0547;
386;0.0073;611;0.0529;
387;0.0074;612;0.0513;
388;0.0075;613;0.0492;
389;0.0081;614;0.0472;
390;0.0085;615;0.0455;
391;0.0087;616;0.0442;
392;0.0092;617;0.0427;
393;0.0097;618;0.0415;
394;0.0104;619;0.0398;
395;0.0108;620;0.0386;
396;0.0115;621;0.0371;
397;0.0122;622;0.0360;
398;0.0130;623;0.0348;
399;0.0136;624;0.0334;
400;0.0147;625;0.0324;
401;0.0158;626;0.0310;
402;0.0166;627;0.0303;
403;0.0180;628;0.0296;
404;0.0188;629;0.0293;
405;0.0206;630;0.0284;
406;0.0219;631;0.0276;
407;0.0232;632;0.0265;
408;0.0253;633;0.0257;
409;0.0268;634;0.0251;
410;0.0288;635;0.0241;
411;0.0309;636;0.0236;
412;0.0332;637;0.0226;
413;0.0353;638;0.0226;
414;0.0383;639;0.0220;
415;0.0406;640;0.0215;
416;0.0435;641;0.0206;
417;0.0467;642;0.0202;
418;0.0499;643;0.0193;
419;0.0527;644;0.0188;
420;0.0567;645;0.0181;
421;0.0602;646;0.0180;
422;0.0657;647;0.0178;
423;0.0699;648;0.0178;
424;0.0750;649;0.0177;
425;0.0800;;;
426;0.0855;;;
427;0.0913;;;
428;0.0976;;;
429;0.1039;;;
430;0.1111;;;
431;0.1177;;;
432;0.1256;;;
433;0.1327;;;
434;0.1412;;;
435;0.1492;;;
436;0.1572;;;
437;0.1655;;;
438;0.1746;;;
439;0.1836;;;
440;0.1929;;;
441;0.2022;;;
442;0.2124;;;
443;0.2226;;;
444;0.2346;;;
445;0.2462;;;
446;0.2589;;;
447;0.2726;;;
448;0.2878;;;
449;0.3036;;;
450;0.3202;;;
451;0.3383;;;
452;0.3574;;;
453;0.3776;;;
454;0.3974;;;
455;0.4186;;;
456;0.4391;;;
457;0.4599;;;
458;0.4792;;;
459;0.4981;;;
460;0.5160;;;
461;0.5318;;;
462;0.5461;;;
463;0.5584;;;
464;0.5689;;;
465;0.5773;;;
466;0.5844;;;
467;0.5894;;;
468;0.5945;;;
469;0.5987;;;
470;0.6038;;;
471;0.6091;;;
472;0.6160;;;
473;0.6242;;;
474;0.6343;;;
475;0.6482;;;
476;0.6652;;;
477;0.6855;;;
478;0.7089;;;
479;0.7355;;;
480;0.7648;;;
481;0.7969;;;
482;0.8303;;;
483;0.8645;;;
484;0.8968;;;
485;0.9276;;;
486;0.9546;;;
487;0.9766;;;
488;0.9924;;;
489;1.0000;;;
490;0.9989;;;
491;0.9886;;;
492;0.9677;;;
493;0.9374;;;
494;0.8977;;;
495;0.8501;;;
496;0.7947;;;
497;0.7328;;;
498;0.6694;;;
499;0.6026;;;
500;0.5372;;;
501;0.4723;;;
502;0.4126;;;
503;0.3559;;;
504;0.3046;;;
505;0.2589;;;
506;0.2185;;;
507;0.1832;;;
508;0.1527;;;
509;0.1278;;;
510;0.1062;;;
511;0.0886;;;
512;0.0735;;;
513;0.0616;;;
514;0.0518;;;
515;0.0440;;;
516;0.0376;;;
517;0.0323;;;
518;0.0280;;;
519;0.0249;;;
520;0.0224;;;
521;0.0207;;;
522;0.0187;;;
523;0.0175;;;
524;0.0164;;;
525;0.0152;;;
526;0.0150;;;
527;0.0137;;;
528;0.0132;;;
529;0.0128;;;
530;0.0123;;;
531;0.0118;;;
532;0.0124;;;
533;0.0119;;;
534;0.0117;;;
535;0.0115;;;
536;0.0117;;;
537;0.0112;;;
538;0.0111;;;
539;0.0109;;;
540;0.0108;;;
541;0.0111;;;
542;0.0110;;;
543;0.0107;;;
544;0.0109;;;
545;0.0108;;;
546;0.0110;;;
547;0.0108;;;
548;0.0112;;;
549;0.0109;;;
