Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.3030;400;0.0075;
251;0.3168;401;0.0078;
252;0.3282;402;0.0086;
253;0.3327;403;0.0095;
254;0.3461;404;0.0113;
255;0.3515;405;0.0127;
256;0.3515;406;0.0152;
257;0.3540;407;0.0166;
258;0.3626;408;0.0188;
259;0.3697;409;0.0228;
260;0.3770;410;0.0259;
261;0.3878;411;0.0295;
262;0.3967;412;0.0334;
263;0.4076;413;0.0386;
264;0.4156;414;0.0447;
265;0.4305;415;0.0495;
266;0.4391;416;0.0560;
267;0.4519;417;0.0628;
268;0.4668;418;0.0704;
269;0.4879;419;0.0789;
270;0.5045;420;0.0873;
271;0.5188;421;0.0982;
272;0.5350;422;0.1086;
273;0.5475;423;0.1182;
274;0.5637;424;0.1284;
275;0.5768;425;0.1406;
276;0.5848;426;0.1506;
277;0.5921;427;0.1635;
278;0.6036;428;0.1744;
279;0.6096;429;0.1872;
280;0.6138;430;0.1976;
281;0.6131;431;0.2140;
282;0.6090;432;0.2248;
283;0.6042;433;0.2387;
284;0.5924;434;0.2532;
285;0.5825;435;0.2674;
286;0.5685;436;0.2774;
287;0.5538;437;0.2918;
288;0.5357;438;0.3046;
289;0.5194;439;0.3151;
290;0.5045;440;0.3294;
291;0.4872;441;0.3418;
292;0.4732;442;0.3545;
293;0.4573;443;0.3653;
294;0.4433;444;0.3847;
295;0.4270;445;0.3906;
296;0.4149;446;0.4063;
297;0.4002;447;0.4221;
298;0.3869;448;0.4310;
299;0.3748;449;0.4465;
300;0.3617;450;0.4610;
301;0.3486;451;0.4675;
302;0.3372;452;0.4799;
303;0.3273;453;0.4928;
304;0.3206;454;0.5049;
305;0.3163;455;0.5173;
306;0.3074;456;0.5258;
307;0.3035;457;0.5374;
308;0.3002;458;0.5490;
309;0.2989;459;0.5571;
310;0.3005;460;0.5701;
311;0.3007;461;0.5763;
312;0.3006;462;0.5931;
313;0.3031;463;0.5960;
314;0.3075;464;0.6064;
315;0.3122;465;0.6163;
316;0.3165;466;0.6269;
317;0.3225;467;0.6334;
318;0.3298;468;0.6419;
319;0.3368;469;0.6489;
320;0.3426;470;0.6586;
321;0.3499;471;0.6662;
322;0.3610;472;0.6675;
323;0.3725;473;0.6802;
324;0.3814;474;0.6830;
325;0.3964;475;0.6939;
326;0.4101;476;0.7026;
327;0.4213;477;0.7082;
328;0.4363;478;0.7142;
329;0.4512;479;0.7177;
330;0.4678;480;0.7239;
331;0.4793;481;0.7269;
332;0.4943;482;0.7392;
333;0.5076;483;0.7400;
334;0.5210;484;0.7488;
335;0.5328;485;0.7560;
336;0.5491;486;0.7594;
337;0.5605;487;0.7628;
338;0.5739;488;0.7698;
339;0.5848;489;0.7709;
340;0.6001;490;0.7751;
341;0.6134;491;0.7790;
342;0.6262;492;0.7886;
343;0.6389;493;0.7946;
344;0.6539;494;0.7958;
345;0.6644;495;0.8054;
346;0.6781;496;0.8129;
347;0.6906;497;0.8186;
348;0.6995;498;0.8263;
349;0.7116;499;0.8327;
350;0.7234;500;0.8414;
351;0.7345;501;0.8512;
352;0.7466;502;0.8438;
353;0.7581;503;0.8531;
354;0.7699;504;0.8553;
355;0.7846;505;0.8615;
356;0.7986;506;0.8593;
357;0.8145;507;0.8633;
358;0.8330;508;0.8642;
359;0.8493;509;0.8693;
360;0.8668;510;0.8702;
361;0.8830;511;0.8746;
362;0.8999;512;0.8727;
363;0.9159;513;0.8746;
364;0.9315;514;0.8844;
365;0.9480;515;0.8879;
366;0.9611;516;0.9000;
367;0.9742;517;0.8972;
368;0.9822;518;0.8997;
369;0.9911;519;0.9061;
370;0.9943;520;0.9081;
371;0.9978;521;0.9177;
372;1.0000;522;0.9210;
373;0.9997;523;0.9174;
374;0.9962;524;0.9280;
375;0.9856;525;0.9297;
376;0.9793;526;0.9347;
377;0.9675;527;0.9377;
378;0.9582;528;0.9431;
379;0.9430;529;0.9428;
380;0.9232;530;0.9533;
381;0.9079;531;0.9530;
382;0.8878;532;0.9503;
383;0.8690;533;0.9561;
384;0.8499;534;0.9706;
385;0.8308;535;0.9625;
386;0.8136;536;0.9704;
387;0.7906;537;0.9734;
388;0.7721;538;0.9663;
389;0.7521;539;0.9729;
390;0.7320;540;0.9786;
391;0.7100;541;0.9734;
392;0.6925;542;0.9823;
393;0.6740;543;0.9851;
394;0.6539;544;0.9786;
395;0.6342;545;0.9824;
396;0.6131;546;0.9850;
397;0.5927;547;0.9840;
398;0.5742;548;0.9954;
399;0.5538;549;0.9874;
400;0.5331;550;0.9936;
401;0.5115;551;0.9961;
402;0.4917;552;0.9896;
403;0.4684;553;0.9866;
404;0.4474;554;0.9861;
405;0.4257;555;0.9930;
406;0.4044;556;0.9884;
407;0.3843;557;1.0000;
408;0.3614;558;0.9803;
409;0.3410;559;0.9881;
410;0.3190;560;0.9883;
411;0.2992;561;0.9879;
412;0.2798;562;0.9883;
413;0.2583;563;0.9822;
414;0.2380;564;0.9870;
415;0.2198;565;0.9792;
416;0.2015;566;0.9884;
417;0.1852;567;0.9774;
418;0.1693;568;0.9671;
419;0.1537;569;0.9766;
420;0.1392;570;0.9725;
