Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
500;0.0739;753;0.0732;
501;0.0738;754;0.0735;
502;0.0737;755;0.0748;
503;0.0713;756;0.0763;
504;0.0721;757;0.0781;
505;0.0726;758;0.0805;
506;0.0717;759;0.0829;
507;0.0729;760;0.0854;
508;0.0714;761;0.0888;
509;0.0727;762;0.0921;
510;0.0715;763;0.0970;
511;0.0704;764;0.1014;
512;0.0718;765;0.1062;
513;0.0708;766;0.1116;
514;0.0710;767;0.1173;
515;0.0701;768;0.1232;
516;0.0699;769;0.1306;
517;0.0697;770;0.1373;
518;0.0685;771;0.1442;
519;0.0704;772;0.1534;
520;0.0694;773;0.1651;
521;0.0705;774;0.1796;
522;0.0707;775;0.1945;
523;0.0694;776;0.2106;
524;0.0705;777;0.2255;
525;0.0705;778;0.2423;
526;0.0701;779;0.2641;
527;0.0700;780;0.2850;
528;0.0707;781;0.3078;
529;0.0702;782;0.3337;
530;0.0704;783;0.3578;
531;0.0695;784;0.3821;
532;0.0702;785;0.4089;
533;0.0695;786;0.4345;
534;0.0709;787;0.4665;
535;0.0697;788;0.5019;
536;0.0706;789;0.5410;
537;0.0703;790;0.5769;
538;0.0701;791;0.6100;
539;0.0712;792;0.6435;
540;0.0702;793;0.6783;
541;0.0704;794;0.7116;
542;0.0712;795;0.7492;
543;0.0713;796;0.7840;
544;0.0704;797;0.8116;
545;0.0712;798;0.8401;
546;0.0718;799;0.8655;
547;0.0713;800;0.8844;
548;0.0720;801;0.9096;
549;0.0711;802;0.9369;
550;0.0721;803;0.9553;
551;0.0717;804;0.9759;
552;0.0725;805;0.9918;
553;0.0727;806;0.9906;
554;0.0722;807;0.9979;
555;0.0729;808;1.0000;
556;0.0728;809;0.9988;
557;0.0730;810;0.9976;
558;0.0724;811;0.9921;
559;0.0740;812;0.9780;
560;0.0739;813;0.9704;
561;0.0732;814;0.9518;
562;0.0744;815;0.9336;
563;0.0738;816;0.9128;
564;0.0748;817;0.8902;
565;0.0739;818;0.8682;
566;0.0747;819;0.8488;
567;0.0756;820;0.8264;
568;0.0759;821;0.8012;
569;0.0759;822;0.7779;
570;0.0775;823;0.7507;
571;0.0779;824;0.7209;
572;0.0779;825;0.6924;
573;0.0780;826;0.6631;
574;0.0796;827;0.6276;
575;0.0793;828;0.5967;
576;0.0783;829;0.5719;
577;0.0798;830;0.5462;
578;0.0804;831;0.5244;
579;0.0801;832;0.5040;
580;0.0806;833;0.4760;
581;0.0808;834;0.4472;
582;0.0823;835;0.4250;
583;0.0810;836;0.4005;
584;0.0800;837;0.3802;
585;0.0816;838;0.3628;
586;0.0816;839;0.3409;
587;0.0810;840;0.3205;
588;0.0824;841;0.3034;
