Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
600;0.0264;602;0.0000;
601;0.0258;606;0.0000;
602;0.0263;607;0.0000;
603;0.0267;614;0.0000;
604;0.0276;615;0.0000;
605;0.0283;617;0.0000;
606;0.0296;618;0.0000;
607;0.0305;619;0.0000;
608;0.0312;623;0.0000;
609;0.0326;630;0.0000;
610;0.0335;631;0.0000;
611;0.0342;633;0.0000;
612;0.0355;638;0.0000;
613;0.0366;639;0.0000;
614;0.0372;641;0.0000;
615;0.0385;644;0.0000;
616;0.0400;645;0.0000;
617;0.0412;648;0.0000;
618;0.0416;652;0.0000;
619;0.0427;653;0.0000;
620;0.0445;654;0.0000;
621;0.0457;656;0.0000;
622;0.0472;657;0.0000;
623;0.0478;659;0.0000;
624;0.0489;660;0.0000;
625;0.0505;661;0.0000;
626;0.0518;663;0.0000;
627;0.0529;665;0.0000;
628;0.0538;666;0.0000;
629;0.0550;667;0.0000;
630;0.0558;668;0.0000;
631;0.0575;669;0.0000;
632;0.0586;671;0.0001;
633;0.0592;672;0.0000;
634;0.0614;673;0.0000;
635;0.0623;674;0.0001;
636;0.0627;675;0.0000;
637;0.0651;676;0.0000;
638;0.0667;677;0.0000;
639;0.0684;678;0.0000;
640;0.0687;679;0.0000;
641;0.0714;680;0.0000;
642;0.0719;681;0.0000;
643;0.0736;682;0.0000;
644;0.0753;683;0.0000;
645;0.0761;684;0.0000;
646;0.0790;685;0.0000;
647;0.0818;686;0.0000;
648;0.0839;687;0.0001;
649;0.0847;688;0.0000;
650;0.0880;689;0.0000;
651;0.0888;690;0.0000;
652;0.0910;691;0.0001;
653;0.0935;692;0.0001;
654;0.0943;693;0.0001;
655;0.0961;694;0.0001;
656;0.0989;695;0.0001;
657;0.1010;696;0.0002;
658;0.1040;697;0.0001;
659;0.1053;698;0.0002;
660;0.1092;699;0.0003;
661;0.1115;700;0.0004;
662;0.1154;701;0.0005;
663;0.1173;702;0.0005;
664;0.1211;703;0.0005;
665;0.1247;704;0.0006;
666;0.1279;705;0.0008;
667;0.1316;706;0.0010;
668;0.1362;707;0.0012;
669;0.1394;708;0.0016;
670;0.1406;709;0.0017;
671;0.1442;710;0.0024;
672;0.1505;711;0.0028;
673;0.1520;712;0.0028;
674;0.1578;713;0.0039;
675;0.1606;714;0.0042;
676;0.1642;715;0.0050;
677;0.1701;716;0.0055;
678;0.1724;717;0.0063;
679;0.1797;718;0.0070;
680;0.1803;719;0.0089;
681;0.1861;720;0.0099;
682;0.1940;721;0.0110;
683;0.2013;722;0.0119;
684;0.2004;723;0.0144;
685;0.2083;724;0.0162;
686;0.2116;725;0.0175;
687;0.2168;726;0.0189;
688;0.2212;727;0.0207;
689;0.2240;728;0.0236;
690;0.2257;729;0.0263;
691;0.2211;730;0.0288;
692;0.2279;731;0.0326;
693;0.2290;732;0.0362;
694;0.2267;733;0.0410;
695;0.2353;734;0.0438;
696;0.2362;735;0.0477;
697;0.2369;736;0.0523;
698;0.2372;737;0.0587;
699;0.2348;738;0.0636;
700;0.2400;739;0.0680;
701;0.2360;740;0.0761;
702;0.2438;741;0.0867;
703;0.2510;742;0.0934;
704;0.2478;743;0.1011;
705;0.2474;744;0.1136;
706;0.2506;745;0.1201;
707;0.2593;746;0.1321;
708;0.2624;747;0.1418;
709;0.2593;748;0.1583;
710;0.2638;749;0.1710;
711;0.2762;750;0.1816;
712;0.2794;751;0.1993;
713;0.2783;752;0.2215;
714;0.2834;753;0.2346;
715;0.2868;754;0.2570;
716;0.2965;755;0.2701;
717;0.2950;756;0.2904;
718;0.2957;757;0.3204;
719;0.3004;758;0.3422;
720;0.3016;759;0.3678;
721;0.3112;760;0.3814;
722;0.3240;761;0.4109;
723;0.3272;762;0.4377;
724;0.3328;763;0.4637;
725;0.3466;764;0.4957;
726;0.3575;765;0.5256;
727;0.3662;766;0.5511;
