Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
222;1.0000;251;0.0055;
223;0.6166;253;0.0012;
224;0.3925;254;0.0108;
225;0.2653;257;0.0233;
226;0.1933;258;0.0585;
227;0.1529;259;0.1264;
228;0.1305;260;0.1883;
229;0.1215;261;0.2712;
230;0.1168;262;0.2436;
231;0.1145;263;0.2047;
232;0.1156;264;0.1879;
233;0.1211;265;0.2186;
234;0.1320;266;0.2488;
235;0.1460;267;0.3065;
236;0.1589;268;0.4076;
237;0.1676;269;0.5209;
238;0.1844;270;0.5999;
239;0.2060;271;0.6493;
240;0.2291;272;0.6516;
241;0.2514;273;0.6941;
242;0.2628;274;0.7382;
243;0.2786;275;0.7840;
244;0.3041;276;0.8788;
245;0.3418;277;0.9032;
246;0.3759;278;0.9812;
247;0.3899;279;1.0000;
248;0.3930;280;0.9802;
249;0.4200;281;0.9463;
250;0.4760;282;0.9285;
251;0.5296;283;0.9081;
252;0.5374;284;0.9117;
253;0.5095;285;0.9302;
254;0.4974;286;0.9005;
255;0.5146;287;0.8587;
256;0.5840;288;0.8946;
257;0.6664;289;0.8133;
258;0.6586;290;0.7807;
259;0.5704;291;0.7247;
260;0.5010;292;0.6829;
261;0.4644;293;0.6714;
262;0.4734;294;0.6562;
263;0.5209;295;0.6292;
264;0.4635;296;0.5630;
265;0.3595;297;0.5811;
266;0.3072;298;0.4955;
267;0.2811;299;0.5100;
268;0.2064;300;0.4553;
269;0.1289;301;0.4491;
270;0.0814;302;0.4020;
271;0.0576;303;0.3789;
272;0.0416;304;0.3562;
273;0.0275;305;0.3569;
274;0.0191;306;0.3411;
275;0.0131;307;0.2996;
276;0.0099;308;0.2854;
277;0.0093;309;0.2861;
278;0.0081;310;0.2413;
279;0.0080;311;0.2153;
280;0.0060;312;0.2093;
281;0.0064;313;0.2261;
282;0.0059;314;0.1817;
283;0.0054;315;0.1619;
284;0.0042;316;0.1405;
285;0.0052;317;0.1593;
286;0.0056;318;0.1359;
287;0.0044;319;0.1237;
288;0.0022;320;0.1142;
289;0.0036;321;0.1175;
290;0.0040;322;0.1046;
291;0.0043;323;0.0793;
292;0.0029;324;0.0944;
293;0.0024;325;0.0914;
294;0.0035;326;0.0845;
295;0.0030;327;0.0727;
296;0.0033;328;0.0671;
297;0.0030;329;0.0714;
298;0.0037;330;0.0727;
299;0.0024;331;0.1026;
300;0.0024;332;0.0618;
301;0.0035;333;0.0447;
302;0.0022;334;0.0612;
303;0.0018;335;0.0529;
304;0.0026;336;0.0746;
305;0.0027;337;0.0503;
306;0.0030;338;0.0529;
307;0.0031;339;0.0480;
308;0.0030;340;0.0572;
309;0.0030;341;0.0460;
310;0.0010;342;0.0457;
312;0.0030;343;0.0476;
314;0.0070;344;0.0546;
315;0.0043;345;0.0621;
316;0.0018;346;0.0644;
317;0.0055;347;0.0529;
318;0.0004;348;0.0565;
319;0.0022;349;0.0575;
320;0.0018;350;0.0552;
321;0.0027;351;0.0437;
322;0.0052;352;0.0634;
323;0.0039;353;0.0681;
324;0.0032;354;0.0651;
325;0.0045;355;0.0516;
326;0.0042;356;0.0516;
327;0.0056;357;0.0460;
328;0.0024;358;0.0361;
329;0.0015;359;0.0546;
330;0.0033;360;0.0674;
331;0.0036;361;0.0578;
332;0.0017;362;0.0615;
333;0.0022;363;0.0674;
334;0.0008;364;0.0453;
335;0.0017;365;0.0490;
336;0.0016;366;0.0470;
337;0.0037;367;0.0407;
338;0.0008;368;0.0397;
339;0.0036;369;0.0503;
340;0.0015;370;0.0638;
341;0.0032;371;0.0631;
343;0.0022;372;0.0595;
344;0.0028;373;0.0394;
345;0.0024;374;0.0368;
346;0.0018;375;0.0766;
347;0.0025;376;0.0595;
348;0.0029;377;0.0585;
349;0.0015;378;0.0444;
