Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.1448;500;0.0000;
251;0.1455;501;0.0000;
252;0.1461;502;0.0000;
253;0.1466;503;0.0000;
254;0.1465;504;0.0000;
255;0.1462;505;0.0000;
256;0.1455;506;0.0000;
257;0.1444;507;0.0000;
258;0.1428;508;0.0000;
259;0.1403;509;0.0000;
260;0.1384;510;0.0000;
261;0.1368;511;0.0000;
262;0.1353;512;0.0000;
263;0.1339;513;0.0000;
264;0.1322;514;0.0000;
265;0.1308;515;0.0000;
266;0.1275;516;0.0000;
267;0.1247;517;0.0000;
268;0.1219;518;0.0000;
269;0.1181;519;0.0000;
270;0.1142;520;0.0000;
271;0.1101;521;0.0000;
272;0.1048;522;0.0000;
273;0.1002;523;0.0000;
274;0.0953;524;0.0000;
275;0.0900;525;0.0000;
276;0.0849;526;0.0000;
277;0.0814;527;0.0000;
278;0.0765;528;0.0000;
279;0.0724;529;0.0000;
280;0.0697;530;0.0000;
281;0.0644;531;0.0000;
282;0.0617;532;0.0000;
283;0.0591;533;0.0000;
284;0.0578;534;0.0000;
285;0.0566;535;0.0000;
286;0.0551;536;0.0000;
287;0.0542;537;0.0000;
288;0.0537;538;0.0000;
289;0.0531;539;0.0000;
290;0.0520;540;0.0000;
291;0.0514;541;0.0000;
292;0.0513;542;0.0000;
293;0.0508;543;0.0000;
294;0.0500;544;0.0000;
295;0.0497;545;0.0000;
296;0.0496;546;0.0000;
297;0.0490;547;0.0000;
298;0.0494;548;0.0000;
299;0.0500;549;0.0000;
300;0.0501;550;0.0000;
301;0.0508;551;0.0000;
302;0.0514;552;0.0000;
303;0.0523;553;0.0000;
304;0.0528;554;0.0000;
305;0.0537;555;0.0000;
306;0.0544;556;0.0000;
307;0.0549;557;0.0000;
308;0.0555;558;0.0000;
309;0.0557;559;0.0000;
310;0.0565;560;0.0000;
311;0.0574;561;0.0000;
312;0.0587;562;0.0000;
313;0.0607;563;0.0000;
314;0.0626;564;0.0000;
315;0.0647;565;0.0000;
316;0.0659;566;0.0000;
317;0.0674;567;0.0000;
318;0.0697;568;0.0000;
319;0.0711;569;0.0000;
320;0.0728;570;0.0000;
321;0.0733;571;0.0000;
322;0.0751;572;0.0000;
323;0.0768;573;0.0000;
324;0.0789;574;0.0000;
325;0.0796;575;0.0000;
326;0.0801;576;0.0000;
327;0.0802;577;0.0000;
328;0.0798;578;0.0000;
329;0.0792;579;0.0000;
330;0.0784;580;0.0000;
331;0.0769;581;0.0000;
332;0.0755;582;0.0000;
333;0.0742;583;0.0000;
334;0.0720;584;0.0000;
335;0.0718;585;0.0000;
336;0.0705;586;0.0000;
337;0.0694;587;0.0000;
338;0.0676;588;0.0000;
339;0.0668;589;0.0000;
340;0.0655;590;0.0000;
341;0.0647;591;0.0000;
342;0.0638;592;0.0000;
343;0.0625;593;0.0000;
344;0.0606;594;0.0000;
345;0.0591;595;0.0000;
346;0.0568;596;0.0000;
347;0.0547;597;0.0000;
348;0.0528;598;0.0000;
349;0.0505;599;0.0000;
350;0.0479;600;0.0000;
351;0.0444;601;0.0000;
352;0.0422;602;0.0000;
353;0.0404;603;0.0000;
354;0.0390;604;0.0000;
355;0.0380;605;0.0000;
356;0.0368;606;0.0000;
357;0.0358;607;0.0000;
358;0.0350;608;0.0000;
359;0.0340;609;0.0000;
360;0.0335;610;0.0000;
361;0.0330;611;0.0000;
362;0.0324;612;0.0000;
363;0.0318;613;0.0000;
364;0.0312;614;0.0000;
365;0.0306;615;0.0000;
366;0.0304;616;0.0000;
367;0.0297;617;0.0000;
368;0.0288;618;0.0000;
369;0.0286;619;0.0000;
370;0.0281;620;0.0000;
371;0.0275;621;0.0000;
372;0.0274;622;0.0000;
373;0.0269;623;0.0000;
374;0.0266;624;0.0000;
375;0.0267;625;0.0000;
376;0.0260;626;0.0000;
377;0.0260;627;0.0000;
378;0.0260;628;0.0000;
379;0.0260;629;0.0000;
380;0.0262;630;0.0000;
381;0.0261;631;0.0000;
382;0.0261;632;0.0000;
383;0.0263;633;0.0000;
384;0.0265;634;0.0000;
385;0.0268;635;0.0000;
386;0.0272;636;0.0000;
387;0.0274;637;0.0000;
388;0.0276;638;0.0000;
389;0.0278;639;0.0000;
390;0.0282;640;0.0000;
391;0.0289;641;0.0000;
392;0.0290;642;0.0000;
393;0.0294;643;0.0000;
394;0.0297;644;0.0000;
395;0.0302;645;0.0000;
