Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.4839;365;0.0097;
301;0.5072;366;0.0058;
302;0.5293;367;0.0028;
303;0.5507;368;0.0019;
304;0.5723;369;0.0019;
305;0.5940;370;0.0020;
306;0.6160;371;0.0024;
307;0.6382;372;0.0026;
308;0.6596;373;0.0030;
309;0.6805;374;0.0036;
310;0.7035;375;0.0043;
311;0.7225;376;0.0052;
312;0.7411;377;0.0061;
313;0.7596;378;0.0071;
314;0.7738;379;0.0088;
315;0.7893;380;0.0103;
316;0.8030;381;0.0121;
317;0.8112;382;0.0142;
318;0.8175;383;0.0165;
319;0.8196;384;0.0186;
320;0.8196;385;0.0218;
321;0.8148;386;0.0259;
322;0.8074;387;0.0310;
323;0.8016;388;0.0358;
324;0.7935;389;0.0413;
325;0.7868;390;0.0472;
326;0.7807;391;0.0536;
327;0.7764;392;0.0606;
328;0.7768;393;0.0686;
329;0.7765;394;0.0774;
330;0.7787;395;0.0864;
331;0.7890;396;0.0968;
332;0.7984;397;0.1078;
333;0.8099;398;0.1189;
334;0.8246;399;0.1308;
335;0.8397;400;0.1428;
336;0.8554;401;0.1568;
337;0.8723;402;0.1698;
338;0.8889;403;0.1879;
339;0.9053;404;0.2026;
340;0.9207;405;0.2231;
341;0.9366;406;0.2405;
342;0.9512;407;0.2598;
343;0.9640;408;0.2777;
344;0.9743;409;0.2956;
345;0.9836;410;0.3182;
346;0.9918;411;0.3357;
347;0.9961;412;0.3567;
348;0.9991;413;0.3783;
349;1.0000;414;0.3973;
350;0.9984;415;0.4194;
351;0.9955;416;0.4418;
352;0.9891;417;0.4645;
353;0.9815;418;0.4863;
354;0.9714;419;0.5089;
355;0.9604;420;0.5325;
356;0.9451;421;0.5540;
357;0.9295;422;0.5725;
358;0.9112;423;0.5978;
359;0.8888;424;0.6180;
360;0.8646;425;0.6409;
361;0.8394;426;0.6633;
362;0.8107;427;0.6856;
363;0.7827;428;0.7080;
364;0.7530;429;0.7287;
365;0.7218;430;0.7471;
366;0.6892;431;0.7635;
367;0.6550;432;0.7800;
368;0.6207;433;0.7966;
369;0.5859;434;0.8114;
370;0.5516;435;0.8268;
371;0.5168;436;0.8380;
372;0.4830;437;0.8528;
373;0.4493;438;0.8616;
374;0.4166;439;0.8697;
375;0.3860;440;0.8776;
376;0.3564;441;0.8892;
377;0.3270;442;0.8951;
378;0.2992;443;0.9048;
379;0.2746;444;0.9130;
380;0.2498;445;0.9243;
381;0.2276;446;0.9323;
382;0.2066;447;0.9379;
383;0.1873;448;0.9473;
384;0.1690;449;0.9503;
385;0.1505;450;0.9500;
386;0.1350;451;0.9561;
387;0.1210;452;0.9629;
388;0.1083;453;0.9695;
389;0.0965;454;0.9756;
390;0.0861;455;0.9811;
391;0.0766;456;0.9861;
392;0.0679;457;0.9897;
393;0.0603;458;0.9914;
394;0.0537;459;0.9931;
395;0.0472;460;0.9998;
396;0.0417;461;1.0000;
397;0.0365;462;0.9972;
398;0.0318;463;0.9959;
399;0.0278;464;0.9945;
400;0.0242;465;0.9944;
401;0.0208;466;0.9906;
402;0.0183;467;0.9855;
403;0.0158;468;0.9742;
404;0.0137;469;0.9694;
405;0.0120;470;0.9635;
406;0.0103;471;0.9607;
407;0.0088;472;0.9533;
408;0.0076;473;0.9485;
409;0.0067;474;0.9426;
410;0.0058;475;0.9354;
411;0.0051;476;0.9307;
412;0.0043;477;0.9239;
413;0.0039;478;0.9170;
414;0.0034;479;0.9032;
415;0.0030;480;0.8885;
416;0.0023;481;0.8762;
417;0.0021;482;0.8601;
418;0.0018;483;0.8459;
419;0.0017;484;0.8343;
420;0.0015;485;0.8235;
421;0.0014;486;0.8076;
422;0.0015;487;0.7955;
423;0.0011;488;0.7847;
424;0.0010;489;0.7712;
;;490;0.7578;
;;491;0.7438;
;;492;0.7293;
;;493;0.7148;
;;494;0.7044;
;;495;0.6943;
;;496;0.6809;
;;497;0.6699;
;;498;0.6586;
;;499;0.6438;
;;500;0.6326;
;;501;0.6201;
;;502;0.6058;
;;503;0.5866;
;;504;0.5757;
;;505;0.5589;
;;506;0.5447;
;;507;0.5330;
;;508;0.5196;
;;509;0.5066;
;;510;0.4942;
;;511;0.4846;
;;512;0.4703;
;;513;0.4585;
;;514;0.4494;
;;515;0.4361;
;;516;0.4241;
;;517;0.4132;
;;518;0.4039;
;;519;0.3921;
;;520;0.3849;
;;521;0.3735;
;;522;0.3617;
;;523;0.3519;
;;524;0.3423;
;;525;0.3323;
;;526;0.3250;
;;527;0.3154;
;;528;0.3065;
;;529;0.2965;
;;530;0.2882;
;;531;0.2802;
;;532;0.2713;
;;533;0.2634;
;;534;0.2566;
;;535;0.2478;
;;536;0.2423;
;;537;0.2364;
;;538;0.2290;
;;539;0.2232;
;;540;0.2154;
;;541;0.2107;
;;542;0.2053;
;;543;0.1997;
;;544;0.1925;
;;545;0.1874;
;;546;0.1821;
;;547;0.1771;
;;548;0.1717;
;;549;0.1670;
;;550;0.1630;
;;551;0.1580;
;;552;0.1545;
;;553;0.1498;
;;554;0.1469;
;;555;0.1426;
;;556;0.1390;
;;557;0.1348;
;;558;0.1308;
;;559;0.1282;
;;560;0.1225;
;;561;0.1192;
;;562;0.1171;
;;563;0.1146;
;;564;0.1094;
;;565;0.1072;
;;566;0.1041;
;;567;0.1014;
;;568;0.0988;
;;569;0.0962;
;;570;0.0937;
;;571;0.0907;
;;572;0.0877;
;;573;0.0858;
;;574;0.0830;
;;575;0.0800;
;;576;0.0775;
;;577;0.0752;
;;578;0.0737;
;;579;0.0709;
;;580;0.0693;
;;581;0.0673;
;;582;0.0644;
;;583;0.0636;
;;584;0.0615;
;;585;0.0599;
;;586;0.0568;
;;587;0.0553;
;;588;0.0533;
;;589;0.0512;
;;590;0.0496;
;;591;0.0484;
;;592;0.0472;
;;593;0.0450;
;;594;0.0434;
;;595;0.0419;
;;596;0.0413;
;;597;0.0405;
;;598;0.0385;
;;599;0.0384;
