Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
302;0.2885;640;0.1150;
303;0.2959;641;0.1189;
304;0.2984;642;0.1250;
305;0.3010;643;0.1303;
306;0.3060;644;0.1397;
307;0.3140;645;0.1464;
308;0.3202;646;0.1580;
309;0.3266;647;0.1677;
310;0.3307;648;0.1802;
311;0.3346;649;0.1929;
312;0.3385;650;0.2055;
313;0.3424;651;0.2195;
314;0.3488;652;0.2310;
315;0.3514;653;0.2429;
316;0.3525;654;0.2530;
317;0.3548;655;0.2679;
318;0.3557;656;0.2765;
319;0.3580;657;0.2887;
320;0.3591;658;0.3025;
321;0.3591;659;0.3128;
322;0.3591;660;0.3278;
323;0.3591;661;0.3443;
324;0.3592;662;0.3539;
325;0.3555;663;0.3699;
326;0.3516;664;0.3852;
327;0.3492;665;0.3968;
328;0.3471;666;0.4140;
329;0.3432;667;0.4353;
330;0.3393;668;0.4477;
331;0.3354;669;0.4675;
332;0.3326;670;0.4859;
333;0.3308;671;0.4988;
334;0.3270;672;0.5146;
335;0.3231;673;0.5315;
336;0.3192;674;0.5462;
337;0.3140;675;0.5595;
338;0.3070;676;0.5744;
339;0.2985;677;0.5932;
340;0.2984;678;0.6071;
341;0.2954;679;0.6236;
342;0.2891;680;0.6417;
343;0.2852;681;0.6572;
344;0.2813;682;0.6732;
345;0.2774;683;0.6887;
346;0.2730;684;0.7025;
347;0.2685;685;0.7168;
348;0.2629;686;0.7346;
349;0.2630;687;0.7514;
350;0.2612;688;0.7691;
351;0.2572;689;0.7841;
352;0.2523;690;0.7975;
353;0.2495;691;0.8112;
354;0.2456;692;0.8203;
355;0.2431;693;0.8327;
356;0.2411;694;0.8442;
357;0.2398;695;0.8541;
358;0.2366;696;0.8689;
359;0.2361;697;0.8828;
360;0.2331;698;0.8982;
361;0.2331;699;0.9097;
362;0.2331;700;0.9212;
363;0.2303;701;0.9316;
364;0.2298;702;0.9359;
365;0.2298;703;0.9428;
366;0.2298;704;0.9495;
367;0.2280;705;0.9545;
368;0.2240;706;0.9620;
369;0.2202;707;0.9683;
370;0.2199;708;0.9700;
371;0.2199;709;0.9765;
372;0.2199;710;0.9800;
373;0.2199;711;0.9839;
374;0.2199;712;0.9856;
375;0.2199;713;0.9896;
376;0.2199;714;0.9936;
377;0.2199;715;1.0000;
378;0.2199;716;0.9918;
379;0.2199;717;0.9881;
380;0.2199;718;0.9832;
381;0.2199;719;0.9833;
382;0.2199;720;0.9798;
383;0.2199;721;0.9810;
384;0.2199;722;0.9832;
385;0.2199;723;0.9810;
386;0.2199;724;0.9801;
387;0.2199;725;0.9753;
388;0.2199;726;0.9691;
389;0.2184;727;0.9606;
390;0.2166;728;0.9535;
391;0.2166;729;0.9456;
392;0.2166;730;0.9405;
393;0.2132;731;0.9343;
394;0.2132;732;0.9258;
395;0.2132;733;0.9204;
396;0.2110;734;0.9132;
397;0.2099;735;0.9058;
398;0.2098;736;0.8986;
399;0.2066;737;0.8882;
400;0.2066;738;0.8748;
401;0.2047;739;0.8605;
402;0.2008;740;0.8532;
403;0.2001;741;0.8370;
