Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
450;0.0150;540;0.0304;
451;0.0180;541;0.0308;
452;0.0186;542;0.0338;
453;0.0190;543;0.0388;
454;0.0192;544;0.0464;
455;0.0199;545;0.0520;
456;0.0201;546;0.0597;
457;0.0213;547;0.0711;
458;0.0221;548;0.0808;
459;0.0234;549;0.0963;
460;0.0241;550;0.1110;
461;0.0250;551;0.1278;
462;0.0263;552;0.1473;
463;0.0274;553;0.1670;
464;0.0293;554;0.1894;
465;0.0305;555;0.2158;
466;0.0318;556;0.2420;
467;0.0345;557;0.2716;
468;0.0369;558;0.3043;
469;0.0382;559;0.3354;
470;0.0408;560;0.3705;
471;0.0433;561;0.4071;
472;0.0458;562;0.4445;
473;0.0471;563;0.4860;
474;0.0499;564;0.5275;
475;0.0530;565;0.5644;
476;0.0553;566;0.6010;
477;0.0573;567;0.6397;
478;0.0594;568;0.6778;
479;0.0606;569;0.7240;
480;0.0660;570;0.7630;
481;0.0677;571;0.8053;
482;0.0733;572;0.8380;
483;0.0765;573;0.8681;
484;0.0825;574;0.8936;
485;0.0856;575;0.9230;
486;0.0904;576;0.9372;
487;0.0942;577;0.9627;
488;0.0978;578;0.9757;
489;0.1030;579;0.9864;
490;0.1084;580;0.9959;
491;0.1123;581;0.9979;
492;0.1198;582;1.0000;
493;0.1255;583;0.9973;
494;0.1309;584;0.9882;
495;0.1376;585;0.9792;
496;0.1443;586;0.9727;
497;0.1510;587;0.9639;
498;0.1587;588;0.9458;
499;0.1659;589;0.9200;
500;0.1746;590;0.8987;
501;0.1847;591;0.8839;
502;0.1944;592;0.8624;
503;0.2023;593;0.8343;
504;0.2128;594;0.8110;
505;0.2220;595;0.7893;
506;0.2327;596;0.7669;
507;0.2440;597;0.7461;
508;0.2540;598;0.7213;
509;0.2609;599;0.7020;
510;0.2689;600;0.6820;
511;0.2777;601;0.6632;
512;0.2862;602;0.6450;
513;0.2941;603;0.6216;
514;0.3044;604;0.6018;
515;0.3112;605;0.5800;
516;0.3158;606;0.5658;
517;0.3236;607;0.5452;
518;0.3294;608;0.5285;
519;0.3364;609;0.5141;
520;0.3428;610;0.4990;
521;0.3508;611;0.4822;
522;0.3585;612;0.4661;
523;0.3637;613;0.4556;
524;0.3734;614;0.4408;
525;0.3844;615;0.4299;
526;0.3920;616;0.4206;
527;0.4032;617;0.4120;
528;0.4143;618;0.4015;
529;0.4280;619;0.3970;
530;0.4431;620;0.3869;
531;0.4599;621;0.3773;
532;0.4771;622;0.3716;
533;0.4962;623;0.3660;
534;0.5173;624;0.3580;
535;0.5413;625;0.3510;
536;0.5625;626;0.3467;
537;0.5870;627;0.3408;
538;0.6163;628;0.3342;
539;0.6424;629;0.3276;
540;0.6776;630;0.3219;
541;0.7137;631;0.3157;
542;0.7456;632;0.3098;
543;0.7781;633;0.3026;
544;0.8057;634;0.3013;
545;0.8362;635;0.2940;
546;0.8630;636;0.2904;
547;0.8908;637;0.2837;
548;0.9155;638;0.2759;
549;0.9336;639;0.2684;
550;0.9521;640;0.2669;
551;0.9759;641;0.2581;
552;0.9870;642;0.2504;
553;0.9963;643;0.2452;
554;0.9997;644;0.2436;
555;1.0000;645;0.2307;
556;0.9930;646;0.2255;
557;0.9862;647;0.2185;
558;0.9795;648;0.2107;
559;0.9605;649;0.2060;
560;0.9401;650;0.2002;
561;0.9148;651;0.1947;
562;0.8819;652;0.1874;
563;0.8506;653;0.1783;
564;0.8114;654;0.1741;
565;0.7768;655;0.1700;
566;0.7318;656;0.1619;
567;0.6855;657;0.1562;
568;0.6427;658;0.1532;
569;0.6068;659;0.1486;
570;0.5651;660;0.1461;
571;0.5220;661;0.1389;
572;0.4818;662;0.1376;
573;0.4462;663;0.1323;
574;0.4066;664;0.1287;
575;0.3718;665;0.1261;
576;0.3397;666;0.1212;
577;0.3068;667;0.1195;
578;0.2741;668;0.1179;
579;0.2490;669;0.1132;
580;0.2239;670;0.1093;
581;0.2001;671;0.1082;
582;0.1776;672;0.1055;
583;0.1551;673;0.1026;
584;0.1351;674;0.0998;
585;0.1220;675;0.0966;
586;0.1067;676;0.0944;
587;0.0920;677;0.0934;
588;0.0798;678;0.0922;
589;0.0712;679;0.0878;
590;0.0625;680;0.0849;
591;0.0560;681;0.0845;
592;0.0489;682;0.0814;
593;0.0430;683;0.0801;
594;0.0382;684;0.0790;
595;0.0345;685;0.0754;
596;0.0298;686;0.0743;
597;0.0264;687;0.0750;
598;0.0234;688;0.0712;
599;0.0212;689;0.0688;
600;0.0189;690;0.0673;
;;691;0.0661;
;;692;0.0672;
;;693;0.0646;
;;694;0.0619;
;;695;0.0618;
;;696;0.0612;
;;697;0.0592;
;;698;0.0570;
;;699;0.0579;
