wl,ex,wl,em
400,6.258348,580,1.449883
401,7.03469,581,0.7301944
402,6.756194,582,0.5410796
403,6.556535,583,0.5831051
404,6.712422,584,0.6671561
405,6.844996,585,0.8300062
406,6.421542,586,0.9193108
407,5.789241,587,1.118931
408,5.567374,588,1.276528
409,5.481858,589,1.465642
410,5.118474,590,1.754574
411,4.757673,591,2.159061
412,4.965522,592,2.463744
413,5.165916,593,2.873498
414,4.882768,594,3.377808
415,4.168883,595,4.092245
416,3.798813,596,4.722627
417,3.489901,597,5.505351
418,3.390522,598,6.335361
419,3.081495,599,7.585625
420,3.020844,600,8.741335
421,2.671184,601,10.13342
422,2.737353,602,11.70414
423,2.495884,603,13.5375
424,2.334513,604,15.62302
425,1.896819,605,17.78742
426,1.691235,606,20.37189
427,1.266824,607,22.60984
428,1.448279,608,25.99801
429,1.358888,609,29.20784
430,1.189416,610,32.21267
431,0.9095383,611,35.97919
432,0.9682276,612,40.22908
433,0.916903,613,44.22145
434,0.7296602,614,48.67618
435,0.6791236,615,53.08358
436,0.5078274,616,57.95333
437,0.508004,617,61.97203
438,0.6681761,618,66.84179
439,0.6171017,619,71.61687
440,0.472353,620,76.31844
441,0.2915979,621,80.23215
442,0.4698224,622,84.31385
443,0.5727241,623,87.73904
444,0.5597152,624,90.85419
445,0.3201334,625,94.30553
446,0.3209009,626,96.61682
447,0.3548746,627,98.09824
448,0.386235,628,99.33279
449,0.2266554,629,99.85815
450,0.2478482,630,100
451,0.2290774,631,99.48514
452,0.4108616,632,98.95978
453,0.3285551,633,97.48886
454,0.1892945,634,95.70277
455,6.60E-04,635,93.54383
456,0.1137193,636,91.51073
457,0.2400543,637,88.31156
458,0.3445205,638,85.39608
459,0.26631,639,83.02162
460,0.3053352,640,78.94508
461,0.1780642,641,75.84042
462,0.2211249,642,72.98793
463,0.2148979,643,69.48943
464,0.2709667,644,66.03791
465,0.2824234,645,63.21177
466,0.3475874,646,59.78142
467,0.3584515,647,57.03928
468,0.3154677,648,53.78744
469,0.3716738,649,51.0348
470,0.485317,650,48.4765
471,0.4567701,651,46.03904
472,0.4055967,652,43.58575
473,0.3835367,653,41.14829
474,0.5323634,654,38.79483
475,0.6266783,655,36.92474
476,0.6166145,656,34.9338
477,0.5024931,657,33.32639
478,0.5942414,658,31.6978
479,0.7926671,659,30.15339
480,0.8487563,660,28.58264
481,0.9098161,661,27.26407
