wl,abs,wl ,em
300,24.2425,495,1.734158
301,23.37493,496,2.01907
302,22.55295,497,2.539299
303,21.78829,498,3.152181
304,20.96358,499,3.916819
305,20.20296,500,4.922747
306,19.46031,501,6.044924
307,18.79217,502,7.390996
308,18.13941,503,8.980951
309,17.58721,504,10.80412
310,17.03736,505,13.03814
311,16.63875,506,15.56297
312,16.27791,507,18.49457
313,15.9667,508,21.71213
314,15.80517,509,25.28764
315,15.56809,510,29.16219
316,15.43652,511,33.38255
317,15.3779,512,37.8211
318,15.31147,513,42.56459
319,15.21103,514,47.39694
320,15.18367,515,52.38288
321,15.15371,516,57.77232
322,15.10434,517,63.03517
323,15.12649,518,67.91945
324,15.11476,519,72.57009
325,15.20074,520,77.31895
326,15.39874,521,81.09202
327,15.55624,522,85.06915
328,15.79084,523,88.66397
329,15.77769,524,91.47386
330,16.15285,525,94.14485
331,16.46419,526,96.21247
332,16.82255,527,97.7257
333,17.044,528,99.00286
334,17.22494,529,100
335,17.24852,530,99.93324
336,17.08829,531,99.70356
337,16.80418,532,99.39445
338,16.43553,533,98.41234
339,15.93674,534,97.35587
340,15.38442,535,95.84159
341,14.73426,536,94.27515
342,14.10247,537,92.48539
343,13.41206,538,90.4992
344,12.78678,539,88.47302
345,12.05338,540,86.37809
346,11.38785,541,83.99799
347,10.74955,542,81.83239
348,10.12805,543,79.59941
349,9.483365,544,77.44652
350,8.9128,545,75.38777
351,8.339629,546,73.0461
352,7.830159,547,70.83797
353,7.309095,548,68.72489
354,6.820598,549,66.82898
355,6.355679,550,64.71463
356,5.937394,551,62.82015
357,5.537477,552,60.96279
358,5.224839,553,59.06169
359,4.908423,554,57.22692
360,4.646588,555,55.66514
361,4.380715,556,54.05189
362,4.189224,557,52.61509
363,3.939114,558,51.13435
364,3.788005,559,49.753
365,3.593909,560,48.30101
366,3.412969,561,47.0326
367,3.21757,562,45.98335
368,3.09512,563,44.76829
369,2.930985,564,43.46096
370,2.807102,565,42.44124
371,2.678269,566,41.26748
372,2.536279,567,40.21004
373,2.435844,568,39.29646
374,2.334367,569,38.34641
375,2.168929,570,37.40555
376,2.048954,571,36.26906
377,2.032019,572,35.33895
378,1.917516,573,34.45052
379,1.834145,574,33.44131
380,1.813172,575,32.4686
381,1.774223,576,31.44918
382,1.780736,577,30.75763
383,1.641352,578,29.87287
384,1.496756,579,28.99521
385,1.744131,580,28.18091
386,1.705052,581,27.37885
387,1.707657,582,26.31791
388,1.673788,583,25.60565
389,1.660761,584,24.67937
390,1.640049,585,23.96693
391,1.658156,586,23.2015
392,1.624417,587,22.24584
393,1.629497,588,21.4005
394,1.61126,589,20.79449
395,1.649037,590,20.03722
396,1.646562,591,19.20488
397,1.660761,592,18.58632
398,1.663367,593,17.81109
399,1.643957,594,17.21553
400,1.629497,595,16.57499
401,1.58651,596,15.99108
402,1.556679,597,15.48775
403,1.514863,598,14.93596
404,1.456374,599,14.49009
405,1.350858,600,14.02491
406,1.305135,601,13.51163
407,1.294844,602,12.9867
408,1.264753,603,12.46287
409,1.246515,604,12.04698
410,1.221765,605,11.64142
411,1.23883,606,11.27306
412,1.234792,607,10.84597
413,1.257067,608,10.51684
414,1.250554,609,10.19319
415,1.298752,610,9.699488
416,1.284293,611,9.415853
417,1.337832,612,9.037047
418,1.379517,613,8.713511
419,1.445822,614,8.531246
420,1.472006,615,8.238143
