wl,abs,wl,em
300,5.709392,480,0.941344
301,5.623751,481,1.081094
302,5.53811,482,1.314241
303,5.509563,483,1.600454
304,5.481017,484,2.030594
305,5.452469,485,2.564576
306,5.452469,486,3.267749
307,5.481017,487,4.012747
308,5.509563,488,5.055497
309,5.566657,489,6.375955
310,5.652298,490,7.818307
311,5.709392,491,9.537823
312,5.82358,492,11.54181
313,5.937768,493,13.86215
314,6.137597,494,16.75227
315,6.308878,495,19.46974
316,6.508707,496,22.49613
317,6.76563,497,26.4738
318,6.994005,498,30.90791
319,7.222381,499,35.7508
320,7.336568,500,40.89355
321,7.393663,501,46.42442
322,7.393663,502,51.61631
323,7.308022,503,56.87871
324,7.250928,504,62.39551
325,7.13674,505,67.83575
326,6.879817,506,72.9339
327,6.76563,507,77.9823
328,6.679988,508,82.46131
329,6.508707,509,86.25935
330,6.365972,510,89.77137
331,6.280331,511,92.9907
332,6.251784,512,95.34057
333,6.166143,513,97.29032
334,6.080502,514,98.78532
335,6.166143,515,99.56673
336,6.166143,516,100
337,6.251784,517,99.45059
338,6.365972,518,99.06377
339,6.394519,519,98.10335
340,6.537254,520,96.79268
341,6.622895,521,95.03926
342,6.708535,522,92.87209
343,6.76563,523,91.10918
344,6.908364,524,88.78478
345,6.965458,525,86.30917
346,7.051099,526,83.60747
347,7.165287,527,81.14326
348,7.279475,528,78.51254
349,7.365116,529,75.92603
350,7.450757,530,73.03828
351,7.507851,531,70.45006
352,7.564944,532,68.13844
353,7.707679,533,65.38643
354,7.79332,534,63.05942
355,7.79332,535,60.6773
356,7.907508,536,58.49327
357,7.907508,537,56.52495
358,7.878961,538,54.48742
359,7.964602,539,52.45914
360,8.021696,540,50.92834
361,7.993149,541,49.17488
362,7.993149,542,47.61642
363,8.021696,543,46.1741
364,7.993149,544,45.00019
365,8.050242,545,43.7463
366,7.993149,546,42.43855
367,7.964602,547,41.34077
368,7.936055,548,40.078
369,7.850414,549,39.16312
370,7.764773,550,38.31845
371,7.79332,551,37.27491
372,7.736226,552,36.21457
373,7.679132,553,35.24352
374,7.564944,554,34.37671
375,7.507851,555,33.41878
376,7.450757,556,32.71833
377,7.393663,557,31.61111
378,7.336568,558,30.56847
379,7.222381,559,29.60226
380,7.13674,560,28.68134
381,7.022552,561,27.80647
382,6.936911,562,26.7204
383,6.879817,563,25.80196
384,6.822723,564,25.03229
385,6.737083,565,24.17806
386,6.622895,566,23.4963
387,6.537254,567,22.59138
388,6.423066,568,21.90058
389,6.251784,569,21.03369
390,6.166143,570,20.24841
391,6.080502,571,19.49148
392,5.937768,572,18.74068
393,5.795033,573,18.03148
394,5.680845,574,17.24209
395,5.509563,575,16.60151
396,5.395375,576,16.03885
397,5.281188,577,15.38026
398,5.138453,578,14.8022
399,5.081359,579,14.25944
400,4.995718,580,13.59103
401,4.88153,581,13.11067
