wl,abs,wl,em
250,354.8783,445,5.213145
251,364.0991,446,3.623013
252,371.4222,447,2.271704
253,377.6289,448,2.127864
254,384.3045,449,2.379635
255,388.0554,450,2.811661
256,390.8685,451,3.484231
257,393.2574,452,4.331796
258,393.9719,453,5.201715
259,393.4807,454,6.32118
260,390.8685,455,7.560209
261,387.6088,456,9.100777
262,383.1212,457,11.26293
263,375.4409,458,13.68232
264,369.0333,459,16.41478
265,362.2014,460,19.59737
266,352.3554,461,23.03284
267,344.8538,462,26.54297
268,337.1958,463,29.76764
269,326.4345,464,33.83239
270,318.3746,465,38.33534
271,309.8906,466,42.86195
272,297.4995,467,47.22935
273,288.1447,468,51.61871
274,278.4997,469,55.87242
275,265.2601,470,60.27401
276,255.5481,471,65.34573
277,245.8808,472,69.25391
278,232.5966,473,73.57437
279,222.7953,474,77.26131
280,212.8377,475,80.53372
281,198.7274,476,84.24515
282,188.1,477,87.95556
283,177.0708,478,90.50766
284,161.286,479,93.27714
285,149.6093,480,95.00059
286,138.0889,481,96.04237
287,122.639,482,97.10165
288,111.833,483,97.64171
289,101.5182,484,99.10459
290,88.21165,485,100
291,78.96852,486,98.921
292,70.12726,487,99.73336
293,58.76312,488,98.98725
294,51.14981,489,98.86324
295,44.27328,490,98.19067
296,35.99018,491,97.91927
297,30.8551,492,97.88802
298,26.41215,493,95.67336
299,21.43336,494,94.60812
300,18.62023,495,94.1687
301,16.27595,496,92.88254
302,13.66376,497,92.274
303,12.16789,498,91.563
304,11.00692,499,90.41844
305,9.756641,500,89.03901
306,9.01987,501,87.99653
307,8.46171,502,86.63621
308,7.90355,503,85.10293
309,7.590981,504,83.22451
310,7.367716,505,82.09442
311,7.122126,506,80.60525
312,7.010493,507,79.3563
313,6.921188,508,77.37642
314,6.854208,509,75.35376
315,6.831882,510,73.7168
316,6.854208,511,72.83028
317,6.831882,512,71.66833
318,6.921188,513,69.71061
319,6.988167,514,67.76179
320,7.144452,515,65.91502
321,7.27841,516,64.86131
322,7.412369,517,63.26006
323,7.635633,518,61.61662
324,7.858897,519,60.46529
325,8.015182,520,58.61145
326,8.238446,521,57.66333
327,8.417058,522,55.80666
328,8.551016,523,54.21511
329,8.729627,524,52.90467
330,8.863586,525,51.63115
331,8.997544,526,49.91387
332,9.15383,527,48.68101
333,9.287787,528,47.80452
334,9.39942,529,46.58754
335,9.488726,530,45.42609
336,9.64501,531,43.6818
337,9.756641,532,42.4449
338,9.845948,533,41.44479
339,9.912927,534,40.06456
340,9.890601,535,39.28112
341,9.756641,536,38.00436
342,9.578031,537,36.93679
343,9.377093,538,35.89602
344,8.997544,539,35.00304
345,8.640322,540,33.74499
346,8.238446,541,32.88256
347,7.657959,542,31.71222
348,7.166778,543,30.86708
349,6.653271,544,29.73052
350,5.938826,545,29.39216
351,5.469971,546,28.39003
352,5.001116,547,27.74771
353,4.398303,548,26.63654
354,4.018754,549,26.18044
355,3.661532,550,25.09567
356,3.192677,551,24.56117
357,2.902434,552,23.61023
358,2.656843,553,22.93715
359,2.3666,554,22.18477
360,2.187989,555,21.74051
361,2.05403,556,20.93381
362,1.920071,557,20.51898
363,1.853092,558,19.66191
364,1.786113,559,19.08533
365,1.763786,560,18.46152
366,1.763786,561,17.91124
367,1.786113,562,17.31636
368,1.830766,563,16.4869
369,1.830766,564,16.24413
370,1.920071,565,15.34285
371,2.05403,566,14.67008
372,2.187989,567,14.62497
373,2.29962,568,14.37563
374,2.455905,569,13.75009
375,2.589864,570,13.32707
376,2.746149,571,13.28762
377,2.947086,572,12.68393
378,3.148024,573,12.46666
379,3.348962,574,12.137
380,3.594553,575,11.72025
381,3.817817,576,11.43095
382,4.063407,577,11.0414
383,4.42063,578,10.63639
384,4.710873,579,10.39908
385,5.023443,580,10.18494
386,5.425318,581,9.982531
387,5.782541,582,9.849109
388,6.139763,583,9.531285
389,6.586292,584,9.095617
390,7.055146,585,9.049087
391,7.479348,586,8.845667
392,8.082162,587,8.708706
393,8.662648,588,8.268789
394,9.176155,589,8.1031
395,9.935253,590,7.921124
396,10.60505,591,7.746028
397,11.25251,592,7.402005
398,12.16789,593,7.165103
399,12.94932,594,6.965124
400,13.73074,595,6.68331
401,14.82474,596,6.720129
402,15.78477,597,6.48515
403,16.72248,598,6.290936
404,17.95044,599,6.159234
405,19.0221,600,6.073051
406,20.09377,601,5.906148
407,21.61197,602,5.67481
408,22.86225,603,5.621704
409,24.0902,604,5.536533
410,25.76468,605,5.226498
411,27.2159,606,5.214561
412,28.57781,607,5.012255
413,30.45323,608,4.779602
414,32.0384,609,4.710817
415,33.57892,610,4.691497
416,35.69993,611,4.594693
417,37.48605,612,4.380551
418,39.2275,613,4.317229
419,41.5941,614,4.286276
420,43.5365,615,4.229428
421,45.43425,616,4.204646
422,47.93481,617,3.835435
423,50.03349,618,3.641221
424,52.04287,619,3.652853
425,54.67738,620,3.692809
426,56.77607,621,3.505473
427,58.76312,622,3.48858
428,61.37531,623,3.505776
429,63.42934,624,3.237618
430,65.3494,625,3.294163
431,67.80531,,
432,69.65841,,
433,71.46685,,
434,73.72181,,
435,75.39629,,
436,77.07078,,
437,79.19178,,
438,80.8886,,
439,82.5854,,
440,84.79571,,
441,86.51485
442,88.23399
443,90.44429
444,92.14111
445,93.72628
446,95.57937
447,96.89662
448,98.01295
449,99.12927
450,99.70975
451,99.97768
452,100
453,99.41952
454,98.57111
455,96.89662
456,95.0882
457,92.87788
458,89.41728
459,86.24693
460,82.71936
461,77.71824
462,73.47623
463,68.98861
464,63.07211
465,58.31659
466,53.53874
467,47.62224
468,43.15695
469,38.84796
470,33.71288
471,30.02902
472,26.61308
473,22.61666
474,19.80353
475,17.28064
476,14.42286
477,12.45814
478,10.739
479,8.863586
480,7.613307
481,6.541639
482,5.358339
483,4.599241
484,3.907122
485,3.215003
486,2.790802
487,2.388926
488,1.987051
489,1.719134
490,1.473543
491,1.250279
492,1.093994
493,0.9377093
494,0.7814245
495,0.6921188
496,0.6028131
497,0.5135075
498,0.4465283
499,0.379549
500,0.3125698
501,0.2902434
502,0.2679169
503,0.2232641
504,0.2009377
505,0.1786113
506,0.1562849
507,0.1339585
508,0.1339585
509,0.1339585
510,0.1339585
511,0.1116321
512,0.1116321
513,0.1116321
514,0.1116321
515,8.93E-02
516,8.93E-02
517,6.70E-02
518,6.70E-02
519,6.70E-02
520,6.70E-02
521,6.70E-02
522,8.93E-02
523,6.70E-02
524,6.70E-02
525,8.93E-02
526,8.93E-02
527,6.70E-02
528,6.70E-02
529,6.70E-02
530,4.47E-02
531,4.47E-02
532,4.47E-02
533,4.47E-02
534,6.70E-02
535,6.70E-02
536,6.70E-02
537,6.70E-02
538,6.70E-02
539,6.70E-02
540,6.70E-02
541,6.70E-02
542,6.70E-02
543,6.70E-02
544,6.70E-02
545,6.70E-02
546,6.70E-02
547,6.70E-02
548,8.93E-02
549,8.93E-02
550,0.1116321
551,8.93E-02
552,8.93E-02
553,8.93E-02
554,8.93E-02
555,8.93E-02
556,6.70E-02
557,6.70E-02
558,6.70E-02
559,6.70E-02
560,6.70E-02
561,8.93E-02
562,8.93E-02
563,8.93E-02
564,8.93E-02
565,6.70E-02
566,6.70E-02
567,6.70E-02
568,6.70E-02
569,4.47E-02
570,4.47E-02
571,4.47E-02
572,4.47E-02
573,6.70E-02
574,4.47E-02
575,4.47E-02
576,2.23E-02
577,2.23E-02
578,2.23E-02
579,4.47E-02
580,4.47E-02
581,2.23E-02
582,2.23E-02
583,2.23E-02
584,2.23E-02
585,2.23E-02
586,2.23E-02
587,2.23E-02
588,2.23E-02
589,2.23E-02
590,2.23E-02
591,2.23E-02
592,2.23E-02
593,2.23E-02
594,2.23E-02
595,2.23E-02
596,4.47E-02
597,4.47E-02
598,2.23E-02
599,2.23E-02
600,2.23E-02
Data Copyright MP Inc.
