Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
249;1.0000;365;0.0550;
251;0.8810;365;0.0480;
251;0.9322;366;0.0436;
252;0.8465;366;0.0410;
254;0.8121;367;0.0392;
254;0.7836;367;0.0398;
255;0.7532;368;0.0391;
257;0.7108;368;0.0393;
257;0.7273;369;0.0397;
258;0.6938;369;0.0401;
260;0.6553;370;0.0406;
260;0.6730;370;0.0413;
261;0.6415;371;0.0419;
263;0.6189;371;0.0427;
263;0.5990;372;0.0443;
265;0.5769;372;0.0434;
266;0.5316;373;0.0462;
266;0.5521;373;0.0452;
268;0.5148;374;0.0487;
269;0.4990;374;0.0474;
269;0.4858;375;0.0518;
271;0.4722;375;0.0502;
272;0.4624;376;0.0535;
272;0.4583;376;0.0554;
274;0.4450;377;0.0573;
274;0.4507;377;0.0592;
275;0.4382;378;0.0611;
277;0.4267;378;0.0629;
277;0.4317;379;0.0648;
278;0.4212;379;0.0666;
280;0.4134;380;0.0702;
280;0.4066;380;0.0684;
282;0.3994;381;0.0720;
283;0.3894;381;0.0739;
283;0.3941;382;0.0758;
285;0.3804;382;0.0776;
285;0.3739;383;0.0792;
286;0.3678;383;0.0807;
288;0.3522;384;0.0836;
288;0.3605;384;0.0822;
289;0.3422;385;0.0862;
291;0.3226;385;0.0849;
291;0.3306;386;0.0874;
293;0.3099;386;0.0885;
294;0.2966;387;0.0896;
294;0.2813;387;0.0905;
296;0.2527;388;0.0918;
296;0.2660;388;0.0913;
297;0.2394;389;0.0924;
299;0.2050;389;0.0927;
299;0.2229;390;0.0928;
301;0.1876;390;0.0928;
302;0.1740;391;0.0923;
302;0.1598;391;0.0926;
304;0.1439;392;0.0919;
304;0.1288;392;0.0914;
305;0.1182;393;0.0910;
307;0.0984;393;0.0904;
307;0.1069;394;0.0894;
309;0.0895;394;0.0899;
310;0.0803;395;0.0888;
310;0.0838;395;0.0883;
312;0.0757;396;0.0877;
312;0.0774;396;0.0871;
314;0.0744;397;0.0865;
315;0.0752;397;0.0859;
315;0.0739;398;0.0852;
317;0.0780;398;0.0846;
317;0.0764;399;0.0834;
318;0.0802;399;0.0840;
320;0.0833;400;0.0822;
320;0.0858;400;0.0827;
322;0.0889;401;0.0818;
322;0.0918;401;0.0813;
323;0.0952;402;0.0810;
325;0.0991;402;0.0807;
325;0.1019;403;0.0804;
327;0.1052;403;0.0801;
328;0.1081;404;0.0799;
328;0.1116;404;0.0796;
330;0.1185;405;0.0791;
330;0.1156;405;0.0793;
332;0.1212;406;0.0789;
333;0.1278;406;0.0788;
333;0.1242;407;0.0788;
335;0.1328;407;0.0788;
335;0.1305;408;0.0789;
337;0.1365;408;0.0791;
337;0.1350;409;0.0792;
338;0.1379;409;0.0794;
340;0.1395;410;0.0796;
340;0.1391;410;0.0795;
342;0.1393;411;0.0798;
342;0.1386;411;0.0798;
343;0.1375;412;0.0799;
345;0.1354;412;0.0801;
345;0.1338;413;0.0807;
347;0.1315;413;0.0804;
347;0.1295;414;0.0811;
349;0.1265;414;0.0815;
350;0.1232;415;0.0824;
350;0.1201;415;0.0820;
352;0.1153;416;0.0829;
352;0.1178;416;0.0832;
354;0.1104;417;0.0836;
354;0.1126;417;0.0838;
355;0.1087;418;0.0840;
357;0.1070;418;0.0842;
357;0.1055;419;0.0846;
359;0.1034;419;0.0844;
359;0.1043;420;0.0849;
361;0.1024;420;0.0852;
362;0.1019;421;0.0854;
362;0.1016;421;0.0857;
364;0.1019;422;0.0864;
364;0.1022;422;0.0860;
366;0.1022;423;0.0866;
366;0.1023;423;0.0869;
368;0.1025;424;0.0874;
369;0.1028;424;0.0871;
369;0.1030;425;0.0876;
371;0.1032;425;0.0877;
371;0.1031;426;0.0878;
373;0.1037;426;0.0879;
373;0.1037;427;0.0879;
375;0.1040;427;0.0879;
375;0.1038;428;0.0879;
376;0.1038;428;0.0878;
378;0.1036;429;0.0880;
378;0.1036;429;0.0882;
380;0.1029;430;0.0884;
380;0.1036;430;0.0889;
382;0.1018;431;0.0894;
382;0.1024;431;0.0898;
384;0.1009;432;0.0907;
384;0.1001;432;0.0903;
385;0.0990;433;0.0911;
387;0.0980;433;0.0915;
387;0.0971;434;0.0918;
389;0.0946;434;0.0921;
389;0.0958;435;0.0927;
391;0.0913;435;0.0932;
391;0.0928;436;0.0947;
393;0.0884;436;0.0939;
393;0.0899;437;0.0955;
395;0.0863;437;0.0964;
395;0.0845;438;0.0974;
396;0.0830;438;0.0984;
398;0.0808;439;0.1006;
398;0.0789;439;0.0995;
400;0.0746;440;0.1016;
400;0.0769;440;0.1027;
402;0.0702;441;0.1048;
402;0.0721;441;0.1038;
404;0.0678;442;0.1060;
404;0.0657;442;0.1073;
406;0.0610;443;0.1086;
406;0.0632;443;0.1102;
408;0.0583;444;0.1119;
408;0.0566;444;0.1137;
410;0.0522;445;0.1177;
410;0.0543;445;0.1156;
412;0.0497;446;0.1197;
413;0.0460;446;0.1218;
413;0.0479;447;0.1239;
415;0.0417;447;0.1260;
415;0.0436;448;0.1306;
417;0.0375;448;0.1282;
417;0.0394;449;0.1331;
419;0.0338;449;0.1358;
419;0.0354;450;0.1416;
421;0.0298;450;0.1388;
421;0.0319;451;0.1447;
423;0.0282;451;0.1479;
423;0.0269;452;0.1512;
425;0.0239;452;0.1547;
425;0.0252;453;0.1584;
427;0.0208;453;0.1623;
427;0.0224;454;0.1710;
429;0.0196;454;0.1665;
429;0.0186;455;0.1755;
431;0.0177;455;0.1800;
431;0.0165;456;0.1845;
433;0.0145;456;0.1892;
433;0.0152;457;0.1984;
435;0.0130;457;0.1938;
435;0.0135;458;0.2033;
437;0.0112;458;0.2084;
437;0.0120;459;0.2193;
439;0.0109;459;0.2138;
439;0.0103;460;0.2250;
441;0.0094;460;0.2310;
441;0.0099;461;0.2373;
443;0.0088;461;0.2437;
443;0.0086;462;0.2502;
445;0.0080;462;0.2568;
445;0.0079;463;0.2705;
447;0.0071;463;0.2636;
447;0.0075;464;0.2773;
449;0.0069;464;0.2840;
449;0.0069;465;0.2908;
451;0.0064;465;0.2976;
451;0.0064;466;0.3113;
453;0.0061;466;0.3044;
454;0.0061;467;0.3182;
454;0.0059;467;0.3252;
456;0.0056;468;0.3400;
456;0.0057;468;0.3325;
458;0.0054;469;0.3475;
458;0.0054;469;0.3552;
460;0.0052;470;0.3632;
460;0.0052;470;0.3714;
462;0.0053;471;0.3798;
462;0.0053;471;0.3883;
464;0.0050;472;0.4052;
464;0.0052;472;0.3966;
466;0.0051;473;0.4140;
466;0.0051;473;0.4228;
468;0.0049;474;0.4319;
469;0.0049;474;0.4410;
469;0.0050;475;0.4600;
471;0.0050;475;0.4504;
471;0.0048;476;0.4698;
473;0.0047;476;0.4796;
473;0.0047;477;0.5000;
475;0.0049;477;0.4897;
475;0.0047;478;0.5103;
477;0.0046;478;0.5208;
