Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
299;0.2120;550;0.0084;
301;0.2140;551;0.0092;
301;0.2160;552;0.0096;
303;0.2180;553;0.0104;
303;0.2180;554;0.0111;
304;0.2170;555;0.0118;
306;0.2150;556;0.0125;
306;0.2130;557;0.0132;
308;0.2060;558;0.0144;
308;0.2100;559;0.0148;
309;0.2030;560;0.0158;
311;0.2000;561;0.0164;
311;0.1970;562;0.0173;
313;0.1910;563;0.0181;
313;0.1940;564;0.0191;
314;0.1890;565;0.0202;
316;0.1880;566;0.0207;
316;0.1850;567;0.0218;
318;0.1790;568;0.0227;
318;0.1830;569;0.0238;
319;0.1770;570;0.0246;
321;0.1750;571;0.0258;
321;0.1720;572;0.0269;
323;0.1710;573;0.0280;
323;0.1700;574;0.0288;
324;0.1700;575;0.0301;
326;0.1700;576;0.0313;
326;0.1700;577;0.0332;
328;0.1670;578;0.0344;
328;0.1620;579;0.0365;
330;0.1550;580;0.0380;
331;0.1410;581;0.0402;
331;0.1490;582;0.0423;
333;0.1320;583;0.0446;
333;0.1240;584;0.0471;
335;0.1150;585;0.0506;
335;0.1180;586;0.0535;
336;0.1130;587;0.0575;
338;0.1140;588;0.0616;
338;0.1130;589;0.0669;
340;0.1180;590;0.0718;
340;0.1160;591;0.0787;
342;0.1230;592;0.0855;
343;0.1260;593;0.0930;
343;0.1310;594;0.1021;
345;0.1360;595;0.1117;
345;0.1350;596;0.1223;
347;0.1380;597;0.1350;
347;0.1390;598;0.1481;
349;0.1400;599;0.1639;
350;0.1400;600;0.1804;
350;0.1400;601;0.2020;
352;0.1390;602;0.2251;
352;0.1390;603;0.2530;
354;0.1390;604;0.2808;
354;0.1390;605;0.3128;
356;0.1390;606;0.3461;
357;0.1400;607;0.3840;
357;0.1390;608;0.4214;
359;0.1420;609;0.4683;
359;0.1430;610;0.5121;
361;0.1450;611;0.5646;
361;0.1460;612;0.6140;
363;0.1510;613;0.6702;
363;0.1490;614;0.7195;
365;0.1550;615;0.7746;
366;0.1570;616;0.8204;
366;0.1590;617;0.8681;
368;0.1630;618;0.9104;
368;0.1670;619;0.9416;
370;0.1730;620;0.9690;
370;0.1710;621;0.9871;
372;0.1760;622;1.0000;
372;0.1780;623;0.9962;
374;0.1810;624;0.9911;
375;0.1830;625;0.9685;
375;0.1830;626;0.9469;
377;0.1860;627;0.9092;
377;0.1850;628;0.8767;
379;0.1880;629;0.8432;
379;0.1870;630;0.8183;
381;0.1890;631;0.7900;
381;0.1900;632;0.7704;
383;0.1940;633;0.7485;
383;0.1920;634;0.7321;
385;0.1990;635;0.7154;
385;0.1960;636;0.7036;
387;0.2020;637;0.6904;
388;0.2080;638;0.6794;
388;0.2040;639;0.6676;
390;0.2130;640;0.6586;
390;0.2170;641;0.6501;
392;0.2220;642;0.6384;
392;0.2250;643;0.6277;
394;0.2320;644;0.6164;
394;0.2390;645;0.6039;
396;0.2450;646;0.5863;
396;0.2510;647;0.5710;
398;0.2660;648;0.5558;
398;0.2580;649;0.5354;
400;0.2720;650;0.5170;
400;0.2810;651;0.4959;
402;0.2880;652;0.4755;
402;0.2940;653;0.4580;
404;0.3050;654;0.4386;
404;0.3120;655;0.4222;
406;0.3310;656;0.4096;
406;0.3220;657;0.3942;
408;0.3410;658;0.3814;
408;0.3500;659;0.3694;
409;0.3590;660;0.3590;
411;0.3700;661;0.3489;
411;0.3780;662;0.3390;
413;0.3900;663;0.3302;
413;0.3990;664;0.3229;
415;0.4200;665;0.3183;
415;0.4100;666;0.3110;
417;0.4310;667;0.3068;
417;0.4400;668;0.3010;
419;0.4590;669;0.2966;
419;0.4500;670;0.2918;
421;0.4700;671;0.2874;
421;0.4790;672;0.2859;
423;0.5000;673;0.2817;
423;0.4910;674;0.2785;
425;0.5200;675;0.2741;
425;0.5110;676;0.2692;
427;0.5470;677;0.2677;
427;0.5340;678;0.2639;
429;0.5620;679;0.2596;
430;0.5740;680;0.2567;
430;0.5880;681;0.2504;
432;0.6040;682;0.2487;
432;0.6220;683;0.2446;
434;0.6370;684;0.2382;
434;0.6470;685;0.2336;
436;0.6740;686;0.2314;
436;0.6620;687;0.2248;
438;0.6890;688;0.2209;
438;0.7000;689;0.2160;
440;0.7150;690;0.2108;
440;0.7080;691;0.2025;
442;0.7220;692;0.1988;
442;0.7260;693;0.1929;
444;0.7280;694;0.1900;
444;0.7260;695;0.1820;
446;0.7210;696;0.1766;
446;0.7130;697;0.1727;
448;0.6820;698;0.1670;
448;0.6980;699;0.1610;
450;0.6640;700;0.1550;
451;0.6260;701;0.1504;
451;0.6450;702;0.1470;
453;0.5850;703;0.1429;
453;0.6030;704;0.1395;
455;0.5570;705;0.1344;
455;0.5680;706;0.1313;
457;0.5460;707;0.1281;
457;0.5490;708;0.1244;
459;0.5490;709;0.1196;
459;0.5580;710;0.1186;
461;0.5840;711;0.1154;
461;0.5710;712;0.1109;
462;0.6090;713;0.1081;
464;0.6340;714;0.1058;
464;0.6560;715;0.1036;
466;0.6830;716;0.1005;
466;0.7030;717;0.0978;
468;0.7240;718;0.0941;
468;0.7430;719;0.0924;
470;0.7580;720;0.0880;
470;0.7700;721;0.0848;
471;0.7780;722;0.0844;
473;0.7780;723;0.0804;
473;0.7730;724;0.0778;
475;0.7380;725;0.0750;
475;0.7590;726;0.0729;
477;0.6660;727;0.0701;
477;0.7020;728;0.0687;
478;0.6250;729;0.0668;
480;0.5180;730;0.0650;
480;0.5690;731;0.0619;
482;0.4430;732;0.0605;
482;0.3850;733;0.0583;
484;0.3310;734;0.0574;
484;0.2950;735;0.0553;
485;0.2470;736;0.0534;
487;0.1950;737;0.0534;
487;0.1600;738;0.0518;
489;0.1150;739;0.0494;
489;0.1330;740;0.0489;
491;0.0910;741;0.0488;
492;0.0610;742;0.0469;
492;0.0720;743;0.0456;
494;0.0490;744;0.0445;
494;0.0420;745;0.0435;
496;0.0350;746;0.0420;
497;0.0240;747;0.0405;
497;0.0280;748;0.0400;
499;0.0200;749;0.0392;
499;0.0170;750;0.0395;
501;0.0150;751;0.0384;
502;0.0130;752;0.0376;
502;0.0110;753;0.0358;
504;0.0100;754;0.0359;
504;0.0080;755;0.0347;
506;0.0070;756;0.0345;
507;0.0060;757;0.0335;
507;0.0060;758;0.0331;
509;0.0050;759;0.0319;
509;0.0050;760;0.0308;
510;0.0040;761;0.0313;
512;0.0040;762;0.0301;
512;0.0040;763;0.0303;
514;0.0030;764;0.0282;
514;0.0030;765;0.0285;
515;0.0030;766;0.0274;
517;0.0030;767;0.0270;
517;0.0030;768;0.0266;
519;0.0020;769;0.0254;
520;0.0020;770;0.0245;
520;0.0020;771;0.0244;
522;0.0020;772;0.0243;
522;0.0020;773;0.0232;
523;0.0020;774;0.0239;
525;0.0020;775;0.0223;
525;0.0020;776;0.0216;
526;0.0010;777;0.0209;
528;0.0010;778;0.0210;
528;0.0010;779;0.0194;
