Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.6500;500;0.0020;
251;0.6350;501;0.0010;
252;0.6160;502;0.0010;
253;0.5920;503;0.0010;
254;0.5620;504;0.0010;
255;0.5300;505;0.0010;
256;0.4960;506;0.0010;
257;0.4630;507;0.0010;
258;0.4310;508;0.0010;
259;0.4010;509;0.0010;
260;0.3730;510;0.0010;
261;0.3470;511;0.0010;
262;0.3250;512;0.0010;
263;0.3040;513;0.0010;
264;0.2850;514;0.0020;
265;0.2670;515;0.0020;
266;0.2510;516;0.0020;
267;0.2370;517;0.0020;
268;0.2240;518;0.0020;
269;0.2130;519;0.0020;
270;0.2030;520;0.0020;
271;0.1960;521;0.0020;
272;0.1890;522;0.0020;
273;0.1850;523;0.0030;
274;0.1810;524;0.0030;
275;0.1790;525;0.0030;
276;0.1770;526;0.0030;
277;0.1770;527;0.0030;
278;0.1780;528;0.0030;
279;0.1800;529;0.0040;
280;0.1820;530;0.0040;
281;0.1860;531;0.0040;
282;0.1890;532;0.0050;
283;0.1930;533;0.0050;
284;0.1980;534;0.0050;
285;0.2030;535;0.0060;
286;0.2080;536;0.0060;
287;0.2120;537;0.0070;
288;0.2160;538;0.0070;
289;0.2200;539;0.0080;
290;0.2220;540;0.0080;
291;0.2230;541;0.0090;
292;0.2240;542;0.0100;
293;0.2230;543;0.0100;
294;0.2210;544;0.0110;
295;0.2190;545;0.0120;
296;0.2150;546;0.0130;
297;0.2110;547;0.0140;
298;0.2060;548;0.0150;
299;0.2010;549;0.0160;
300;0.1960;550;0.0170;
301;0.1910;551;0.0190;
302;0.1860;552;0.0200;
303;0.1810;553;0.0210;
304;0.1770;554;0.0230;
305;0.1740;555;0.0240;
306;0.1720;556;0.0260;
307;0.1700;557;0.0280;
308;0.1690;558;0.0300;
309;0.1680;559;0.0320;
310;0.1690;560;0.0340;
311;0.1700;561;0.0360;
312;0.1710;562;0.0380;
313;0.1720;563;0.0410;
314;0.1730;564;0.0440;
315;0.1740;565;0.0460;
316;0.1750;566;0.0490;
317;0.1750;567;0.0520;
318;0.1740;568;0.0550;
319;0.1730;569;0.0580;
320;0.1720;570;0.0620;
321;0.1710;571;0.0650;
322;0.1690;572;0.0700;
323;0.1670;573;0.0740;
324;0.1640;574;0.0780;
325;0.1620;575;0.0820;
326;0.1590;576;0.0870;
327;0.1560;577;0.0920;
328;0.1530;578;0.0970;
329;0.1500;579;0.1020;
330;0.1470;580;0.1080;
331;0.1440;581;0.1130;
332;0.1410;582;0.1200;
333;0.1380;583;0.1250;
334;0.1350;584;0.1320;
335;0.1320;585;0.1380;
336;0.1290;586;0.1460;
337;0.1270;587;0.1540;
338;0.1240;588;0.1610;
339;0.1220;589;0.1700;
340;0.1210;590;0.1790;
341;0.1210;591;0.1870;
342;0.1200;592;0.1960;
343;0.1200;593;0.2060;
344;0.1210;594;0.2150;
345;0.1230;595;0.2260;
346;0.1260;596;0.2360;
347;0.1290;597;0.2470;
348;0.1320;598;0.2570;
349;0.1370;599;0.2690;
350;0.1410;600;0.2800;
351;0.1470;601;0.2940;
352;0.1530;602;0.3050;
353;0.1590;603;0.3180;
354;0.1650;604;0.3320;
355;0.1710;605;0.3450;
356;0.1780;606;0.3590;
