Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
251;0.0315;550;0.0043;
252;0.0293;551;0.0043;
253;0.0272;552;0.0043;
254;0.0259;553;0.0043;
255;0.0239;554;0.0043;
256;0.0228;555;0.0043;
257;0.0217;556;0.0043;
258;0.0218;557;0.0043;
259;0.0218;558;0.0043;
260;0.0217;559;0.0043;
261;0.0230;560;0.0043;
262;0.0229;561;0.0043;
263;0.0236;562;0.0043;
264;0.0247;563;0.0043;
265;0.0258;564;0.0043;
266;0.0268;565;0.0043;
267;0.0284;566;0.0043;
268;0.0292;567;0.0043;
269;0.0315;568;0.0043;
270;0.0316;569;0.0043;
271;0.0348;570;0.0043;
272;0.0359;571;0.0043;
273;0.0393;572;0.0043;
274;0.0405;573;0.0043;
275;0.0437;574;0.0043;
276;0.0459;575;0.0043;
277;0.0482;576;0.0043;
278;0.0503;577;0.0044;
279;0.0534;578;0.0054;
280;0.0561;579;0.0054;
281;0.0586;580;0.0054;
282;0.0619;581;0.0054;
283;0.0647;582;0.0054;
284;0.0689;583;0.0054;
285;0.0721;584;0.0056;
286;0.0746;585;0.0065;
287;0.0788;586;0.0064;
288;0.0826;587;0.0077;
289;0.0856;588;0.0080;
290;0.0889;589;0.0091;
291;0.0913;590;0.0102;
292;0.0947;591;0.0126;
293;0.0980;592;0.0135;
294;0.1002;593;0.0158;
295;0.1013;594;0.0181;
296;0.1036;595;0.0203;
297;0.1047;596;0.0232;
298;0.1056;597;0.0269;
299;0.1057;598;0.0310;
300;0.1042;599;0.0366;
301;0.1032;600;0.0432;
302;0.1009;601;0.0498;
303;0.0986;602;0.0598;
304;0.0960;603;0.0687;
305;0.0932;604;0.0776;
306;0.0908;605;0.0912;
307;0.0899;606;0.1046;
308;0.0876;607;0.1204;
309;0.0861;608;0.1384;
310;0.0850;609;0.1603;
311;0.0838;610;0.1850;
312;0.0839;611;0.2137;
313;0.0818;612;0.2471;
314;0.0807;613;0.2814;
