Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
395;1.0000;450;0.0101;
396;0.9978;451;0.0095;
397;0.9899;452;0.0090;
398;0.9935;453;0.0091;
399;0.9829;454;0.0094;
400;0.9765;455;0.0098;
401;0.9683;456;0.0094;
402;0.9637;457;0.0092;
403;0.9486;458;0.0095;
404;0.9450;459;0.0097;
405;0.9327;460;0.0108;
406;0.9224;461;0.0106;
407;0.9135;462;0.0114;
408;0.9101;463;0.0115;
409;0.8976;464;0.0123;
410;0.8867;465;0.0125;
411;0.8759;466;0.0131;
412;0.8692;467;0.0134;
413;0.8511;468;0.0134;
414;0.8435;469;0.0142;
415;0.8322;470;0.0150;
416;0.8194;471;0.0160;
417;0.8086;472;0.0169;
418;0.7959;473;0.0176;
419;0.7857;474;0.0186;
420;0.7748;475;0.0194;
421;0.7625;476;0.0218;
422;0.7521;477;0.0239;
423;0.7426;478;0.0270;
424;0.7324;479;0.0294;
425;0.7215;480;0.0324;
426;0.7133;481;0.0367;
427;0.7040;482;0.0409;
428;0.6945;483;0.0452;
429;0.6866;484;0.0515;
430;0.6778;485;0.0557;
431;0.6711;486;0.0644;
432;0.6628;487;0.0716;
433;0.6554;488;0.0814;
434;0.6486;489;0.0898;
435;0.6411;490;0.0995;
436;0.6353;491;0.1155;
437;0.6280;492;0.1293;
438;0.6218;493;0.1452;
439;0.6149;494;0.1605;
440;0.6082;495;0.1814;
441;0.6006;496;0.2033;
442;0.5933;497;0.2268;
443;0.5856;498;0.2535;
444;0.5771;499;0.2785;
445;0.5685;500;0.3091;
446;0.5596;501;0.3376;
447;0.5507;502;0.3754;
448;0.5408;503;0.4189;
449;0.5310;504;0.4576;
450;0.5211;505;0.4952;
451;0.5112;506;0.5408;
452;0.5016;507;0.5878;
453;0.4917;508;0.6305;
454;0.4819;509;0.6758;
455;0.4724;510;0.7231;
456;0.4632;511;0.7583;
457;0.4542;512;0.8064;
458;0.4455;513;0.8479;
459;0.4373;514;0.8930;
460;0.4296;515;0.9213;
461;0.4219;516;0.9508;
462;0.4148;517;0.9688;
463;0.4080;518;0.9926;
464;0.4020;519;0.9978;
465;0.3962;520;1.0000;
466;0.3910;521;0.9979;
467;0.3864;522;0.9826;
468;0.3823;523;0.9640;
469;0.3790;524;0.9385;
470;0.3767;525;0.9164;
471;0.3752;526;0.8634;
472;0.3746;527;0.8319;
473;0.3753;528;0.7840;
474;0.3769;529;0.7395;
475;0.3802;530;0.6873;
476;0.3847;531;0.6481;
477;0.3908;532;0.5902;
478;0.3984;533;0.5403;
479;0.4078;534;0.4994;
480;0.4186;535;0.4533;
481;0.4307;536;0.4124;
482;0.4448;537;0.3794;
483;0.4601;538;0.3352;
484;0.4765;539;0.3081;
485;0.4941;540;0.2698;
486;0.5123;541;0.2494;
487;0.5315;542;0.2200;
488;0.5516;543;0.2026;
489;0.5712;544;0.1771;
490;0.5908;545;0.1624;
491;0.6096;546;0.1455;
492;0.6290;547;0.1334;
493;0.6478;548;0.1179;
494;0.6645;549;0.1080;
495;0.6811;550;0.0990;
496;0.6945;551;0.0896;
497;0.7080;552;0.0785;
498;0.7183;553;0.0736;
499;0.7274;554;0.0672;
500;0.7333;555;0.0624;
501;0.7373;556;0.0558;
502;0.7396;557;0.0534;
503;0.7386;558;0.0474;
504;0.7349;559;0.0456;
505;0.7290;560;0.0414;
506;0.7190;561;0.0385;
507;0.7062;562;0.0364;
508;0.6919;563;0.0337;
509;0.6715;564;0.0325;
510;0.6498;565;0.0304;
511;0.6250;566;0.0276;
512;0.5976;567;0.0262;
513;0.5683;568;0.0246;
514;0.5365;569;0.0233;
515;0.5038;570;0.0229;
516;0.4693;571;0.0214;
517;0.4348;572;0.0209;
518;0.4004;573;0.0192;
519;0.3661;574;0.0177;
520;0.3328;575;0.0183;
521;0.3010;576;0.0173;
522;0.2707;577;0.0164;
523;0.2420;578;0.0154;
524;0.2153;579;0.0155;
525;0.1909;580;0.0148;
526;0.1686;581;0.0150;
527;0.1484;582;0.0139;
528;0.1302;583;0.0127;
529;0.1142;584;0.0132;
530;0.0999;585;0.0127;
531;0.0874;586;0.0127;
532;0.0765;587;0.0119;
533;0.0671;588;0.0115;
534;0.0588;589;0.0118;
535;0.0517;590;0.0114;
536;0.0456;591;0.0112;
537;0.0404;592;0.0111;
538;0.0358;593;0.0107;
539;0.0320;594;0.0105;
540;0.0286;595;0.0102;
541;0.0257;596;0.0100;
542;0.0232;597;0.0101;
543;0.0210;598;0.0100;
544;0.0191;599;0.0096;
545;0.0174;600;0.0090;
546;0.0159;601;0.0092;
547;0.0145;602;0.0091;
548;0.0134;603;0.0088;
549;0.0124;604;0.0085;
550;0.0114;605;0.0091;
551;0.0105;606;0.0087;
552;0.0098;607;0.0086;
553;0.0090;608;0.0081;
554;0.0085;609;0.0080;
555;0.0078;610;0.0080;
556;0.0073;611;0.0079;
557;0.0067;612;0.0079;
558;0.0063;613;0.0082;
559;0.0058;614;0.0078;
560;0.0055;615;0.0074;
561;0.0051;616;0.0077;
562;0.0047;617;0.0072;
563;0.0044;618;0.0069;
564;0.0042;619;0.0076;
565;0.0039;620;0.0068;
566;0.0036;621;0.0067;
567;0.0034;622;0.0071;
568;0.0032;623;0.0068;
569;0.0030;624;0.0071;
570;0.0028;625;0.0068;
571;0.0026;626;0.0066;
572;0.0024;627;0.0060;
573;0.0023;628;0.0062;
574;0.0020;629;0.0062;
575;0.0020;630;0.0059;
576;0.0019;631;0.0059;
577;0.0018;632;0.0054;
578;0.0017;633;0.0060;
579;0.0016;634;0.0058;
580;0.0015;635;0.0057;
581;0.0014;636;0.0052;
582;0.0014;637;0.0056;
583;0.0012;638;0.0054;
584;0.0011;639;0.0054;
585;0.0011;640;0.0053;
586;0.0010;641;0.0050;
587;0.0010;642;0.0053;
588;0.0010;643;0.0051;
589;0.0009;644;0.0048;
590;0.0009;645;0.0053;
591;0.0008;646;0.0050;
592;0.0008;647;0.0049;
593;0.0008;648;0.0047;
594;0.0007;649;0.0049;
595;0.0006;650;0.0045;
596;0.0007;651;0.0049;
597;0.0006;652;0.0045;
598;0.0006;653;0.0044;
599;0.0006;654;0.0043;
600;0.0005;655;0.0043;
601;0.0005;656;0.0042;
602;0.0005;657;0.0045;
603;0.0005;658;0.0040;
