Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
452;0.0007;530;0.0174;
453;0.0019;531;0.0188;
454;0.0030;532;0.0204;
455;0.0044;533;0.0223;
456;0.0061;534;0.0246;
457;0.0075;535;0.0272;
458;0.0094;536;0.0303;
459;0.0112;537;0.0340;
460;0.0131;538;0.0385;
461;0.0152;539;0.0439;
462;0.0176;540;0.0503;
463;0.0197;541;0.0580;
464;0.0220;542;0.0673;
465;0.0243;543;0.0784;
466;0.0272;544;0.0917;
467;0.0300;545;0.1074;
468;0.0332;546;0.1258;
469;0.0363;547;0.1472;
470;0.0403;548;0.1721;
471;0.0440;549;0.2007;
472;0.0482;550;0.2336;
473;0.0524;551;0.2713;
474;0.0574;552;0.3140;
475;0.0620;553;0.3608;
476;0.0674;554;0.4117;
477;0.0723;555;0.4660;
478;0.0782;556;0.5229;
479;0.0833;557;0.5819;
480;0.0892;558;0.6415;
481;0.0943;559;0.7012;
482;0.1002;560;0.7583;
483;0.1051;561;0.8120;
484;0.1105;562;0.8609;
485;0.1156;563;0.9036;
486;0.1208;564;0.9384;
487;0.1255;565;0.9664;
488;0.1304;566;0.9862;
489;0.1355;567;0.9969;
490;0.1402;568;1.0000;
491;0.1456;569;0.9955;
492;0.1510;570;0.9833;
493;0.1571;571;0.9640;
494;0.1632;572;0.9395;
495;0.1704;573;0.9107;
496;0.1777;574;0.8777;
497;0.1866;575;0.8421;
498;0.1955;576;0.8047;
499;0.2060;577;0.7657;
500;0.2168;578;0.7261;
501;0.2296;579;0.6869;
502;0.2434;580;0.6477;
503;0.2568;581;0.6100;
504;0.2734;582;0.5738;
505;0.2884;583;0.5392;
506;0.3064;584;0.5072;
507;0.3240;585;0.4774;
508;0.3429;586;0.4495;
509;0.3610;587;0.4237;
510;0.3813;588;0.3995;
511;0.4005;589;0.3767;
512;0.4176;590;0.3558;
513;0.4359;591;0.3367;
514;0.4506;592;0.3193;
515;0.4649;593;0.3035;
516;0.4764;594;0.2890;
517;0.4862;595;0.2760;
518;0.4934;596;0.2643;
519;0.4977;597;0.2540;
520;0.5002;598;0.2445;
521;0.5002;599;0.2362;
522;0.4988;600;0.2286;
523;0.4960;601;0.2217;
524;0.4920;602;0.2156;
525;0.4881;603;0.2102;
526;0.4846;604;0.2053;
527;0.4813;605;0.2006;
528;0.4794;606;0.1961;
529;0.4792;607;0.1916;
530;0.4806;608;0.1871;
531;0.4843;609;0.1827;
532;0.4902;610;0.1784;
533;0.4977;611;0.1738;
534;0.5087;612;0.1690;
535;0.5220;613;0.1640;
536;0.5358;614;0.1589;
537;0.5543;615;0.1535;
538;0.5733;616;0.1482;
539;0.5960;617;0.1426;
540;0.6222;618;0.1369;
541;0.6482;619;0.1310;
542;0.6786;620;0.1251;
543;0.7093;621;0.1193;
544;0.7449;622;0.1136;
545;0.7814;623;0.1079;
546;0.8158;624;0.1024;
547;0.8539;625;0.0969;
548;0.8900;626;0.0915;
549;0.9209;627;0.0863;
550;0.9511;628;0.0814;
551;0.9731;629;0.0767;
552;0.9904;630;0.0722;
553;0.9995;631;0.0679;
554;1.0000;632;0.0637;
555;0.9967;633;0.0597;
556;0.9651;634;0.0560;
557;0.9370;635;0.0524;
558;0.8968;636;0.0491;
559;0.8483;637;0.0460;
560;0.7992;638;0.0431;
561;0.7397;639;0.0404;
562;0.6824;640;0.0380;
563;0.6180;641;0.0357;
564;0.5534;642;0.0336;
565;0.4974;643;0.0316;
566;0.4396;644;0.0296;
567;0.3837;645;0.0279;
568;0.3359;646;0.0263;
569;0.2882;647;0.0248;
570;0.2446;648;0.0234;
571;0.2088;649;0.0220;
572;0.1744;650;0.0208;
573;0.1442;;;
574;0.1199;;;
575;0.0969;;;
576;0.0772;;;
577;0.0618;;;
578;0.0475;;;
579;0.0351;;;
580;0.0257;;;
581;0.0171;;;
582;0.0096;;;
