Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
350;0.0078;480;0.0098;
351;0.0062;481;0.0099;
352;0.0050;482;0.0129;
353;0.0039;483;0.0151;
354;0.0030;484;0.0180;
355;0.0022;485;0.0227;
356;0.0015;486;0.0280;
357;0.0012;487;0.0327;
358;0.0008;488;0.0394;
359;0.0006;489;0.0502;
360;0.0002;490;0.0591;
361;0.0003;491;0.0699;
362;0.0001;492;0.0884;
363;0.0003;493;0.1016;
364;0.0003;494;0.1199;
365;0.0004;495;0.1451;
366;0.0005;496;0.1682;
367;0.0006;497;0.1995;
368;0.0012;498;0.2302;
369;0.0012;499;0.2693;
370;0.0014;500;0.3085;
371;0.0016;501;0.3546;
372;0.0015;502;0.4097;
373;0.0013;503;0.4542;
374;0.0019;504;0.5087;
375;0.0020;505;0.5728;
376;0.0018;506;0.6162;
377;0.0020;507;0.6778;
378;0.0016;508;0.7261;
379;0.0018;509;0.7790;
380;0.0010;510;0.8140;
381;0.0009;511;0.8617;
382;0.0007;512;0.8982;
383;0.0001;513;0.9350;
384;0.0035;514;0.9466;
385;0.0032;515;0.9693;
386;0.0033;516;0.9801;
387;0.0028;517;0.9887;
388;0.0031;518;0.9889;
389;0.0028;519;1.0000;
390;0.0030;520;0.9917;
391;0.0029;521;0.9836;
392;0.0029;522;0.9830;
393;0.0030;523;0.9739;
394;0.0033;524;0.9509;
395;0.0032;525;0.9322;
396;0.0032;526;0.9138;
397;0.0034;527;0.8863;
398;0.0038;528;0.8626;
399;0.0039;529;0.8527;
400;0.0041;530;0.8228;
401;0.0046;531;0.8054;
402;0.0048;532;0.7775;
403;0.0052;533;0.7494;
404;0.0057;534;0.7228;
405;0.0063;535;0.7016;
406;0.0070;536;0.6750;
407;0.0073;537;0.6523;
408;0.0081;538;0.6367;
409;0.0089;539;0.6166;
410;0.0100;540;0.5987;
411;0.0110;541;0.5710;
412;0.0121;542;0.5651;
413;0.0133;543;0.5500;
414;0.0147;544;0.5326;
415;0.0162;545;0.5144;
416;0.0179;546;0.5049;
