Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.1711;500;0.0116;
301;0.1711;501;0.0116;
302;0.1711;502;0.0116;
303;0.1711;503;0.0116;
304;0.1711;504;0.0116;
305;0.1711;505;0.0116;
306;0.1711;506;0.0116;
307;0.1711;507;0.0116;
308;0.1712;508;0.0116;
309;0.1749;509;0.0116;
310;0.1760;510;0.0116;
311;0.1761;511;0.0116;
312;0.1761;512;0.0116;
313;0.1761;513;0.0116;
314;0.1761;514;0.0116;
315;0.1761;515;0.0116;
316;0.1761;516;0.0116;
317;0.1761;517;0.0116;
318;0.1760;518;0.0116;
319;0.1753;519;0.0116;
320;0.1710;520;0.0116;
321;0.1711;521;0.0116;
322;0.1672;522;0.0116;
323;0.1661;523;0.0116;
324;0.1658;524;0.0116;
325;0.1608;525;0.0116;
326;0.1601;526;0.0119;
327;0.1564;527;0.0145;
328;0.1563;528;0.0166;
329;0.1511;529;0.0166;
330;0.1510;530;0.0166;
331;0.1456;531;0.0166;
332;0.1439;532;0.0166;
333;0.1412;533;0.0166;
334;0.1383;534;0.0164;
335;0.1362;535;0.0216;
336;0.1312;536;0.0199;
337;0.1312;537;0.0217;
338;0.1284;538;0.0216;
339;0.1255;539;0.0225;
340;0.1226;540;0.0261;
341;0.1214;541;0.0266;
342;0.1165;542;0.0265;
343;0.1163;543;0.0299;
344;0.1143;544;0.0316;
345;0.1112;545;0.0336;
346;0.1113;546;0.0367;
347;0.1114;547;0.0383;
348;0.1084;548;0.0415;
349;0.1063;549;0.0445;
350;0.1063;550;0.0465;
351;0.1063;551;0.0514;
352;0.1064;552;0.0536;
353;0.1039;553;0.0588;
354;0.1012;554;0.0633;
355;0.1013;555;0.0676;
356;0.1013;556;0.0725;
357;0.1013;557;0.0797;
358;0.1013;558;0.0820;
359;0.1013;559;0.0892;
360;0.1013;560;0.0988;
361;0.1013;561;0.1024;
362;0.1013;562;0.1055;
363;0.1013;563;0.1150;
364;0.1013;564;0.1276;
365;0.1013;565;0.1304;
366;0.1013;566;0.1403;
367;0.1013;567;0.1550;
368;0.1013;568;0.1623;
369;0.1013;569;0.1689;
370;0.1013;570;0.1851;
371;0.1025;571;0.1988;
372;0.1064;572;0.2018;
373;0.1063;573;0.2151;
374;0.1063;574;0.2334;
