Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.3535;530;0.0332;
301;0.3492;531;0.0377;
302;0.3468;532;0.0437;
303;0.3409;533;0.0508;
304;0.3364;534;0.0594;
305;0.3304;535;0.0687;
306;0.3241;536;0.0796;
307;0.3156;537;0.0930;
308;0.3068;538;0.1063;
309;0.2961;539;0.1247;
310;0.2850;540;0.1427;
311;0.2727;541;0.1642;
312;0.2609;542;0.1878;
313;0.2492;543;0.2145;
314;0.2386;544;0.2410;
315;0.2287;545;0.2733;
316;0.2194;546;0.3062;
317;0.2117;547;0.3453;
318;0.2050;548;0.3822;
319;0.1991;549;0.4242;
320;0.1950;550;0.4662;
321;0.1928;551;0.5098;
322;0.1885;552;0.5545;
323;0.1871;553;0.6008;
324;0.1867;554;0.6472;
325;0.1875;555;0.6918;
326;0.1898;556;0.7372;
327;0.1918;557;0.7791;
328;0.1959;558;0.8212;
329;0.2004;559;0.8547;
330;0.2069;560;0.8884;
331;0.2127;561;0.9177;
332;0.2211;562;0.9471;
333;0.2284;563;0.9644;
334;0.2380;564;0.9781;
335;0.2468;565;0.9884;
336;0.2572;566;0.9991;
337;0.2669;567;1.0000;
338;0.2775;568;0.9949;
339;0.2874;569;0.9866;
340;0.2971;570;0.9743;
341;0.3068;571;0.9582;
342;0.3157;572;0.9370;
343;0.3252;573;0.9174;
344;0.3332;574;0.8955;
345;0.3417;575;0.8667;
346;0.3500;576;0.8429;
347;0.3586;577;0.8099;
348;0.3662;578;0.7825;
349;0.3744;579;0.7520;
350;0.3808;580;0.7219;
351;0.3877;581;0.6906;
352;0.3932;582;0.6601;
353;0.3977;583;0.6293;
354;0.4004;584;0.6031;
355;0.4008;585;0.5743;
356;0.4001;586;0.5456;
357;0.3962;587;0.5180;
358;0.3912;588;0.4956;
359;0.3836;589;0.4704;
360;0.3742;590;0.4494;
361;0.3632;591;0.4266;
362;0.3511;592;0.4079;
363;0.3373;593;0.3881;
364;0.3228;594;0.3716;
365;0.3086;595;0.3539;
366;0.2938;596;0.3386;
367;0.2785;597;0.3233;
368;0.2631;598;0.3109;
369;0.2489;599;0.2984;
370;0.2349;600;0.2866;
371;0.2211;601;0.2745;
372;0.2076;602;0.2666;
373;0.1951;603;0.2570;
374;0.1832;604;0.2491;
375;0.1719;605;0.2408;
376;0.1612;606;0.2333;
377;0.1512;607;0.2270;
378;0.1420;608;0.2223;
379;0.1338;609;0.2151;
380;0.1258;610;0.2092;
381;0.1186;611;0.2036;
382;0.1113;612;0.1984;
383;0.1054;613;0.1928;
384;0.0991;614;0.1885;
385;0.0939;615;0.1828;
386;0.0883;616;0.1798;
387;0.0843;617;0.1736;
388;0.0800;618;0.1692;
389;0.0762;619;0.1634;
390;0.0719;620;0.1594;
391;0.0690;621;0.1554;
392;0.0658;622;0.1505;
393;0.0625;623;0.1444;
394;0.0598;624;0.1417;
395;0.0567;625;0.1360;
396;0.0543;626;0.1322;
397;0.0517;627;0.1261;
398;0.0496;628;0.1215;
399;0.0473;629;0.1177;
400;0.0451;630;0.1122;
401;0.0431;631;0.1085;
402;0.0414;632;0.1036;
403;0.0395;633;0.1001;
404;0.0378;634;0.0960;
405;0.0362;635;0.0915;
406;0.0347;636;0.0876;
407;0.0335;637;0.0836;
408;0.0322;638;0.0798;
409;0.0313;639;0.0766;
410;0.0300;640;0.0728;
411;0.0292;641;0.0693;
412;0.0284;642;0.0663;
413;0.0273;643;0.0635;
414;0.0264;644;0.0605;
415;0.0257;645;0.0575;
416;0.0250;646;0.0553;
417;0.0242;647;0.0523;
418;0.0229;648;0.0505;
419;0.0222;649;0.0480;
420;0.0214;650;0.0457;
421;0.0204;651;0.0437;
422;0.0190;652;0.0417;
423;0.0179;653;0.0401;
424;0.0168;654;0.0383;
425;0.0157;655;0.0364;
426;0.0147;656;0.0349;
427;0.0135;657;0.0332;
428;0.0125;658;0.0319;
429;0.0114;659;0.0304;
430;0.0102;660;0.0295;
431;0.0091;661;0.0286;
432;0.0082;662;0.0269;
433;0.0073;663;0.0258;
434;0.0068;664;0.0254;
435;0.0061;665;0.0245;
436;0.0056;666;0.0235;
437;0.0053;667;0.0227;
438;0.0048;668;0.0218;
439;0.0046;669;0.0211;
440;0.0042;670;0.0208;
441;0.0044;671;0.0198;
442;0.0044;672;0.0191;
443;0.0046;673;0.0187;
444;0.0047;674;0.0182;
445;0.0050;675;0.0178;
446;0.0056;676;0.0170;
447;0.0060;677;0.0168;
448;0.0066;678;0.0160;
449;0.0071;679;0.0158;
450;0.0082;680;0.0154;
451;0.0091;681;0.0146;
452;0.0102;682;0.0144;
453;0.0112;683;0.0140;
454;0.0125;684;0.0139;
455;0.0139;685;0.0132;
456;0.0156;686;0.0130;
457;0.0171;687;0.0126;
458;0.0192;688;0.0123;
459;0.0208;689;0.0120;
460;0.0229;690;0.0115;
461;0.0248;691;0.0112;
462;0.0271;692;0.0112;
463;0.0293;693;0.0110;
464;0.0316;694;0.0104;
465;0.0343;695;0.0102;
466;0.0367;696;0.0100;
467;0.0395;697;0.0097;
468;0.0418;698;0.0096;
469;0.0447;699;0.0093;
470;0.0474;700;0.0092;
471;0.0504;;;
472;0.0534;;;
473;0.0567;;;
474;0.0598;;;
475;0.0633;;;
476;0.0670;;;
477;0.0710;;;
478;0.0751;;;
479;0.0797;;;
480;0.0844;;;
481;0.0898;;;
482;0.0952;;;
483;0.1015;;;
484;0.1082;;;
485;0.1155;;;
486;0.1233;;;
487;0.1315;;;
488;0.1406;;;
489;0.1501;;;
490;0.1598;;;
491;0.1702;;;
492;0.1810;;;
493;0.1920;;;
494;0.2032;;;
495;0.2144;;;
496;0.2258;;;
497;0.2373;;;
498;0.2487;;;
499;0.2597;;;
500;0.2704;;;
501;0.2804;;;
502;0.2906;;;
503;0.2998;;;
504;0.3087;;;
505;0.3172;;;
506;0.3253;;;
507;0.3332;;;
508;0.3411;;;
509;0.3486;;;
510;0.3565;;;
511;0.3646;;;
512;0.3734;;;
513;0.3825;;;
514;0.3926;;;
515;0.4038;;;
516;0.4163;;;
517;0.4300;;;
518;0.4457;;;
519;0.4628;;;
520;0.4821;;;
521;0.5030;;;
522;0.5262;;;
523;0.5513;;;
524;0.5782;;;
525;0.6063;;;
526;0.6359;;;
527;0.6670;;;
528;0.6987;;;
529;0.7315;;;
530;0.7637;;;
531;0.7971;;;
532;0.8293;;;
533;0.8606;;;
534;0.8894;;;
535;0.9165;;;
536;0.9402;;;
537;0.9608;;;
538;0.9774;;;
539;0.9890;;;
540;0.9971;;;
541;1.0000;;;
542;0.9986;;;
543;0.9908;;;
544;0.9786;;;
545;0.9606;;;
546;0.9382;;;
547;0.9108;;;
548;0.8791;;;
549;0.8444;;;
550;0.8064;;;
551;0.7654;;;
552;0.7223;;;
553;0.6776;;;
554;0.6318;;;
555;0.5853;;;
556;0.5391;;;
557;0.4936;;;
558;0.4499;;;
559;0.4074;;;
560;0.3672;;;
561;0.3288;;;
562;0.2933;;;
563;0.2602;;;
564;0.2294;;;
565;0.2008;;;
566;0.1749;;;
567;0.1514;;;
568;0.1303;;;
569;0.1117;;;
570;0.0947;;;
571;0.0803;;;
572;0.0679;;;
573;0.0569;;;
574;0.0471;;;
575;0.0388;;;
576;0.0317;;;
577;0.0254;;;
578;0.0200;;;
579;0.0153;;;
580;0.0116;;;
581;0.0084;;;
582;0.0054;;;
583;0.0031;;;
