Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
500;0.0256;650;0.0464;
501;0.0231;651;0.0536;
502;0.0200;652;0.0554;
503;0.0179;653;0.0592;
504;0.0160;654;0.0639;
505;0.0148;655;0.0610;
506;0.0134;656;0.0648;
507;0.0127;657;0.0662;
508;0.0117;658;0.0630;
509;0.0114;659;0.0664;
510;0.0104;660;0.0708;
511;0.0098;661;0.0716;
512;0.0100;662;0.0833;
513;0.0097;663;0.0870;
514;0.0102;664;0.0938;
515;0.0098;665;0.0958;
516;0.0102;666;0.1108;
517;0.0112;667;0.1199;
518;0.0111;668;0.1348;
519;0.0116;669;0.1433;
520;0.0116;670;0.1528;
521;0.0120;671;0.1675;
522;0.0126;672;0.1780;
523;0.0133;673;0.2010;
524;0.0143;674;0.2081;
525;0.0146;675;0.2325;
526;0.0154;676;0.2568;
527;0.0161;677;0.2729;
528;0.0165;678;0.2963;
529;0.0174;679;0.3223;
530;0.0179;680;0.3481;
531;0.0188;681;0.3764;
532;0.0194;682;0.4034;
533;0.0204;683;0.4376;
534;0.0223;684;0.4660;
535;0.0228;685;0.5117;
536;0.0236;686;0.5390;
537;0.0241;687;0.5657;
538;0.0246;688;0.6049;
539;0.0255;689;0.6386;
540;0.0264;690;0.6805;
541;0.0278;691;0.7134;
542;0.0287;692;0.7466;
543;0.0301;693;0.7793;
544;0.0314;694;0.7967;
545;0.0326;695;0.8316;
546;0.0340;696;0.8705;
547;0.0352;697;0.8900;
548;0.0373;698;0.9178;
549;0.0390;699;0.9444;
550;0.0401;700;0.9497;
551;0.0418;701;0.9818;
552;0.0434;702;0.9680;
553;0.0452;703;0.9828;
554;0.0473;704;0.9858;
555;0.0492;705;1.0000;
556;0.0510;706;0.9974;
557;0.0535;707;0.9915;
558;0.0556;708;0.9784;
559;0.0580;709;0.9849;
560;0.0598;710;0.9687;
561;0.0624;711;0.9344;
562;0.0651;712;0.9288;
563;0.0676;713;0.9304;
564;0.0699;714;0.8938;
565;0.0718;715;0.8747;
566;0.0748;716;0.8599;
567;0.0770;717;0.8342;
568;0.0793;718;0.8078;
569;0.0825;719;0.7810;
570;0.0853;720;0.7543;
571;0.0878;721;0.7332;
572;0.0903;722;0.7166;
573;0.0930;723;0.6907;
574;0.0959;724;0.6591;
575;0.0985;725;0.6315;
576;0.1012;726;0.6152;
577;0.1040;727;0.5841;
578;0.1071;728;0.5559;
579;0.1106;729;0.5380;
580;0.1131;730;0.5174;
581;0.1169;731;0.5036;
582;0.1202;732;0.4901;
583;0.1233;733;0.4566;
584;0.1264;734;0.4352;
585;0.1306;735;0.4258;
586;0.1346;736;0.4153;
587;0.1380;737;0.3971;
588;0.1424;738;0.3765;
589;0.1474;739;0.3662;
590;0.1522;740;0.3518;
591;0.1566;741;0.3409;
592;0.1621;742;0.3282;
593;0.1672;743;0.3123;
594;0.1728;744;0.3048;
595;0.1792;745;0.2926;
596;0.1856;746;0.2869;
597;0.1918;747;0.2760;
598;0.1989;748;0.2696;
599;0.2058;749;0.2541;
600;0.2132;750;0.2427;
601;0.2206;751;0.2421;
602;0.2288;752;0.2330;
603;0.2371;753;0.2256;
604;0.2453;754;0.2172;
605;0.2543;755;0.2189;
606;0.2627;756;0.2068;
607;0.2725;757;0.2054;
608;0.2814;758;0.2007;
609;0.2908;759;0.1894;
610;0.2996;760;0.1863;
611;0.3086;761;0.1835;
612;0.3179;762;0.1734;
613;0.3272;763;0.1724;
614;0.3364;764;0.1719;
615;0.3448;765;0.1649;
616;0.3542;766;0.1572;
617;0.3626;767;0.1632;
618;0.3706;768;0.1470;
619;0.3781;769;0.1526;
620;0.3858;770;0.1418;
621;0.3922;771;0.1380;
622;0.4000;772;0.1345;
623;0.4059;773;0.1290;
624;0.4117;774;0.1301;
625;0.4170;775;0.1268;
626;0.4222;776;0.1222;
627;0.4280;777;0.1262;
628;0.4325;778;0.1186;
629;0.4374;779;0.1129;
630;0.4405;780;0.1052;
631;0.4447;781;0.1092;
632;0.4485;782;0.1047;
633;0.4530;783;0.1016;
634;0.4578;784;0.0973;
635;0.4619;785;0.0917;
636;0.4662;786;0.0882;
637;0.4717;787;0.0864;
638;0.4768;788;0.0855;
639;0.4827;789;0.0849;
640;0.4887;790;0.0838;
641;0.4956;791;0.0800;
642;0.5031;792;0.0756;
643;0.5109;793;0.0735;
644;0.5194;794;0.0738;
645;0.5285;795;0.0674;
646;0.5381;796;0.0702;
647;0.5494;797;0.0678;
648;0.5604;798;0.0637;
649;0.5726;799;0.0588;
650;0.5859;800;0.0595;
651;0.5996;;;
652;0.6134;;;
653;0.6291;;;
654;0.6450;;;
655;0.6622;;;
656;0.6797;;;
657;0.6977;;;
658;0.7170;;;
659;0.7355;;;
660;0.7550;;;
661;0.7758;;;
662;0.7961;;;
663;0.8169;;;
664;0.8375;;;
665;0.8582;;;
666;0.8775;;;
667;0.8974;;;
668;0.9160;;;
669;0.9343;;;
670;0.9494;;;
671;0.9638;;;
672;0.9754;;;
673;0.9865;;;
674;0.9933;;;
675;0.9988;;;
676;1.0000;;;
677;0.9995;;;
678;0.9949;;;
679;0.9875;;;
680;0.9770;;;
681;0.9630;;;
682;0.9456;;;
683;0.9251;;;
684;0.9017;;;
685;0.8757;;;
686;0.8474;;;
687;0.8175;;;
688;0.7853;;;
689;0.7518;;;
690;0.7170;;;
691;0.6810;;;
692;0.6448;;;
693;0.6080;;;
694;0.5720;;;
695;0.5361;;;
696;0.5006;;;
697;0.4664;;;
698;0.4337;;;
699;0.4013;;;
700;0.3714;;;
701;0.3415;;;
702;0.3140;;;
703;0.2876;;;
704;0.2635;;;
705;0.2405;;;
706;0.2182;;;
707;0.1989;;;
708;0.1812;;;
709;0.1642;;;
710;0.1490;;;
711;0.1344;;;
712;0.1214;;;
713;0.1091;;;
714;0.0985;;;
715;0.0891;;;
716;0.0802;;;
717;0.0721;;;
718;0.0656;;;
719;0.0582;;;
720;0.0525;;;
721;0.0474;;;
722;0.0423;;;
723;0.0382;;;
724;0.0338;;;
725;0.0308;;;
726;0.0276;;;
727;0.0248;;;
728;0.0231;;;
729;0.0204;;;
730;0.0184;;;
731;0.0172;;;
732;0.0153;;;
733;0.0140;;;
734;0.0116;;;
735;0.0118;;;
736;0.0104;;;
737;0.0094;;;
738;0.0084;;;
739;0.0083;;;
740;0.0074;;;
741;0.0063;;;
742;0.0066;;;
743;0.0062;;;
744;0.0058;;;
745;0.0052;;;
746;0.0049;;;
747;0.0044;;;
748;0.0036;;;
749;0.0031;;;
