Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
450;0.3468;450;0.2743;
451;0.3581;451;0.3116;
452;0.3716;452;0.3494;
453;0.3823;453;0.3897;
454;0.3940;454;0.4260;
455;0.4033;455;0.4632;
456;0.4133;456;0.4993;
457;0.4210;457;0.5298;
458;0.4289;458;0.5580;
459;0.4379;459;0.5802;
460;0.4476;460;0.5999;
461;0.4573;461;0.6121;
462;0.4639;462;0.6208;
463;0.4686;463;0.6237;
464;0.4746;464;0.6222;
465;0.4850;465;0.6151;
466;0.5027;466;0.6051;
467;0.5104;467;0.5922;
468;0.5199;468;0.5759;
469;0.5347;469;0.5585;
470;0.5515;470;0.5395;
471;0.5666;471;0.5173;
472;0.5776;472;0.4985;
473;0.5972;473;0.4768;
474;0.6186;474;0.4574;
475;0.6366;475;0.4387;
476;0.6524;476;0.4202;
477;0.6662;477;0.4022;
478;0.6785;478;0.3874;
479;0.6912;479;0.3729;
480;0.6992;480;0.3599;
481;0.7040;481;0.3478;
482;0.7117;482;0.3358;
483;0.7157;483;0.3264;
484;0.7168;484;0.3177;
485;0.7141;485;0.3085;
486;0.7019;486;0.3006;
487;0.6896;487;0.2938;
488;0.6710;488;0.2881;
489;0.6521;489;0.2825;
490;0.6287;490;0.2775;
491;0.6060;491;0.2738;
492;0.5840;492;0.2690;
493;0.5555;493;0.2649;
494;0.5341;494;0.2596;
495;0.5110;495;0.2555;
496;0.4872;496;0.2499;
497;0.4682;497;0.2449;
498;0.4517;498;0.2402;
499;0.4374;499;0.2347;
500;0.4213;500;0.2288;
501;0.4177;501;0.2230;
502;0.4132;502;0.2165;
503;0.4102;503;0.2112;
504;0.4108;504;0.2043;
505;0.4123;505;0.1984;
506;0.4183;506;0.1927;
507;0.4258;507;0.1876;
508;0.4340;508;0.1828;
509;0.4446;509;0.1782;
510;0.4560;510;0.1745;
511;0.4678;511;0.1719;
512;0.4806;512;0.1699;
513;0.4928;513;0.1692;
514;0.5061;514;0.1691;
515;0.5182;515;0.1710;
516;0.5321;516;0.1747;
517;0.5432;517;0.1798;
518;0.5551;518;0.1857;
519;0.5641;519;0.1945;
520;0.5758;520;0.2048;
521;0.5827;521;0.2180;
522;0.5894;522;0.2337;
523;0.5960;523;0.2521;
524;0.6009;524;0.2736;
525;0.6050;525;0.2949;
526;0.6083;526;0.3225;
527;0.6095;527;0.3518;
528;0.6120;528;0.3837;
529;0.6151;529;0.4181;
530;0.6175;530;0.4523;
531;0.6201;531;0.4909;
532;0.6215;532;0.5331;
533;0.6251;533;0.5744;
534;0.6280;534;0.6162;
535;0.6330;535;0.6583;
536;0.6394;536;0.6977;
537;0.6498;537;0.7359;
538;0.6562;538;0.7730;
539;0.6683;539;0.8119;
540;0.6793;540;0.8437;
541;0.6922;541;0.8737;
542;0.7077;542;0.9020;
543;0.7240;543;0.9263;
544;0.7409;544;0.9474;
545;0.7607;545;0.9632;
546;0.7780;546;0.9762;
547;0.7972;547;0.9878;
548;0.8189;548;0.9954;
549;0.8409;549;0.9985;
550;0.8612;550;1.0000;
551;0.8818;551;0.9985;
552;0.9029;552;0.9943;
553;0.9240;553;0.9881;
554;0.9415;554;0.9796;
555;0.9568;555;0.9713;
556;0.9741;556;0.9595;
557;0.9837;557;0.9481;
558;0.9915;558;0.9365;
559;0.9974;559;0.9219;
560;1.0000;560;0.9085;
561;0.9982;561;0.8968;
562;0.9915;562;0.8849;
563;0.9800;563;0.8698;
564;0.9655;564;0.8567;
565;0.9490;565;0.8458;
566;0.9234;566;0.8326;
567;0.8970;567;0.8203;
568;0.8657;568;0.8048;
569;0.8306;569;0.7924;
570;0.7926;570;0.7799;
571;0.7554;571;0.7657;
572;0.7121;572;0.7542;
573;0.6687;573;0.7444;
574;0.6230;574;0.7319;
575;0.5787;575;0.7191;
576;0.5354;576;0.7089;
577;0.4924;577;0.6983;
578;0.4528;578;0.6896;
579;0.4137;579;0.6777;
580;0.3757;580;0.6700;
581;0.3392;581;0.6599;
582;0.3054;582;0.6515;
583;0.2737;583;0.6412;
584;0.2446;584;0.6328;
585;0.2173;585;0.6228;
;;586;0.6152;
;;587;0.6059;
;;588;0.5952;
;;589;0.5848;
;;590;0.5748;
;;591;0.5680;
;;592;0.5569;
;;593;0.5475;
;;594;0.5358;
;;595;0.5258;
;;596;0.5162;
;;597;0.5076;
;;598;0.4967;
;;599;0.4857;
;;600;0.4747;
;;601;0.4608;
;;602;0.4499;
;;603;0.4388;
;;604;0.4274;
;;605;0.4166;
;;606;0.4069;
;;607;0.3958;
;;608;0.3855;
;;609;0.3752;
;;610;0.3640;
;;611;0.3539;
;;612;0.3440;
;;613;0.3353;
;;614;0.3249;
;;615;0.3161;
;;616;0.3075;
;;617;0.2996;
;;618;0.2903;
;;619;0.2814;
;;620;0.2735;
;;621;0.2664;
;;622;0.2582;
;;623;0.2528;
;;624;0.2456;
;;625;0.2385;
;;626;0.2317;
;;627;0.2250;
;;628;0.2180;
;;629;0.2112;
;;630;0.2046;
;;631;0.1996;
;;632;0.1944;
;;633;0.1889;
;;634;0.1842;
;;635;0.1797;
;;636;0.1731;
;;637;0.1687;
;;638;0.1630;
;;639;0.1586;
;;640;0.1541;
;;641;0.1500;
;;642;0.1451;
;;643;0.1413;
;;644;0.1373;
;;645;0.1329;
;;646;0.1298;
;;647;0.1259;
;;648;0.1220;
;;649;0.1185;
;;650;0.1150;
;;651;0.1110;
;;652;0.1090;
;;653;0.1052;
;;654;0.1022;
;;655;0.0996;
;;656;0.0963;
;;657;0.0939;
;;658;0.0912;
;;659;0.0884;
;;660;0.0862;
;;661;0.0829;
;;662;0.0801;
;;663;0.0786;
;;664;0.0755;
;;665;0.0736;
;;666;0.0718;
;;667;0.0695;
;;668;0.0674;
;;669;0.0655;
;;670;0.0638;
;;671;0.0616;
;;672;0.0596;
;;673;0.0581;
;;674;0.0562;
;;675;0.0545;
;;676;0.0529;
;;677;0.0514;
;;678;0.0500;
;;679;0.0485;
;;680;0.0474;
;;681;0.0458;
;;682;0.0448;
;;683;0.0425;
;;684;0.0419;
;;685;0.0414;
;;686;0.0399;
;;687;0.0382;
;;688;0.0372;
;;689;0.0360;
;;690;0.0357;
;;691;0.0343;
;;692;0.0329;
;;693;0.0316;
;;694;0.0309;
;;695;0.0301;
;;696;0.0295;
;;697;0.0283;
;;698;0.0276;
;;699;0.0270;
;;700;0.0262;
;;701;0.0251;
;;702;0.0249;
;;703;0.0235;
;;704;0.0230;
;;705;0.0226;
;;706;0.0221;
;;707;0.0214;
;;708;0.0204;
;;709;0.0200;
;;710;0.0196;
;;711;0.0193;
;;712;0.0189;
;;713;0.0180;
;;714;0.0177;
;;715;0.0173;
;;716;0.0168;
;;717;0.0163;
;;718;0.0164;
;;719;0.0157;
;;720;0.0150;
;;721;0.0149;
;;722;0.0146;
;;723;0.0140;
;;724;0.0140;
;;725;0.0136;
;;726;0.0135;
;;727;0.0130;
;;728;0.0127;
;;729;0.0125;
;;730;0.0121;
;;731;0.0117;
;;732;0.0115;
;;733;0.0115;
;;734;0.0113;
;;735;0.0110;
;;736;0.0111;
;;737;0.0105;
;;738;0.0107;
;;739;0.0100;
;;740;0.0101;
;;741;0.0096;
;;742;0.0097;
;;743;0.0097;
;;744;0.0097;
;;745;0.0090;
;;746;0.0098;
;;747;0.0090;
;;748;0.0086;
;;749;0.0086;
;;750;0.0083;
;;751;0.0085;
;;752;0.0086;
;;753;0.0078;
;;754;0.0081;
;;755;0.0076;
;;756;0.0079;
;;757;0.0080;
;;758;0.0073;
;;759;0.0075;
;;760;0.0077;
;;761;0.0076;
;;762;0.0073;
;;763;0.0074;
;;764;0.0075;
