Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.3968;357;0.0041;
301;0.3846;358;0.0042;
302;0.3722;359;0.0042;
303;0.3692;360;0.0044;
304;0.3539;361;0.0045;
305;0.3519;362;0.0047;
306;0.3481;363;0.0049;
307;0.3467;364;0.0051;
308;0.3492;365;0.0053;
309;0.3512;366;0.0056;
310;0.3546;367;0.0058;
311;0.3637;368;0.0061;
312;0.3724;369;0.0064;
313;0.3858;370;0.0067;
314;0.3979;371;0.0070;
315;0.4046;372;0.0075;
316;0.4148;373;0.0079;
317;0.4246;374;0.0085;
318;0.4345;375;0.0092;
319;0.4462;376;0.0101;
320;0.4578;377;0.0113;
321;0.4698;378;0.0128;
322;0.4860;379;0.0146;
323;0.5082;380;0.0168;
324;0.5235;381;0.0196;
325;0.5420;382;0.0231;
326;0.5678;383;0.0272;
327;0.5818;384;0.0319;
328;0.6062;385;0.0371;
329;0.6197;386;0.0428;
330;0.6421;387;0.0490;
331;0.6627;388;0.0552;
332;0.6866;389;0.0617;
333;0.7090;390;0.0684;
334;0.7317;391;0.0752;
335;0.7536;392;0.0820;
336;0.7750;393;0.0895;
337;0.7968;394;0.0976;
338;0.8169;395;0.1064;
339;0.8373;396;0.1163;
340;0.8607;397;0.1277;
341;0.8788;398;0.1400;
342;0.8966;399;0.1533;
343;0.9151;400;0.1672;
344;0.9335;401;0.1826;
345;0.9470;402;0.1984;
346;0.9601;403;0.2152;
347;0.9701;404;0.2324;
348;0.9809;405;0.2505;
349;0.9871;406;0.2684;
350;0.9950;407;0.2869;
351;0.9973;408;0.3060;
352;1.0000;409;0.3252;
353;0.9977;410;0.3458;
354;0.9947;411;0.3663;
355;0.9902;412;0.3868;
356;0.9830;413;0.4083;
357;0.9726;414;0.4299;
358;0.9601;415;0.4517;
359;0.9485;416;0.4733;
360;0.9322;417;0.4955;
361;0.9171;418;0.5177;
362;0.9029;419;0.5396;
363;0.8846;420;0.5604;
364;0.8640;421;0.5806;
365;0.8436;422;0.6021;
366;0.8237;423;0.6233;
367;0.8012;424;0.6448;
368;0.7751;425;0.6649;
369;0.7507;426;0.6854;
370;0.7259;427;0.7059;
371;0.6992;428;0.7250;
372;0.6698;429;0.7438;
373;0.6428;430;0.7625;
374;0.6106;431;0.7809;
375;0.5786;432;0.7986;
376;0.5477;433;0.8149;
377;0.5162;434;0.8312;
378;0.4838;435;0.8462;
379;0.4516;436;0.8618;
380;0.4195;437;0.8767;
381;0.3927;438;0.8910;
382;0.3624;439;0.9028;
383;0.3341;440;0.9153;
384;0.3076;441;0.9257;
385;0.2815;442;0.9351;
386;0.2572;443;0.9444;
387;0.2339;444;0.9528;
388;0.2137;445;0.9608;
389;0.1928;446;0.9691;
390;0.1750;447;0.9764;
391;0.1581;448;0.9823;
392;0.1442;449;0.9878;
393;0.1292;450;0.9917;
394;0.1160;451;0.9955;
395;0.1046;452;0.9983;
396;0.0942;453;0.9986;
397;0.0832;454;0.9995;
398;0.0745;455;1.0000;
399;0.0677;456;0.9983;
400;0.0586;457;0.9958;
401;0.0533;458;0.9938;
402;0.0476;459;0.9913;
403;0.0422;460;0.9892;
404;0.0381;461;0.9851;
405;0.0346;462;0.9806;
406;0.0298;463;0.9764;
407;0.0284;464;0.9701;
408;0.0257;465;0.9646;
409;0.0231;466;0.9583;
410;0.0223;467;0.9514;
411;0.0197;468;0.9444;
412;0.0190;469;0.9372;
413;0.0185;470;0.9278;
414;0.0162;471;0.9194;
415;0.0142;472;0.9108;
416;0.0140;473;0.9014;
417;0.0126;474;0.8920;
418;0.0112;475;0.8819;
419;0.0118;476;0.8726;
420;0.0110;477;0.8632;
421;0.0104;478;0.8514;
422;0.0089;479;0.8399;
423;0.0111;480;0.8274;
424;0.0083;481;0.8142;
425;0.0073;482;0.8007;
426;0.0070;483;0.7864;
427;0.0071;484;0.7722;
428;0.0059;485;0.7590;
429;0.0063;486;0.7462;
430;0.0063;487;0.7337;
431;0.0037;488;0.7222;
432;0.0038;489;0.7118;
433;0.0039;490;0.7021;
434;0.0026;491;0.6917;
435;0.0040;492;0.6802;
436;0.0032;493;0.6701;
437;0.0023;494;0.6594;
438;0.0026;495;0.6486;
439;0.0017;496;0.6378;
440;0.0006;497;0.6271;
441;0.0012;498;0.6174;
443;0.0006;499;0.6073;
444;0.0017;500;0.5972;
445;0.0011;501;0.5868;
446;0.0024;502;0.5764;
447;0.0011;503;0.5660;
448;0.0030;504;0.5552;
449;0.0000;505;0.5441;
450;0.0007;506;0.5330;
;;507;0.5229;
;;508;0.5118;
;;509;0.5014;
;;510;0.4913;
;;511;0.4809;
;;512;0.4708;
;;513;0.4611;
;;514;0.4517;
;;515;0.4424;
;;516;0.4333;
;;517;0.4243;
;;518;0.4153;
;;519;0.4066;
;;520;0.3976;
;;521;0.3896;
;;522;0.3802;
;;523;0.3719;
;;524;0.3628;
;;525;0.3542;
;;526;0.3459;
;;527;0.3381;
;;528;0.3309;
;;529;0.3234;
;;530;0.3156;
;;531;0.3083;
;;532;0.3007;
;;533;0.2935;
;;534;0.2861;
;;535;0.2790;
;;536;0.2715;
;;537;0.2652;
;;538;0.2587;
;;539;0.2528;
;;540;0.2468;
;;541;0.2414;
;;542;0.2357;
;;543;0.2298;
;;544;0.2238;
;;545;0.2181;
;;546;0.2120;
;;547;0.2064;
;;548;0.2005;
;;549;0.1945;
;;550;0.1894;
;;551;0.1848;
;;552;0.1802;
;;553;0.1756;
;;554;0.1712;
;;555;0.1668;
;;556;0.1623;
;;557;0.1578;
;;558;0.1538;
;;559;0.1496;
;;560;0.1455;
;;561;0.1417;
;;562;0.1379;
;;563;0.1341;
;;564;0.1306;
;;565;0.1271;
;;566;0.1240;
;;567;0.1203;
;;568;0.1170;
;;569;0.1138;
;;570;0.1105;
;;571;0.1076;
;;572;0.1052;
;;573;0.1023;
;;574;0.0997;
;;575;0.0970;
;;576;0.0942;
;;577;0.0914;
;;578;0.0888;
;;579;0.0863;
;;580;0.0841;
;;581;0.0814;
;;582;0.0792;
;;583;0.0773;
;;584;0.0753;
;;585;0.0740;
;;586;0.0723;
;;587;0.0708;
;;588;0.0691;
;;589;0.0674;
;;590;0.0660;
;;591;0.0644;
;;592;0.0632;
;;593;0.0619;
;;594;0.0602;
;;595;0.0587;
;;596;0.0575;
;;597;0.0560;
;;598;0.0547;
;;599;0.0536;
;;600;0.0523;
;;601;0.0513;
;;602;0.0501;
;;603;0.0490;
;;604;0.0478;
;;605;0.0468;
;;606;0.0457;
;;607;0.0447;
;;608;0.0434;
;;609;0.0422;
;;610;0.0414;
;;611;0.0403;
;;612;0.0394;
;;613;0.0386;
;;614;0.0380;
;;615;0.0373;
;;616;0.0364;
;;617;0.0352;
;;618;0.0344;
;;619;0.0338;
;;620;0.0330;
;;621;0.0325;
;;622;0.0318;
;;623;0.0310;
;;624;0.0303;
;;625;0.0296;
;;626;0.0288;
;;627;0.0283;
;;628;0.0278;
;;629;0.0273;
;;630;0.0265;
;;631;0.0257;
;;632;0.0255;
;;633;0.0250;
;;634;0.0246;
;;635;0.0243;
;;636;0.0239;
;;637;0.0234;
;;638;0.0230;
;;639;0.0227;
;;640;0.0223;
;;641;0.0221;
