Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
200;0.1586;684;0.8109;
201;0.1511;685;0.8399;
202;0.2266;686;0.8693;
203;0.2244;687;0.8945;
204;0.2244;688;0.9242;
205;0.2367;689;0.9430;
206;0.2375;690;0.9596;
207;0.2460;691;0.9722;
208;0.2522;692;0.9879;
209;0.2583;693;0.9949;
210;0.2652;694;1.0000;
211;0.2710;695;0.9942;
212;0.2776;696;0.9881;
213;0.2829;697;0.9882;
214;0.2880;698;0.9778;
215;0.2924;699;0.9683;
216;0.2966;700;0.9475;
217;0.3013;701;0.9419;
218;0.3035;702;0.9198;
219;0.3066;703;0.9065;
220;0.3084;704;0.8730;
221;0.3101;705;0.8583;
222;0.3110;706;0.8346;
223;0.3109;707;0.8144;
224;0.3104;708;0.7903;
225;0.3084;709;0.7697;
226;0.3056;710;0.7416;
227;0.3018;711;0.7240;
228;0.2979;712;0.6925;
229;0.2944;713;0.6822;
230;0.2902;714;0.6526;
231;0.2855;715;0.6239;
232;0.2793;716;0.6016;
233;0.2704;717;0.5812;
234;0.2590;718;0.5574;
235;0.2449;719;0.5400;
236;0.2292;720;0.5182;
237;0.2131;721;0.5039;
238;0.1977;722;0.4906;
239;0.1825;723;0.4700;
240;0.1687;724;0.4535;
241;0.1562;725;0.4415;
242;0.1448;726;0.4304;
243;0.1351;727;0.4124;
244;0.1257;728;0.4032;
245;0.1177;729;0.3925;
246;0.1110;730;0.3773;
247;0.1048;731;0.3739;
248;0.1002;732;0.3597;
249;0.0957;733;0.3543;
250;0.0938;734;0.3419;
251;0.0918;735;0.3387;
252;0.0912;736;0.3299;
253;0.0916;737;0.3260;
254;0.0912;738;0.3158;
255;0.0934;739;0.3138;
256;0.0938;740;0.3022;
257;0.0952;741;0.3030;
258;0.0970;742;0.2966;
259;0.0984;743;0.2940;
260;0.0999;744;0.2877;
261;0.1005;745;0.2881;
262;0.1020;746;0.2859;
263;0.1024;747;0.2801;
264;0.1020;748;0.2764;
265;0.1013;749;0.2726;
266;0.0998;750;0.2694;
267;0.0980;751;0.2687;
268;0.0957;752;0.2622;
269;0.0940;753;0.2575;
270;0.0923;754;0.2604;
271;0.0904;755;0.2523;
272;0.0893;756;0.2490;
273;0.0884;757;0.2472;
274;0.0884;758;0.2439;
275;0.0877;759;0.2408;
276;0.0887;760;0.2334;
277;0.0890;761;0.2360;
278;0.0894;762;0.2348;
279;0.0907;763;0.2291;
280;0.0902;764;0.2270;
281;0.0907;765;0.2210;
282;0.0899;766;0.2152;
283;0.0887;767;0.2145;
284;0.0869;768;0.2081;
285;0.0830;769;0.2082;
286;0.0812;770;0.2025;
287;0.0771;771;0.1990;
288;0.0741;772;0.1963;
289;0.0721;773;0.1924;
290;0.0688;774;0.1867;
291;0.0674;775;0.1789;
292;0.0652;776;0.1804;
293;0.0665;777;0.1748;
294;0.0644;778;0.1712;
295;0.0636;779;0.1637;
296;0.0640;780;0.1600;
297;0.0633;781;0.1584;
298;0.0635;782;0.1529;
299;0.0632;783;0.1505;
300;0.0636;784;0.1450;
301;0.0624;785;0.1400;
302;0.0627;786;0.1335;
303;0.0622;787;0.1311;
304;0.0621;788;0.1291;
305;0.0632;789;0.1223;
306;0.0632;790;0.1230;
307;0.0635;791;0.1148;
